scenario,decade,static,conv_e12,conv_central,conv_e36,conv_e48,K,w,max_resid_B,loo_pred_central,loo_err_B,loo_err_pct_static
s_cg_r25,d1,547.0878850462814,315.84418101576466,165.09774633634788,19.264291506961854,-121.24192422159467,1267.1941855595442,0.15353872147422265,18.01393367441196,148.9330956627619,-16.16465067358598,-2.954671656130444
s_cg_r25,d2,773.2725655543018,537.4147838610179,348.1898072342292,163.42943500787987,-15.820664396058419,2485.856857092339,0.07906951455521682,10.835427854281221,339.63132456133036,-8.558482672898833,-1.1067873159012038
s_cg_r25,d3,1116.7852855094188,749.9895395818148,491.73753589027365,239.86468310373857,-5.185361317877323,2515.0337891585414,0.12156032441691172,25.425144422632172,470.33530614876804,-21.402229741505607,-1.916414016123344
s_cg_r40,d1,1891.1727277480295,1036.5467579603792,426.60875562898127,-101.92399251790357,-550.4703828983447,4104.994856043614,0.18663239813068155,30.950561129982475,394.6021901972126,-32.00656543176865,-1.6924189399601497
s_cg_r40,d2,2671.261904913681,1625.0804499946662,846.8887969352527,155.96881022689467,-443.2214645655831,5787.177688900374,0.15987513418655677,35.91697601211888,810.5966771221415,-36.292119813111185,-1.358613311047983
s_cg_r40,d3,3855.3362194281344,2257.3625738045503,1197.2184168443418,248.79145426989453,-580.6563474305331,7228.157127555528,0.19543857309877763,86.8944483149196,1108.3952655954072,-88.82315124893466,-2.3039015586067326
s_cg_r50,d1,1942.0583284443128,1061.9570141185468,432.01449353675525,-111.8951790548308,-570.3440162708248,4204.420861086971,0.18812907897462175,30.445250784319,399.9637829166129,-32.050710620142354,-1.650347476731896
s_cg_r50,d2,2739.122453522972,1660.3526310478592,856.322169565573,144.57984003693036,-469.0323659635951,5926.400008445454,0.1613496876145668,35.55311180167746,819.704970316252,-36.61719924932095,-1.336822280516341
s_cg_r50,d3,3951.1312688251146,2293.7387664241887,1195.1854338577778,217.27497835044232,-633.8312354608224,7402.314347149197,0.19849382559680917,88.47867702174153,1104.242582993445,-90.94285086433274,-2.3016914568716667
s_deemed_carryover,d1,39.620592436747756,157.87013159914022,269.045853518287,383.09752542500974,499.43747341911967,-26115.773224065793,0.0036934566886678813,2.7566961586004055,270.9164391257967,1.8705856075097245,4.721245929111278
s_deemed_carryover,d2,148.69423362617272,303.5848508194813,446.6419877816934,591.9394055729563,739.5579951243362,-9653.392122967663,0.013126468481916745,4.024007120414836,449.1978878954427,2.555900113749317,1.7188965916291155
s_deemed_carryover,d3,300.09947974329043,500.317327868308,691.6666141814021,884.9659394119553,1079.9266121517521,-23300.555026418944,0.0070823695572002285,3.0292028535056943,693.6075973437298,1.9409831623277114,0.6467799157759478
s_deemed_deemed,d1,290.87452709496756,518.865139719951,741.2989201358514,973.7617480521203,1214.8352881539931,-190931139.5434689,1.0000214458201519e-06,7.66687135393704,750.14452613099,8.845605995138612,3.041038376059177
s_deemed_deemed,d2,511.8880370495908,794.6571616718002,1066.1409374497516,1347.3418058019997,1635.8560620082972,-233150358.80771658,1.0000582225684949e-06,5.153337547290903,1072.086569167083,5.94563171733148,1.1615101910958465
s_deemed_deemed,d3,780.378439826598,1151.4922726631721,1504.4492740011574,1867.9967890121352,2239.8367535670786,-303326908.365189,1.0000627092276093e-06,7.098935549189491,1509.882374460029,5.43310045887165,0.6962135525013862
pr_cg_deemed,d1,2340.9825339295894,1980.9075871594187,1771.9028608800909,1573.4363885587527,1385.6996744963162,1491.8594048657087,0.20762822915833187,31.060310548899565,1741.3394701030277,-30.563390777063205,-1.3055796159982145
pr_cg_deemed,d2,3459.5503003041867,3052.3123945153384,2814.1262804150956,2585.8736534480977,2368.1944989953245,1745.1616630512547,0.19949351129799484,35.70364741184716,2779.444643452358,-34.681636962737684,-1.0024897443950518
pr_cg_deemed,d3,5053.804993646338,4314.836153197613,3995.3979252831487,3689.2292297900276,3396.8466196472127,2040.7325427222404,0.3263500900521624,77.69161676351064,3905.4466669484946,-89.95125833465409,-1.7798719667209388
stack_ref,d1,14612.282770698781,10523.480516423435,10266.615387105929,10025.590380047182,9800.816026087345,4626.322984117521,1.7163626832611194,205.3450445940989,9987.501160856762,-279.1142262491667,-1.9101343070697983
stack_ref,d2,23319.072548423028,15645.00907951168,15370.900531685133,15110.080608330954,14863.796033776087,8272.594578644255,2.009999999999997,257.8487375487057,15023.310743756658,-347.58978792847483,-1.4905815280890358
stack_ref,d3,35195.87591210519,21701.470780024334,21361.69355387495,21038.850202022495,20734.067980843913,14330.368201308156,2.009999999999997,448.5515720765361,20848.277268141217,-513.4162857337324,-1.4587399018450031
