leg,scenario,s,year,revenues_income_tax,revenues_payroll_tax,revenues_estate_tax,revenues_wealth_tax,revenues_corp_tax,revenues_vat,revenues_other,outlays_tax_credits,revenues_total
cg5,cg5_s0,0,2027,2679.74863706274,1747.45358789745,35.207,0,304.617671867547,0,587.004,105.093787529454,5248.93710929829
cg5,cg5_s0,0,2028,2755.60161042784,1819.04616539138,35.861,0,330.364013744659,0,588.738,104.286000240132,5425.32478932375
cg5,cg5_s0,0,2029,2894.33050725258,1894.39322129714,35.609,0,371.678540932266,0,590.852,102.653236405942,5684.21003307605
cg5,cg5_s0,0,2030,3061.71274307528,1970.81845093553,36.166,0,530.244818223809,0,610.957,100.941076976257,6108.95793525836
cg5,cg5_s0,0,2031,3207.96785810609,2049.422616636,37.441,0,578.82610007836,0,661.229,100.56837896675,6434.3181958537
cg5,cg5_s0,0,2032,3354.37855388924,2129.22565262764,39.228,0,578.442124458565,0,684.543,99.8327353393167,6685.98459563613
cg5,cg5_s0,0,2033,3505.26408828653,2210.50098064455,41.391,0,577.898312117687,0,691.746,99.7130706438205,6927.08731040494
cg5,cg5_s0,0,2034,3665.09602102754,2294.22004153031,43.989,0,578.435407931586,0,705.586,99.1334315457146,7188.19303894372
cg5,cg5_s0,0,2035,3834.42508741629,2381.63218383231,47.152,0,579.248044940803,0,730.887,98.8501565882637,7474.49415960114
cg5,cg5_s0,0,2036,4015.63615933634,2472.74346752298,50.675,0,598.21677822154,0,759.371,97.7315508456901,7798.91085423518
cg5,cg5_s50,0.5,2027,2679.43015606715,1747.44710903577,35.2022461039515,0,304.617671867547,0,587.004,105.097275843282,5248.60390723114
cg5,cg5_s50,0.5,2028,2755.19252803378,1819.03661686927,35.851629802956,0,330.364013744659,0,588.738,104.29095681224,5424.89183163842
cg5,cg5_s50,0.5,2029,2893.84267161364,1894.38022333429,35.5953968573655,0,371.678540932266,0,590.852,102.658618914008,5683.69021382356
cg5,cg5_s50,0.5,2030,3061.12779100401,1970.80080583672,36.1479587088947,0,530.244818223809,0,610.957,100.950852838576,6108.32752093486
cg5,cg5_s50,0.5,2031,3207.28455287295,2049.40141746168,37.4181940150448,0,578.82610007836,0,661.229,100.580025250102,6433.57923917794
cg5,cg5_s50,0.5,2032,3353.5930398339,2129.20123707879,39.2001008345239,0,578.442124458565,0,684.543,99.8451504622671,6685.13435174352
cg5,cg5_s50,0.5,2033,3504.35011142789,2210.47360189551,41.3624745926317,0,577.898312117687,0,691.746,99.7265271898993,6926.10397284382
cg5,cg5_s50,0.5,2034,3664.05060238193,2294.18977375224,43.950274431661,0,578.435407931586,0,705.586,99.1479224793875,7187.06413601803
cg5,cg5_s50,0.5,2035,3833.25172038372,2381.59887207087,47.1110858634096,0,579.248044940803,0,730.887,98.8682747558089,7473.22844850299
cg5,cg5_s50,0.5,2036,4014.30111697106,2472.70599808403,50.6154279027715,0,598.21677822154,0,759.371,97.7525651203619,7797.45775605903
toprate,toprate_s0,0,2027,2675.0310866465,1747.45358789745,35.207,0,304.617671867547,0,587.004,105.157830731911,5244.15551567959
toprate,toprate_s0,0,2028,2757.0069231197,1819.04616539138,35.861,0,330.364013744659,0,588.738,104.345962064304,5426.67014019144
toprate,toprate_s0,0,2029,2900.6016092904,1894.39322129714,35.609,0,371.678540932266,0,590.852,102.712447609741,5690.42192391007
toprate,toprate_s0,0,2030,3070.30562809607,1970.81845093553,36.166,0,530.244818223809,0,610.957,100.999233227682,6117.49266402773
toprate,toprate_s0,0,2031,3218.25295659646,2049.422616636,37.441,0,578.82610007836,0,661.229,100.626699663672,6444.54497364715
toprate,toprate_s0,0,2032,3365.61437885897,2129.22565262764,39.228,0,578.442124458565,0,684.543,99.8938707454917,6697.15928519968
toprate,toprate_s0,0,2033,3517.22515016243,2210.50098064455,41.391,0,577.898312117687,0,691.746,99.7767728236601,6938.984670101
toprate,toprate_s0,0,2034,3677.56631369363,2294.22004153031,43.989,0,578.435407931586,0,705.586,99.2017650520814,7200.59499810345
toprate,toprate_s0,0,2035,3847.46329171714,2381.63218383231,47.152,0,579.248044940803,0,730.887,98.9215481877915,7487.46097230246
toprate,toprate_s0,0,2036,4029.56129604006,2472.74346752298,50.675,0,598.21677822154,0,759.371,97.806951261735,7812.76059052284
toprate,toprate_s50,0.5,2027,2674.79284926252,1747.4510218155,35.2000982546474,0,304.617671867547,0,587.004,105.15860624303,5243.90703495718
