leg,scenario,s,year,nw_total_T,D_alloc_B
cg5,cg5_s0,0,2026,193.857423016634,
cg5,cg5_s0,0,2027,203.030364123747,
cg5,cg5_s0,0,2028,211.978643675871,
cg5,cg5_s0,0,2029,220.793239734152,
cg5,cg5_s0,0,2030,229.788798789331,
cg5,cg5_s0,0,2031,239.123949794999,
cg5,cg5_s0,0,2032,248.661081890317,
cg5,cg5_s0,0,2033,258.499276151062,
cg5,cg5_s0,0,2034,268.495454950731,
cg5,cg5_s0,0,2035,279.093003609222,
cg5,cg5_s0,0,2036,290.334995103282,
cg5,cg5_s50,0.5,2026,193.833839412452,23.5836041824455
cg5,cg5_s50,0.5,2027,202.984276238236,46.0888666737161
cg5,cg5_s50,0.5,2028,211.91167791105,66.9665905339095
cg5,cg5_s50,0.5,2029,220.705955461101,87.2854792990755
cg5,cg5_s50,0.5,2030,229.680529973617,108.270301582191
cg5,cg5_s50,0.5,2031,238.993658426015,130.294547668829
cg5,cg5_s50,0.5,2032,248.507381171876,153.702919455442
cg5,cg5_s50,0.5,2033,258.320551023432,178.72730658799
cg5,cg5_s50,0.5,2034,268.289827470971,205.629864622608
cg5,cg5_s50,0.5,2035,278.858552853844,234.453318828848
cg5,cg5_s50,0.5,2036,290.069735893093,265.261858405126
toprate,toprate_s0,0,2026,193.857423016634,
toprate,toprate_s0,0,2027,203.030364123747,
toprate,toprate_s0,0,2028,211.978643675871,
toprate,toprate_s0,0,2029,220.793239734152,
toprate,toprate_s0,0,2030,229.788798789331,
toprate,toprate_s0,0,2031,239.123949794999,
toprate,toprate_s0,0,2032,248.661081890317,
toprate,toprate_s0,0,2033,258.499276151062,
toprate,toprate_s0,0,2034,268.495454950731,
toprate,toprate_s0,0,2035,279.093003609222,
toprate,toprate_s0,0,2036,290.334995103282,
toprate,toprate_s50,0.5,2026,193.838638490566,18.7845260682644
toprate,toprate_s50,0.5,2027,202.991073830414,39.2903472734165
toprate,toprate_s50,0.5,2028,211.917555341608,61.0883912407069
toprate,toprate_s50,0.5,2029,220.708391924308,84.8478704726113
toprate,toprate_s50,0.5,2030,229.678322887399,110.47596787482
toprate,toprate_s50,0.5,2031,238.985904194974,138.045668662459
toprate,toprate_s50,0.5,2032,248.49341188445,167.670078285965
toprate,toprate_s50,0.5,2033,258.299766023208,199.510202431167
toprate,toprate_s50,0.5,2034,268.261781031275,233.673997418484
toprate,toprate_s50,0.5,2035,278.822684708098,270.319124958777
toprate,toprate_s50,0.5,2036,290.025421383909,309.574272904374
