M,s,income,payroll,estate,wealth,outlays,total,d_income,d_payroll,d_estate,d_total
identity,0.0,33113.72667983055,20969.456368315296,402.719,0.0,1009.2953341832433,65115.49152647942,545.6184728845074,0.0,0.0,545.7662207943431
identity,0.25,33108.69902973143,20969.403468348046,402.23611855388964,0.0,1009.3240238232372,65109.89940532694,540.5908227853906,-0.0528999672496866,-0.4828814461103548,540.1740996418666
identity,0.5,33103.72479922751,20969.35119017041,401.77842081595213,0.0,1009.3529872570485,65104.386235473634,535.6165922814653,-0.10517814488412114,-0.9405791840478628,534.6609297885589
identity,0.75,33098.809798591166,20969.299694351703,401.3057201779315,0.0,1009.3811543570554,65098.918871280555,530.7015916451237,-0.15667396359276609,-1.413279822068489,529.1935655954803
identity,1.0,33093.960064849554,20969.24900243294,400.91573007730585,0.0,1009.4083722798551,65093.601237596784,525.8518579035117,-0.20736588235376985,-1.8032699226941418,523.8759319117089
uniform,0.0,33113.72667983055,20969.456368315296,402.719,0.0,1009.2953341832433,65115.49152647942,545.6184728845074,0.0,0.0,545.7662207943431
uniform,0.25,33107.924618255114,20968.528500153112,402.6370028248772,0.0,1009.9755036760563,65107.99943007388,539.8164113090716,-0.9278681621835858,-0.08199717512280813,538.2741243888086
uniform,0.5,33104.360447294894,20967.901902221674,402.5588568665919,0.0,1010.3200092817324,65103.38600961824,536.252240348851,-1.5544660936211585,-0.1601431334080985,533.6607039331648
uniform,0.75,33101.259944000536,20967.392573102996,402.48374935503045,0.0,1010.597376907452,65099.42370206792,533.1517370544934,-2.0637952122997376,-0.23525064496953974,529.6983963828461
uniform,1.0,33098.32410009207,20966.935232880183,402.40329272153576,0.0,1010.8562722008755,65095.691166009725,530.2158931460253,-2.521135435112228,-0.31570727846423097,525.9658603246498
