scenario,year,econ_total_T,top1_pct,top0_1_pct
baseline,2026,193.857423016634,40.2001424238365,17.6195018171636
baseline,2035,279.093003609222,39.8273782974843,17.3404875694258
baseline,2045,410.819447210227,39.3108295043142,16.9958058125695
baseline,2055,592.01758531031,39.060578072563,16.8347984892069
warren,2026,193.576424524425,40.115394827357,17.5575429158222
warren,2035,275.335552054593,40.1906464582701,17.4796744202856
warren,2045,400.148513225293,40.1328364313127,17.3380644848483
warren,2055,570.076942696475,40.289165961947,17.3546417668873
nickeldime,2026,193.503382971873,40.0932725456401,17.5420080757631
nickeldime,2035,274.472248231798,40.276521936429,17.5133031754052
nickeldime,2045,397.921819537376,40.3078698348427,17.4110374554549
nickeldime,2055,566.021503620095,40.523453579036,17.4538715387593
