M,s,scen,year,nw_total_T,drain_B,hc_mean_nz,hc_max,n_clamped,pop_clamped_M
identity,0.25,cgcarry_s25,2026,193.844686288553,12.7367280808406,0.000103349060253286,0.0780708602695412,0,0
identity,0.25,cgcarry_s25,2027,203.004691729415,25.6724095958021,0.000284545043314708,0.9,15,0.0200872698834102
identity,0.25,cgcarry_s25,2028,211.939982542092,38.6611467169923,0.000339610496966514,0.9,15,0.0201700320317762
identity,0.25,cgcarry_s25,2029,220.741227571992,52.0121737251525,0.000517684569691033,0.9,15,0.0205816548179113
identity,0.25,cgcarry_s25,2030,229.722835587103,65.9632150086018,0.000588704580811663,0.9,20,0.03826516857765
identity,0.25,cgcarry_s25,2031,239.042994162158,80.9556427003418,0.000625835298025976,0.9,16,0.0208555878886241
identity,0.25,cgcarry_s25,2032,248.563888996106,97.1929058449865,0.000722575264318219,0.9,16,0.0212773121041931
identity,0.25,cgcarry_s25,2033,258.384622918697,114.653244770568,0.000800441956984647,0.9,16,0.02157398978915
identity,0.25,cgcarry_s25,2034,268.362169777575,133.285187334036,0.000858902186280025,0.9,16,0.0216520502491536
identity,0.25,cgcarry_s25,2035,278.939511701978,153.491922406407,0.000922206188836744,0.9,16,0.0222146911125113
identity,0.25,cgcarry_s25,2036,290.159855411059,175.139708855862,0.000890749032068261,0.9,16,0.02258973023057
identity,0.5,cgcarry_s50,2026,193.831949560472,25.4734561616813,0.000206695408194144,0.156141720539082,0,0
identity,0.5,cgcarry_s50,2027,202.979057903928,51.3062787236772,0.000417378487351989,0.9,15,0.0200872698834102
identity,0.5,cgcarry_s50,2028,211.901433647693,77.2100834283639,0.000534731161242431,0.9,15,0.0201700320317762
identity,0.5,cgcarry_s50,2029,220.689435359908,103.804447372811,0.000775897424173755,0.9,20,0.03836920251963
identity,0.5,cgcarry_s50,2030,229.657234590615,131.564285382995,0.000910802533362052,0.9,21,0.0410219448031794
identity,0.5,cgcarry_s50,2031,238.962580017719,161.369857568559,0.00103635713677395,0.9,22,0.0419633130701572
identity,0.5,cgcarry_s50,2032,248.467457094401,193.624869018129,0.00122034256882155,0.9,21,0.04031118496517
identity,0.5,cgcarry_s50,2033,258.270995721002,228.28051547287,0.00134016339205789,0.9,22,0.0443363438955224
identity,0.5,cgcarry_s50,2034,268.230223950456,265.231097928808,0.00145835055017241,0.9,22,0.0448744999283303
identity,0.5,cgcarry_s50,2035,278.787725661261,305.278047314178,0.00158848716859259,0.9,22,0.0450111934400399
identity,0.5,cgcarry_s50,2036,289.986843879212,348.15130610466,0.00161615550889427,0.9,17,0.0255721765049546
identity,0.75,cgcarry_s75,2026,193.819212832392,38.2101842425219,0.000310043112291216,0.234212580808624,0,0
identity,0.75,cgcarry_s75,2027,202.953462618908,76.9016073836252,0.000549856156953308,0.9,15,0.0200872698834102
identity,0.75,cgcarry_s75,2028,211.862996777926,115.646995507066,0.000728918791585231,0.9,15,0.0201700320317762
identity,0.75,cgcarry_s75,2029,220.637862339411,155.377530020526,0.00102885500964029,0.9,20,0.03836920251963
identity,0.75,cgcarry_s75,2030,229.591994040678,196.804921295552,0.00122318675381792,0.9,21,0.0410219448031794
identity,0.75,cgcarry_s75,2031,238.882703977995,241.245982261274,0.00140793362659533,0.9,22,0.0419633130701572
identity,0.75,cgcarry_s75,2032,248.371780658903,289.301632611491,0.00166913671264714,0.9,29,0.052823440317679
identity,0.75,cgcarry_s75,2033,258.158385509755,340.890934566977,0.00184813684502874,0.9,29,0.0541662815573105
identity,0.75,cgcarry_s75,2034,268.099603887049,395.851397751057,0.0020199727706893,0.9,29,0.0548003614724069
identity,0.75,cgcarry_s75,2035,278.637625871628,455.377970242172,0.0022153339201989,0.9,29,0.0553390590321992
identity,0.75,cgcarry_s75,2036,289.815934961011,519.061897325347,0.00228427502736395,0.9,41,0.0525888540792044
