leg,tax_type,est_s0_10y,est_s50_10y,s_impact_10y
cg5,income,406.05305893442,398.316083643986,-7.7369752904342
cg5,payroll,0,-0.220712896116311,-0.220712896116311
cg5,estate,0,-0.264210886789897,-0.264210886789897
cg5,wealth,0,0,0
cg5,refundable_outlays,-0.639657011744703,-0.524912427152003,0.1147445845927
cg5,total,406.69271594617,398.356072288232,-8.33664365793811
toprate,income,490.520427275296,482.259364602163,-8.26106267313298
toprate,payroll,0,-0.098674660504912,-0.098674660504912
toprate,estate,0,-0.612053099301363,-0.612053099301363
toprate,wealth,0,0,0
toprate,refundable_outlays,-7.25014956515224e-07,0.0454322382848886,0.0454329632998451
toprate,total,490.520428000309,481.50320460408,-9.01722339622938
