scenario,year,econ_total_T,top1_pct,top0_1_pct
baseline,2026,193.857423016634,40.2001424238365,17.6195018171636
baseline,2035,279.093003609222,39.8273782974843,17.3404875694258
baseline,2045,410.819447210227,39.3108295043142,16.9958058125695
baseline,2055,592.01758531031,39.060578072563,16.8347984892069
warren,2026,193.576424524425,40.115394827357,17.5575429158222
warren,2035,275.287655468154,39.0069509398986,16.7649369089481
warren,2045,400.186673264757,37.7123853664067,15.8848330649435
warren,2055,569.977848202533,36.7199928005438,15.2762405510292
nickeldime,2026,193.503382971873,40.0932725456401,17.5420080757631
nickeldime,2035,274.663454936994,38.8694521367269,16.6808736919617
nickeldime,2045,399.323912483555,37.5780956907325,15.8051960361705
nickeldime,2055,569.82640478949,36.7031862334404,15.261966559818
