reform,year,est_s0,est_s50,d_est,wlt_s0,wlt_s50,d_wlt,iit_s0,iit_s50,d_iit,nw_s0,nw_s50,d_nw,D_alloc_B,hc_mean,hc_max,n_clamped
cg5,2026,35.8901972434098,35.8854433473613,-0.00475389604849852,0,0,0,2505.19297027766,2504.97200726084,-0.220963016819951,193.857423016634,193.833839412452,-0.0235836041819937,23.5836041824455,0.000282675138087061,0.658736643766318,0
cg5,2030,44.0799971693899,44.0571911844347,-0.0228059849551983,0,0,0,3000.49968965862,2999.89752276624,-0.602166892379955,229.788798789331,229.680529973617,-0.108268815713984,108.270301582191,0.00145154955056026,0.9,35
cg5,2035,57.0462125060503,56.9866404088217,-0.0595720972286031,0,0,0,3773.42330357427,3772.22281744764,-1.20048612663004,279.093003609222,278.858552853844,-0.23445075537802,234.453318828848,0.00251229857156462,0.9,67
warren,2026,35.8901972434098,35.8285858388032,-0.0616114046066016,280.998492209208,279.896314238726,-1.10217797048199,2457.24046124847,2456.4958442297,-0.744617018769986,186.96696257312,186.843821292131,-0.123141280988989,140.499246104604,1.14756400261986e-05,0.00481033211590512,0
warren,2030,44.0799971693899,43.2693848814027,-0.810612287987198,338.287990245595,332.21711095154,-6.07087929405498,2963.48753144072,2959.85635876197,-3.63117267874986,221.574709710562,220.852558773232,-0.722150937329985,817.596878657355,5.74202152851936e-05,0.0195441629559562,0
warren,2035,57.0462125060503,54.8247486618549,-2.22146384419541,422.314913724516,407.342957075685,-14.971956648831,3728.69902282921,3720.48374297524,-8.21527985397006,268.827532809353,267.101962110875,-1.72557069847801,1960.60097639734,0.000109925307564743,0.0389306845988242,0
nd,2026,35.8901972434098,35.8109161710355,-0.0792810723743003,354.040044760889,352.146862549788,-1.89318221110096,2457.24046124847,2456.28026460651,-0.96019664196001,178.014749419329,177.888394922349,-0.126354496980014,177.020022380444,1.42998761162584e-05,0.00745736250992213,0
nd,2030,44.0799971693899,43.1278216757666,-0.952175493623301,418.852917647393,409.452937767262,-9.39997988013101,2963.48753144072,2958.90616969764,-4.58136174307992,210.776643437319,210.042569475662,-0.734073961657003,1006.45135559839,7.08187543248149e-05,0.0272364842928092,0
nd,2035,57.0462125060503,54.4875475470573,-2.55866495899301,516.712077428845,493.521834115908,-23.190243312937,3728.69902282921,3718.62836261827,-10.0706602109403,255.223997378426,253.529933868208,-1.694063510218,2352.11089730301,0.000132402545316522,0.0447862875737645,0
estate2009,2026,70.8855594013149,70.8855594013149,0,0,0,0,2457.24046124847,2457.24046124847,0,193.857423016634,193.857423016634,0,-2.23747596382285e-16,2.06792021370647e-20,1.63212390134661e-16,0
estate2009,2030,87.8876072632414,87.8876072632414,0,0,0,0,2963.48753144072,2963.48753144072,0,229.788798789331,229.788798789331,0,-9.47528636611797e-16,1.63639627755715e-19,2.53273562550786e-15,0
estate2009,2035,114.221160060938,114.221160060938,0,0,0,0,3728.69902282921,3728.69902282921,0,279.093003609222,279.093003609222,0,-1.57295512893549e-15,5.12162533335619e-19,3.84529046486534e-15,0
warren_estate2009,2026,70.8855594013149,70.8139177650384,-0.071641636276496,280.998492209208,279.896314238726,-1.10217797048199,2457.24046124847,2456.4958442297,-0.744617018769986,186.96696257312,186.843821292131,-0.123141280988989,140.499246104604,1.14756400261986e-05,0.00481033211590512,0
warren_estate2009,2030,87.8876072632414,86.9626782238002,-0.92492903944121,338.287990245595,332.21711095154,-6.07087929405498,2963.48753144072,2959.85635876197,-3.63117267874986,221.574709710562,220.852558773232,-0.722150937329985,817.596878657355,5.74202152851936e-05,0.0195441629559562,0
warren_estate2009,2035,114.221160060938,111.690510480365,-2.530649580573,422.314913724516,407.342957075685,-14.971956648831,3728.69902282921,3720.48374297524,-8.21527985397006,268.827532809353,267.101962110875,-1.72557069847801,1960.60097639734,0.000109925307564743,0.0389306845988242,0
