scenario,pass,year,liab_iit_net,liab_iit,agi,cap_income,txbl_int,exempt_int,div_ord,div_pref,txbl_kg,net_rent,net_estate,sch_e,sole_prop,part_scorp,farm,est_tax,wealth_tax,rcpt_income,rcpt_estate,rcpt_wealth,rcpt_payroll
baseline,static,2026,2457.24046124847,2575.89681178262,18428.0957335566,6239.41191610162,217.046719893516,120.489932890724,106.661238356647,400.301209478836,1527.65020653183,101.34514936312,53.8855322148222,1609.62934481003,628.463798834485,1454.39866323209,19.5401204955132,35.8901972434098,0,,,,
baseline,static,2027,2559.10939038195,2680.018239098,19109.5388650346,6404.02631425425,232.686089245278,128.897704189157,106.720866204094,400.736309557627,1466.48541557074,104.743445221568,55.4628087669523,1692.6827886669,662.80656661026,1532.47653467838,20.3277855432916,37.901810067099,0,2635.7510282386,35.207,0,1747.45358789745
baseline,static,2028,2634.11380240068,2754.41949892357,19647.1499994736,6433.85382591228,253.697524630341,140.017992151089,106.62799017712,400.649982196676,1384.12249729573,107.423918652609,56.7469498692314,1726.0397824723,676.230593197082,1561.86891395046,20.4276813196527,39.641285067172,0,2716.2991714533,35.861,0,1819.04616539138
baseline,static,2029,2794.94837092297,2914.23538933672,20382.9829722364,6692.16829315121,273.785285098013,150.750795709714,106.437967212121,399.788088028744,1355.03370021042,109.765726727256,57.7763096389834,1832.23941854393,720.403070513519,1664.69738217769,21.4905492908228,41.7806240122528,0,2857.60410053916,35.609,0,1894.39322129714
baseline,static,2030,2963.48753144072,3081.45639170548,21099.3106402018,6917.33456658046,282.770034975786,155.296735902137,111.389067678048,418.508643792011,1358.69711370548,111.485770880549,58.4762876229537,1907.97395175489,752.412280861549,1738.01189325139,22.3127861556531,44.0799971693899,0,3024.9617062245,36.166,0,1970.81845093553
baseline,static,2031,3101.336028482,3219.40769284909,21887.697198946,7174.65589936239,291.487194189576,159.763057120955,117.962180731064,443.345420945967,1382.16058411442,113.643713872826,59.6962293881061,1986.2214608591,784.437258297044,1812.88151759817,23.0572822451565,46.3573932282854,0,3170.61254785227,37.441,0,2049.422616636
baseline,static,2032,3248.47557067266,3366.25507232528,22715.9379738186,7450.62631750748,301.579045546446,164.949539397927,125.297580628057,470.810360229596,1417.31054579079,116.196912728792,61.0878794499138,2064.69273949547,817.570222675092,1887.40794731676,23.7235442486377,48.8081020634262,0,3315.66646890455,39.228,0,2129.22565262764
baseline,static,2033,3398.21953448979,3516.36028852326,23570.8467069116,7732.8879986684,309.533608045245,168.907502724116,132.989930106193,499.958055097625,1460.07349691513,119.526021364743,62.9211262718338,2143.26024926123,850.426178265467,1960.81310162465,24.4787289921582,51.3779258655992,0,3464.88309572795,41.391,0,2210.50098064455
baseline,static,2034,3559.07731950426,3677.08022738397,24461.2832707329,8028.31036783631,317.858734330895,173.136517822937,140.719497906704,528.992438218877,1507.95728282482,123.342939962348,64.8494157607477,2224.95153300954,884.380022307292,2036.75917728644,25.3628084057106,54.1228852042488,0,3622.79453029058,43.989,0,2294.22004153031
baseline,static,2035,3728.69902282921,3846.90155098367,25407.6833900103,8339.4100997262,324.127021098798,176.145684915578,148.517229555582,558.420973531685,1560.99556325485,127.616064370389,66.8852634298485,2311.97588967663,920.939467118796,2117.47456187639,26.3123808976466,57.0462125060503,0,3790.10227444121,47.152,0,2381.63218383231
baseline,static,2036,3912.54608190719,4030.06179923838,26386.9358324998,8647.42144624778,329.06156813782,178.770912344324,156.111549341198,587.278559968425,1614.9877884856,132.002552557447,69.067800504578,2398.42380668028,957.424649248744,2197.35345361825,26.9388053611121,60.2156333560436,0,3969.43328327393,50.675,0,2472.74346752298
cg5_s0,static,2026,2544.2516521685,2662.83076960961,18428.0957335566,6239.41191610162,217.046719893516,120.489932890724,106.661238356647,400.301209478836,1527.65020653183,101.34514936312,53.8855322148222,1609.62934481003,628.463798834485,1454.39866323209,19.5401204955132,35.8901972434098,0,,,,
cg5_s0,static,2027,2643.33408792592,2764.15803318058,19109.5388650346,6404.02631425425,232.686089245278,128.897704189157,106.720866204094,400.736309557627,1466.48541557074,104.743445221568,55.4628087669523,1692.6827886669,662.80656661026,1532.47653467838,20.3277855432916,37.901810067099,0,2719.89885293506,35.207,0,1747.45358789745
cg5_s0,static,2028,2714.5770412062,2834.8048773058,19647.1499994736,6433.85382591228,253.697524630341,140.017992151089,106.62799017712,400.649982196676,1384.12249729573,107.423918652609,56.7469498692314,1726.0397824723,676.230593197082,1561.86891395046,20.4276813196527,39.641285067172,0,2796.7786994464,35.861,0,1819.04616539138
cg5_s0,static,2029,2874.15895497979,2993.36760930178,20382.9829722364,6692.16829315121,273.785285098013,150.750795709714,106.437967212121,399.788088028744,1355.03370021042,109.765726727256,57.7763096389834,1832.23941854393,720.403070513519,1664.69738217769,21.4905492908228,41.7806240122528,0,2936.70165893842,35.609,0,1894.39322129714
cg5_s0,static,2030,3043.82270112842,3161.71475532416,21099.3106402018,6917.33456658046,282.770034975786,155.296735902137,111.389067678048,418.508643792011,1358.69711370548,111.485770880549,58.4762876229537,1907.97395175489,752.412280861549,1738.01189325139,22.3127861556531,44.0799971693899,0,3105.06057221397,36.166,0,1970.81845093553
cg5_s0,static,2031,3183.90190042429,3301.89709620387,21887.697198946,7174.65589936239,291.487194189576,159.763057120955,117.962180731064,443.345420945967,1382.16058411442,113.643713872826,59.6962293881061,1986.2214608591,784.437258297044,1812.88151759817,23.0572822451565,46.3573932282854,0,3252.87485514499,37.441,0,2049.422616636
cg5_s0,static,2032,3333.92387405146,3451.62130666225,22715.9379738186,7450.62631750748,301.579045546446,164.949539397927,125.297580628057,470.810360229596,1417.31054579079,116.196912728792,61.0878794499138,2064.69273949547,817.570222675092,1887.40794731676,23.7235442486377,48.8081020634262,0,3400.77238613826,39.228,0,2129.22565262764
cg5_s0,static,2033,3486.96866528394,3605.02543189951,23570.8467069116,7732.8879986684,309.533608045245,168.907502724116,132.989930106193,499.958055097625,1460.07349691513,119.526021364743,62.9211262718338,2143.26024926123,850.426178265467,1960.81310162465,24.4787289921582,51.3779258655992,0,3553.26179652785,41.391,0,2210.50098064455
cg5_s0,static,2034,3651.34782986827,3769.2607569307,24461.2832707329,8028.31036783631,317.858734330895,173.136517822937,140.719497906704,528.992438218877,1507.95728282482,123.342939962348,64.8494157607477,2224.95153300954,884.380022307292,2036.75917728644,25.3628084057106,54.1228852042488,0,3714.67612510146,43.989,0,2294.22004153031
cg5_s0,static,2035,3824.7366859092,3942.84686950217,25407.6833900103,8339.4100997262,324.127021098798,176.145684915578,148.517229555582,558.420973531685,1560.99556325485,127.616064370389,66.8852634298485,2311.97588967663,920.939467118796,2117.47456187639,26.3123808976466,57.0462125060503,0,3885.72870129304,47.152,0,2381.63218383231
cg5_s0,static,2036,4012.35228785025,4129.76972816672,26386.9358324998,8647.42144624778,329.06156813782,178.770912344324,156.111549341198,587.278559968425,1614.9877884856,132.002552557447,69.067800504578,2398.42380668028,957.424649248744,2197.35345361825,26.9388053611121,60.2156333560436,0,4068.82085279765,50.675,0,2472.74346752298
cg5_s0,conventional,2026,2505.19297027766,2623.78052039072,18275.5064475625,6087.77526369398,217.046719893516,120.489932890724,106.661238356647,400.301209478836,1376.01355412419,101.34514936312,53.8855322148222,1609.62934481003,628.463798834485,1454.39866323209,19.5401204955132,35.8901972434098,0,,,,
cg5_s0,conventional,2027,2603.16368808004,2723.99449230857,18952.0823996398,6247.59245592681,232.686089245278,128.897704189157,106.720866204094,400.736309557627,1310.0515572433,104.743445221568,55.4628087669523,1692.6827886669,662.80656661026,1532.47653467838,20.3277855432916,37.901810067099,0,2679.74863706274,35.207,0,1747.45358789745
cg5_s0,conventional,2028,2673.36340478502,2793.59730959797,19484.6626505464,6272.52499937833,253.697524630341,140.017992151089,106.62799017712,400.649982196676,1222.79367076178,107.423918652609,56.7469498692314,1726.0397824723,676.230593197082,1561.86891395046,20.4276813196527,39.641285067172,0,2755.60161042784,35.861,0,1819.04616539138
cg5_s0,conventional,2029,2831.79911486896,2951.01259299259,20214.971082776,6525.38439637517,273.785285098013,150.750795709714,106.437967212121,399.788088028744,1188.24980343439,109.765726727256,57.7763096389834,1832.23941854393,720.403070513519,1664.69738217769,21.4905492908228,41.7806240122528,0,2894.33050725258,35.609,0,1894.39322129714
cg5_s0,conventional,2030,3000.49968965862,3118.39628956729,20926.7461596905,6746.04239040031,282.770034975786,155.296735902137,111.389067678048,418.508643792011,1187.40493752533,111.485770880549,58.4762876229537,1907.97395175489,752.412280861549,1738.01189325139,22.3127861556531,44.0799971693899,0,3061.71274307528,36.166,0,1970.81845093553
cg5_s0,conventional,2031,3138.9770053514,3256.97565453749,21708.8183404588,6997.08342726917,291.487194189576,159.763057120955,117.962180731064,443.345420945967,1204.5881120212,113.643713872826,59.6962293881061,1986.2214608591,784.437258297044,1812.88151759817,23.0572822451565,46.3573932282854,0,3207.96785810609,37.441,0,2049.422616636
cg5_s0,conventional,2032,3287.5182031318,3405.2192195405,22531.3630952464,7267.36797181154,301.579045546446,164.949539397927,125.297580628057,470.810360229596,1234.05220009485,116.196912728792,61.0878794499138,2064.69273949547,817.570222675092,1887.40794731676,23.7235442486377,48.8081020634262,0,3354.37855388924,39.228,0,2129.22565262764
cg5_s0,conventional,2033,3438.96075213493,3557.02047713922,23380.116687774,7543.47682679804,309.533608045245,168.907502724116,132.989930106193,499.958055097625,1270.66232504478,119.526021364743,62.9211262718338,2143.26024926123,850.426178265467,1960.81310162465,24.4787289921582,51.3779258655992,0,3505.26408828653,41.391,0,2210.50098064455
cg5_s0,conventional,2034,3601.75748321526,3719.67276344396,24264.5606350845,7832.88900333874,317.858734330895,173.136517822937,140.719497906704,528.992438218877,1312.53591832725,123.342939962348,64.8494157607477,2224.95153300954,884.380022307292,2036.75917728644,25.3628084057106,54.1228852042488,0,3665.09602102754,43.989,0,2294.22004153031
