credit_id,state,year,filing_status,key_concept,income_lower,income_upper,value
pct_of_tax_credit,CT,2017,1,0,15001,18800,0.75
pct_of_tax_credit,CT,2017,1,0,18801,19300,0.7
pct_of_tax_credit,CT,2017,1,0,19301,19800,0.65
pct_of_tax_credit,CT,2017,1,0,19801,20300,0.6
pct_of_tax_credit,CT,2017,1,0,20301,20800,0.55
pct_of_tax_credit,CT,2017,1,0,20801,21300,0.5
pct_of_tax_credit,CT,2017,1,0,21301,21800,0.45
pct_of_tax_credit,CT,2017,1,0,21801,22300,0.4
pct_of_tax_credit,CT,2017,1,0,22301,25000,0.35
pct_of_tax_credit,CT,2017,1,0,25001,25500,0.3
pct_of_tax_credit,CT,2017,1,0,25501,26000,0.25
pct_of_tax_credit,CT,2017,1,0,26001,26500,0.2
pct_of_tax_credit,CT,2017,1,0,26501,31300,0.15
pct_of_tax_credit,CT,2017,1,0,31301,31800,0.14
pct_of_tax_credit,CT,2017,1,0,31801,32300,0.13
pct_of_tax_credit,CT,2017,1,0,32301,32800,0.12
pct_of_tax_credit,CT,2017,1,0,32801,33300,0.11
pct_of_tax_credit,CT,2017,1,0,33301,60000,0.1
pct_of_tax_credit,CT,2017,1,0,60001,60500,0.09
pct_of_tax_credit,CT,2017,1,0,60501,61000,0.08
pct_of_tax_credit,CT,2017,1,0,61001,61500,0.07
pct_of_tax_credit,CT,2017,1,0,61501,62000,0.06
pct_of_tax_credit,CT,2017,1,0,62001,62500,0.05
pct_of_tax_credit,CT,2017,1,0,62501,63000,0.04
pct_of_tax_credit,CT,2017,1,0,63001,63500,0.03
pct_of_tax_credit,CT,2017,1,0,63501,64000,0.02
pct_of_tax_credit,CT,2017,1,0,64001,64500,0.01
pct_of_tax_credit,CT,2017,2,0,24001,30000,0.75
pct_of_tax_credit,CT,2017,2,0,30001,30500,0.7
pct_of_tax_credit,CT,2017,2,0,30501,31000,0.65
pct_of_tax_credit,CT,2017,2,0,31001,31500,0.6
pct_of_tax_credit,CT,2017,2,0,31501,32000,0.55
pct_of_tax_credit,CT,2017,2,0,32001,32500,0.5
pct_of_tax_credit,CT,2017,2,0,32501,33000,0.45
pct_of_tax_credit,CT,2017,2,0,33001,33500,0.4
pct_of_tax_credit,CT,2017,2,0,33501,40000,0.35
pct_of_tax_credit,CT,2017,2,0,40001,40500,0.3
pct_of_tax_credit,CT,2017,2,0,40501,41000,0.25
pct_of_tax_credit,CT,2017,2,0,41001,41500,0.2
pct_of_tax_credit,CT,2017,2,0,41501,50000,0.15
pct_of_tax_credit,CT,2017,2,0,50001,50500,0.14
pct_of_tax_credit,CT,2017,2,0,50501,51000,0.13
pct_of_tax_credit,CT,2017,2,0,51001,51500,0.12
pct_of_tax_credit,CT,2017,2,0,51501,52000,0.11
pct_of_tax_credit,CT,2017,2,0,52001,96000,0.1
pct_of_tax_credit,CT,2017,2,0,96001,96500,0.09
pct_of_tax_credit,CT,2017,2,0,96501,97000,0.08
pct_of_tax_credit,CT,2017,2,0,97001,97500,0.07
pct_of_tax_credit,CT,2017,2,0,97501,98000,0.06
pct_of_tax_credit,CT,2017,2,0,98001,98500,0.05
pct_of_tax_credit,CT,2017,2,0,98501,99000,0.04
pct_of_tax_credit,CT,2017,2,0,99001,99500,0.03
pct_of_tax_credit,CT,2017,2,0,99501,100000,0.02
pct_of_tax_credit,CT,2017,2,0,100001,100500,0.01
pct_of_tax_credit,CT,2017,3,0,12001,15000,0.75
pct_of_tax_credit,CT,2017,3,0,15001,15500,0.7
pct_of_tax_credit,CT,2017,3,0,15501,16000,0.65
pct_of_tax_credit,CT,2017,3,0,16001,16500,0.6
pct_of_tax_credit,CT,2017,3,0,16501,17000,0.55
pct_of_tax_credit,CT,2017,3,0,17001,17500,0.5
pct_of_tax_credit,CT,2017,3,0,17501,18000,0.45
pct_of_tax_credit,CT,2017,3,0,18001,18500,0.4
pct_of_tax_credit,CT,2017,3,0,18501,20000,0.35
pct_of_tax_credit,CT,2017,3,0,20001,20500,0.3
pct_of_tax_credit,CT,2017,3,0,20501,21000,0.25
pct_of_tax_credit,CT,2017,3,0,21001,21500,0.2
pct_of_tax_credit,CT,2017,3,0,21501,25000,0.15
pct_of_tax_credit,CT,2017,3,0,25001,25500,0.14
pct_of_tax_credit,CT,2017,3,0,25501,26000,0.13
pct_of_tax_credit,CT,2017,3,0,26001,26500,0.12
pct_of_tax_credit,CT,2017,3,0,26501,27000,0.11
pct_of_tax_credit,CT,2017,3,0,27001,48000,0.1
pct_of_tax_credit,CT,2017,3,0,48001,48500,0.09
pct_of_tax_credit,CT,2017,3,0,48501,49000,0.08
pct_of_tax_credit,CT,2017,3,0,49001,49500,0.07
pct_of_tax_credit,CT,2017,3,0,49501,50000,0.06
pct_of_tax_credit,CT,2017,3,0,50001,50500,0.05
pct_of_tax_credit,CT,2017,3,0,50501,51000,0.04
pct_of_tax_credit,CT,2017,3,0,51001,51500,0.03
pct_of_tax_credit,CT,2017,3,0,51501,52000,0.02
pct_of_tax_credit,CT,2017,3,0,52001,52500,0.01
pct_of_tax_credit,CT,2017,4,0,19001,24000,0.75
pct_of_tax_credit,CT,2017,4,0,24001,24500,0.7
pct_of_tax_credit,CT,2017,4,0,24501,25000,0.65
pct_of_tax_credit,CT,2017,4,0,25001,25500,0.6
pct_of_tax_credit,CT,2017,4,0,25501,26000,0.55
pct_of_tax_credit,CT,2017,4,0,26001,26500,0.5
pct_of_tax_credit,CT,2017,4,0,26501,27000,0.45
pct_of_tax_credit,CT,2017,4,0,27001,27500,0.4
pct_of_tax_credit,CT,2017,4,0,27501,34000,0.35
pct_of_tax_credit,CT,2017,4,0,34001,34500,0.3
pct_of_tax_credit,CT,2017,4,0,34501,35000,0.25
pct_of_tax_credit,CT,2017,4,0,35001,35500,0.2
pct_of_tax_credit,CT,2017,4,0,35501,44000,0.15
pct_of_tax_credit,CT,2017,4,0,44001,44500,0.14
pct_of_tax_credit,CT,2017,4,0,44501,45000,0.13
pct_of_tax_credit,CT,2017,4,0,45001,45500,0.12
pct_of_tax_credit,CT,2017,4,0,45501,46000,0.11
pct_of_tax_credit,CT,2017,4,0,46001,74000,0.1
pct_of_tax_credit,CT,2017,4,0,74001,74500,0.09
pct_of_tax_credit,CT,2017,4,0,74501,75000,0.08
pct_of_tax_credit,CT,2017,4,0,75001,75500,0.07
pct_of_tax_credit,CT,2017,4,0,75501,76000,0.06
pct_of_tax_credit,CT,2017,4,0,76001,76500,0.05
pct_of_tax_credit,CT,2017,4,0,76501,77000,0.04
pct_of_tax_credit,CT,2017,4,0,77001,77500,0.03
pct_of_tax_credit,CT,2017,4,0,77501,78000,0.02
pct_of_tax_credit,CT,2017,4,0,78001,78500,0.01
retirement_subtraction_factor,CT,2017,1,0,-Inf,74999,1
