year,reform_leg,income_definition,ranking,taxes_included,corp_convention,group_dimension,group,n_tax_units,income_cutoff,income_baseline,income_reform,tax_baseline,tax_reform,etr_baseline,etr_reform,etr_income_tax_baseline,etr_income_tax_reform,etr_payroll_baseline,etr_payroll_reform,etr_estate_baseline,etr_estate_reform,etr_deemed_baseline,etr_deemed_reform,etr_wealth_baseline,etr_wealth_reform,etr_corp_baseline,etr_corp_reform,etr_vat_baseline,etr_vat_reform,etr_other_baseline,etr_other_reform
2027,static,agi,wealth,iit,n/a,Net worth,Top 400,400,4129915200,167.14028675289572,167.14028675289572,46.06764999729685,64.23143764238435,0.2756226574231285,0.3842965624280978,0.2756226574231285,0.3842965624280978,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,static,agi,wealth,iit_pr,n/a,Net worth,Top 400,400,4129915200,167.14028675289572,167.14028675289572,46.395152100396196,64.5589397454837,0.27758210184829896,0.3862560068532682,0.2756226574231285,0.3842965624280978,0.001959444425170445,0.001959444425170445,0,0,0,0,0,0,0,0,0,0,0,0
2027,static,agi,wealth,death,n/a,Net worth,Top 400,400,4129915200,167.14028675289572,167.14028675289572,46.395152100396196,64.5589397454837,0.27758210184829896,0.3862560068532682,0.2756226574231285,0.3842965624280978,0.001959444425170445,0.001959444425170445,0,0,0,0,0,0,0,0,0,0,0,0
2027,static,agi,wealth,wealth_cit_vat,equity_supernormal,Net worth,Top 400,400,4129915200,167.14028675289572,167.14028675289572,56.56937215399469,74.7331597990822,0.3384544399976304,0.4471283450025997,0.2756226574231285,0.3842965624280978,0.001959444425170445,0.001959444425170445,0,0,0,0,0,0,0.06087233814933147,0.06087233814933147,0,0,0,0
2027,static,agi,wealth,wealth_cit_vat,capital_income,Net worth,Top 400,400,4129915200,167.14028675289572,167.14028675289572,57.63079283440937,75.79458047949687,0.34480491779706074,0.45347882280202995,0.2756226574231285,0.3842965624280978,0.001959444425170445,0.001959444425170445,0,0,0,0,0,0,0.06722281594876177,0.06722281594876177,0,0,0,0
2027,static,agi,wealth,wealth_cit_vat,uniform_networth,Net worth,Top 400,400,4129915200,167.14028675289572,167.14028675289572,54.13851535019228,72.30230299527979,0.32391062862200287,0.43258453362697213,0.2756226574231285,0.3842965624280978,0.001959444425170445,0.001959444425170445,0,0,0,0,0,0,0.04632852677370394,0.04632852677370394,0,0,0,0
2027,static,agi,wealth,other,n/a,Net worth,Top 400,400,4129915200,167.14028675289572,167.14028675289572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,static,expanded,wealth,iit,n/a,Net worth,Top 400,400,4129915200,170.27743650247314,170.27743650247314,46.06764999729685,64.23143764238435,0.2705446531468528,0.37721637676552316,0.2705446531468528,0.37721637676552316,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,static,expanded,wealth,iit_pr,n/a,Net worth,Top 400,400,4129915200,170.27743650247314,170.27743650247314,46.395152100396196,64.5589397454837,0.2724679972482575,0.3791397208669279,0.2705446531468528,0.37721637676552316,0.0019233441014047355,0.0019233441014047355,0,0,0,0,0,0,0,0,0,0,0,0
2027,static,expanded,wealth,death,n/a,Net worth,Top 400,400,4129915200,170.27743650247314,170.27743650247314,46.395152100396196,64.5589397454837,0.2724679972482575,0.3791397208669279,0.2705446531468528,0.37721637676552316,0.0019233441014047355,0.0019233441014047355,0,0,0,0,0,0,0,0,0,0,0,0
2027,static,expanded,wealth,wealth_cit_vat,equity_supernormal,Net worth,Top 400,400,4129915200,180.45165655607167,180.45165655607167,56.56937215399469,74.7331597990822,0.3134876854755662,0.41414504707448,0.2552908123787839,0.35594817397769773,0.0018149021701975151,0.0018149021701975151,0,0,0,0,0,0,0.05638197092658479,0.05638197092658479,0,0,0,0
2027,static,expanded,wealth,wealth_cit_vat,capital_income,Net worth,Top 400,400,4129915200,181.51307723648634,181.51307723648634,57.63079283440937,75.79458047949687,0.3175021530780642,0.41757090802194413,0.25379796705929397,0.353866722003174,0.00180428930017346,0.00180428930017346,0,0,0,0,0,0,0.06189989671859673,0.06189989671859673,0,0,0,0
2027,static,expanded,wealth,wealth_cit_vat,uniform_networth,Net worth,Top 400,400,4129915200,178.02079975226923,178.02079975226923,54.13851535019228,72.30230299527979,0.3041134262149734,0.40614525435170756,0.2587767837320348,0.360808611868769,0.0018396844838080581,0.0018396844838080581,0,0,0,0,0,0,0.043496957999130545,0.043496957999130545,0,0,0,0
2027,static,expanded,wealth,other,n/a,Net worth,Top 400,400,4129915200,170.27743650247314,170.27743650247314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,static,hs,wealth,iit,n/a,Net worth,Top 400,400,4129915200,697.329956405319,697.329956405319,46.06764999729685,64.23143764238435,0.06606291551674039,0.09211053827874018,0.06606291551674039,0.09211053827874018,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,static,hs,wealth,iit_pr,n/a,Net worth,Top 400,400,4129915200,697.329956405319,697.329956405319,46.395152100396196,64.5589397454837,0.06653256707851696,0.09258018984051676,0.06606291551674039,0.09211053827874018,4.69651561776578e-4,4.69651561776578e-4,0,0,0,0,0,0,0,0,0,0,0,0
2027,static,hs,wealth,death,n/a,Net worth,Top 400,400,4129915200,697.329956405319,697.329956405319,46.395152100396196,64.5589397454837,0.06653256707851696,0.09258018984051676,0.06606291551674039,0.09211053827874018,4.69651561776578e-4,4.69651561776578e-4,0,0,0,0,0,0,0,0,0,0,0,0
2027,static,hs,wealth,wealth_cit_vat,equity_supernormal,Net worth,Top 400,400,4129915200,707.5041764589175,707.5041764589175,56.56937215399469,74.7331597990822,0.0799562377668586,0.10562928430065842,0.06511290184584775,0.09078594837964758,4.628977665382985e-4,4.628977665382985e-4,0,0,0,0,0,0,0.014380438154472548,0.014380438154472548,0,0,0,0
2027,static,hs,wealth,wealth_cit_vat,capital_income,Net worth,Top 400,400,4129915200,708.5655971393321,708.5655971393321,57.63079283440937,75.79458047949687,0.08133444957965813,0.10696903827323788,0.06501536369149759,0.09064995238507734,4.622043525984951e-4,4.622043525984951e-4,0,0,0,0,0,0,0.01585688153556205,0.01585688153556205,0,0,0,0
2027,static,hs,wealth,wealth_cit_vat,uniform_networth,Net worth,Top 400,400,4129915200,705.0733196551151,705.0733196551151,54.13851535019228,72.30230299527979,0.07678423483202286,0.10254579343698082,0.06533738933680078,0.09109894794175874,4.6449368309603315e-4,4.6449368309603315e-4,0,0,0,0,0,0,0.010982351812126052,0.010982351812126052,0,0,0,0
2027,static,hs,wealth,other,n/a,Net worth,Top 400,400,4129915200,697.329956405319,697.329956405319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
