year,gdp_B,deficit_B,concept,threshold_type,threshold,n_units_M,share_above,taken_B,tax_paid_now_B,implied_rate,revenue_B,revenue_pct_gdp,iter_gap,unreachable_share
2027,33315.19,1900,taxable,dollar,1000000,0.9542434097841223,0.005085356919301614,2308.4375105920185,745.8212368329287,32.30848716548781,1562.6162737590898,4.690401806980809,8.177108284982387e-5,0
2027,33315.19,1900,taxable,dollar,5000000,0.11832638627435803,6.306675608265162e-4,1174.1364951186508,353.6497923579145,30.119989782122985,820.4867027607363,2.4628006106545883,5.769684234075248e-6,0
2027,33315.19,1900,taxable,dollar,10000000,0.03857941288627936,2.0551173941878818e-4,838.7533257866752,243.96213102987758,29.08627882948339,594.7911947567976,1.7853453477431693,3.4339357271790504e-6,0
2027,33315.19,1900,taxable,top_10,164722.005301197,18.758378527883377,0.09998611518755403,5437.302252418696,1715.6755243088833,31.553800849413744,3721.626728109813,11.170960538150354,1.5098930705196429e-4,0
2027,33315.19,1900,taxable,top_5,245721.78997474007,9.372761889373471,0.04999760351327007,4369.945272484876,1403.7477135600602,32.12277559626849,2966.197558924816,8.90343881852337,3.6642506427207706e-4,0
2027,33315.19,1900,taxable,top_1,647067.5110353929,1.8758226080127474,0.009999462363615494,2793.694314190172,919.0121067923956,32.89594363006735,1874.6822073977764,5.627109457871248,9.732161912915772e-5,0
2027,33315.19,1900,taxable,top_0.1,3275250.4781486043,0.18754078663472615,9.99782048150768e-4,1431.5622779163793,440.18576718730765,30.748628542237956,991.3765107290717,2.975749232494462,1.4817367696662049e-5,0
2027,33315.19,1900,taxable,top_0.01,16765702.228732966,0.018749960503316513,9.986427544470818e-5,663.6915597177666,188.45016711937842,28.394238914160134,475.2413925983882,1.4265006220837646,5.131973087381982e-6,0
2027,33315.19,1900,ordinary,dollar,1000000,0.8350914103758508,0.0044513292835746355,1462.4582943356554,523.8486816610634,35.81973473636935,938.609612674592,2.8173623283390907,1.0005626678466796e-5,0
2027,33315.19,1900,ordinary,dollar,5000000,0.08496370848738119,4.530830478331681e-4,553.302598943482,195.25449293476868,35.28891664481649,358.0481060087134,1.0747292931804182,1.2752091407775879e-6,0
2027,33315.19,1900,ordinary,dollar,10000000,0.025870302741655558,1.3787844695909996e-4,319.28445236920135,113.01237099995797,35.39551336163317,206.27208136924338,0.6191532492212812,2.1490053176879883e-6,0
2027,33315.19,1900,ordinary,top_10,196062.28225886778,18.743105911486055,0.09996579468387873,4435.798091087226,1480.8753804758712,33.384643531259215,2954.9227106113544,8.869595852856772,4.1338220767444964e-5,0
2027,33315.19,1900,ordinary,top_5,274209.07811428263,9.372284940511465,0.04999863103795439,3399.398844488042,1172.981319503865,34.50555151555095,2226.417524984177,6.68289007201873,8.634886291282742e-5,0
2027,33315.19,1900,ordinary,top_1,615246.75182653,1.8749693861073273,0.009996760033332197,1960.9730516046557,707.3614879553334,36.0719637312967,1253.6115636493223,3.762882828071286,7.841290736446675e-6,0
