year,reform_leg,income_definition,ranking,taxes_included,corp_convention,group_dimension,group,n_tax_units,income_cutoff,income_baseline,income_reform,tax_baseline,tax_reform,etr_baseline,etr_reform,etr_income_tax_baseline,etr_income_tax_reform,etr_payroll_baseline,etr_payroll_reform,etr_estate_baseline,etr_estate_reform,etr_deemed_baseline,etr_deemed_reform,etr_wealth_baseline,etr_wealth_reform,etr_corp_baseline,etr_corp_reform,etr_vat_baseline,etr_vat_reform,etr_other_baseline,etr_other_reform
2027,static,agi,wealth,iit,n/a,Net worth,Top 1%,1874835.9507404116,14983918,3290.63528550895,3290.63528550895,850.5504680843275,1092.832873664481,0.258476067472417,0.3321039188016416,0.258476067472417,0.3321039188016416,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,static,agi,wealth,iit_pr,n/a,Net worth,Top 1%,1874835.9507404116,14983918,3290.63528550895,3290.63528550895,924.058375748267,1166.3407813284205,0.2808145830738415,0.35444243440306605,0.258476067472417,0.3321039188016416,0.022338515601424462,0.022338515601424462,0,0,0,0,0,0,0,0,0,0,0,0
2027,static,agi,wealth,death,n/a,Net worth,Top 1%,1874835.9507404116,14983918,3290.63528550895,3290.63528550895,926.2803530889253,1168.5627586690787,0.28148982573912357,0.35511767706834807,0.258476067472417,0.3321039188016416,0.022338515601424462,0.022338515601424462,6.752426652820393e-4,6.752426652820393e-4,0,0,0,0,0,0,0,0,0,0
2027,static,agi,wealth,wealth_cit_vat,equity_supernormal,Net worth,Top 1%,1874835.9507404116,14983918,3290.63528550895,3290.63528550895,1025.8734230684593,1268.155828648613,0.31175543141657874,0.3853832827458033,0.258476067472417,0.3321039188016416,0.022338515601424462,0.022338515601424462,6.752426652820393e-4,6.752426652820393e-4,0,0,0,0,0.030265605677455197,0.030265605677455197,0,0,0,0
2027,static,agi,wealth,wealth_cit_vat,capital_income,Net worth,Top 1%,1874835.9507404116,14983918,3290.63528550895,3290.63528550895,1050.23278593403,1292.5151915141832,0.3191580636599156,0.3927859149891402,0.258476067472417,0.3321039188016416,0.022338515601424462,0.022338515601424462,6.752426652820393e-4,6.752426652820393e-4,0,0,0,0,0.03766823792079209,0.03766823792079209,0,0,0,0
2027,static,agi,wealth,wealth_cit_vat,uniform_networth,Net worth,Top 1%,1874835.9507404116,14983918,3290.63528550895,3290.63528550895,1016.1290605435986,1258.411466123752,0.30879419090239224,0.3824220422316168,0.258476067472417,0.3321039188016416,0.022338515601424462,0.022338515601424462,6.752426652820393e-4,6.752426652820393e-4,0,0,0,0,0.02730436516326871,0.02730436516326871,0,0,0,0
2027,static,agi,wealth,other,n/a,Net worth,Top 1%,1874835.9507404116,14983918,3290.63528550895,3290.63528550895,355.20842551011265,355.20842551011265,0.10794524299740924,0.10794524299740924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10794524299740924,0.10794524299740924
2027,static,expanded,wealth,iit,n/a,Net worth,Top 1%,1874835.9507404116,14983918,3614.316826528216,3614.316826528216,850.5504680843275,1092.832873664481,0.23532814329986004,0.30236222393215517,0.23532814329986004,0.30236222393215517,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2027,static,expanded,wealth,iit_pr,n/a,Net worth,Top 1%,1874835.9507404116,14983918,3614.316826528216,3614.316826528216,924.058375748267,1166.3407813284205,0.25566612449852233,0.32270020513081743,0.23532814329986004,0.30236222393215517,0.020337981198662262,0.020337981198662262,0,0,0,0,0,0,0,0,0,0,0,0
2027,static,expanded,wealth,death,n/a,Net worth,Top 1%,1874835.9507404116,14983918,3681.7040565699385,3681.7040565699385,926.2803530889253,1168.5627586690787,0.2515901166569849,0.3173972542914736,0.2310208683303957,0.29682800596488446,0.019965729600880305,0.019965729600880305,6.035187257088484e-4,6.035187257088484e-4,0,0,0,0,0,0,0,0,0,0
