threshold,measure,share_above
1000000,taxable,0.005085356919301614
1000000,ordinary,0.0044513292835746355
1000000,agi,0.0059445643653250465
1000000,accrual,0.019265526141753902
1000000,cash,0.007519462075781795
5000000,taxable,6.306675608265162e-4
5000000,ordinary,4.530830478331681e-4
5000000,agi,7.029299954979254e-4
5000000,accrual,0.0016512462454894112
5000000,cash,7.598960144057005e-4
10000000,taxable,2.0551173941878818e-4
10000000,ordinary,1.3787844695909996e-4
10000000,agi,2.2921833845645988e-4
10000000,accrual,6.247920058202554e-4
10000000,cash,2.48186913417117e-4
