credit_id,state,year,filing_status,key_concept,income_lower,income_upper,value
stfc,ME,2017,1,0,-Inf,20050,125
stfc,ME,2017,1,0,20051,20550,115
stfc,ME,2017,1,0,20551,21050,105
stfc,ME,2017,1,0,21051,21550,95
stfc,ME,2017,1,0,21551,22050,85
stfc,ME,2017,1,0,22051,22550,75
stfc,ME,2017,1,0,22551,23050,65
stfc,ME,2017,1,0,23051,23550,55
stfc,ME,2017,1,0,23551,24050,45
stfc,ME,2017,1,0,24051,24550,35
stfc,ME,2017,1,0,24551,25050,25
stfc,ME,2017,1,0,25051,25550,15
stfc,ME,2017,1,0,25551,26050,5
stfc,ME,2017,1,1,-Inf,20050,175
stfc,ME,2017,1,1,20051,20550,165
stfc,ME,2017,1,1,20551,21050,155
stfc,ME,2017,1,1,21051,21550,145
stfc,ME,2017,1,1,21551,22050,135
stfc,ME,2017,1,1,22051,22550,125
stfc,ME,2017,1,1,22551,23050,115
stfc,ME,2017,1,1,23051,23550,105
stfc,ME,2017,1,1,23551,24050,95
stfc,ME,2017,1,1,24051,24550,85
stfc,ME,2017,1,1,24551,25050,75
stfc,ME,2017,1,1,25051,25550,65
stfc,ME,2017,1,1,25551,26050,55
stfc,ME,2017,1,1,26051,26550,45
stfc,ME,2017,1,1,26551,27050,35
stfc,ME,2017,1,1,27051,27550,25
stfc,ME,2017,1,1,27551,28050,15
stfc,ME,2017,1,1,28051,28550,5
stfc,ME,2017,1,2,-Inf,20050,200
stfc,ME,2017,1,2,20051,20550,190
stfc,ME,2017,1,2,20551,21050,180
stfc,ME,2017,1,2,21051,21550,170
stfc,ME,2017,1,2,21551,22050,160
stfc,ME,2017,1,2,22051,22550,150
stfc,ME,2017,1,2,22551,23050,140
stfc,ME,2017,1,2,23051,23550,130
stfc,ME,2017,1,2,23551,24050,120
stfc,ME,2017,1,2,24051,24550,110
stfc,ME,2017,1,2,24551,25050,100
stfc,ME,2017,1,2,25051,25550,90
stfc,ME,2017,1,2,25551,26050,80
stfc,ME,2017,1,2,26051,26550,70
stfc,ME,2017,1,2,26551,27050,60
stfc,ME,2017,1,2,27051,27550,50
stfc,ME,2017,1,2,27551,28050,40
stfc,ME,2017,1,2,28051,28550,30
stfc,ME,2017,1,2,28551,29050,20
stfc,ME,2017,1,2,29051,29550,10
stfc,ME,2017,1,3,-Inf,20050,225
stfc,ME,2017,1,3,20051,20550,215
stfc,ME,2017,1,3,20551,21050,205
stfc,ME,2017,1,3,21051,21550,195
stfc,ME,2017,1,3,21551,22050,185
stfc,ME,2017,1,3,22051,22550,175
stfc,ME,2017,1,3,22551,23050,165
stfc,ME,2017,1,3,23051,23550,155
stfc,ME,2017,1,3,23551,24050,145
stfc,ME,2017,1,3,24051,24550,135
stfc,ME,2017,1,3,24551,25050,125
stfc,ME,2017,1,3,25051,25550,115
stfc,ME,2017,1,3,25551,26050,105
stfc,ME,2017,1,3,26051,26550,95
stfc,ME,2017,1,3,26551,27050,85
stfc,ME,2017,1,3,27051,27550,75
stfc,ME,2017,1,3,27551,28050,65
stfc,ME,2017,1,3,28051,28550,55
stfc,ME,2017,1,3,28551,29050,45
stfc,ME,2017,1,3,29051,29550,35
stfc,ME,2017,1,3,29551,30050,25
stfc,ME,2017,1,3,30051,30550,15
stfc,ME,2017,1,3,30551,31050,5
stfc,ME,2017,2,0,-Inf,40100,175
stfc,ME,2017,2,0,40101,41100,155
stfc,ME,2017,2,0,41101,42100,135
stfc,ME,2017,2,0,42101,43100,115
stfc,ME,2017,2,0,43101,44100,95
stfc,ME,2017,2,0,44101,45100,75
stfc,ME,2017,2,0,45101,46100,55
stfc,ME,2017,2,0,46101,47100,35
stfc,ME,2017,2,0,47101,48100,15
stfc,ME,2017,2,1,-Inf,40100,200
stfc,ME,2017,2,1,40101,41100,180
stfc,ME,2017,2,1,41101,42100,160
stfc,ME,2017,2,1,42101,43100,140
stfc,ME,2017,2,1,43101,44100,120
stfc,ME,2017,2,1,44101,45100,100
stfc,ME,2017,2,1,45101,46100,80
stfc,ME,2017,2,1,46101,47100,60
stfc,ME,2017,2,1,47101,48100,40
stfc,ME,2017,2,1,48101,49100,20
stfc,ME,2017,2,2,-Inf,40100,225
stfc,ME,2017,2,2,40101,41100,205
stfc,ME,2017,2,2,41101,42100,185
stfc,ME,2017,2,2,42101,43100,165
stfc,ME,2017,2,2,43101,44100,145
stfc,ME,2017,2,2,44101,45100,125
stfc,ME,2017,2,2,45101,46100,105
stfc,ME,2017,2,2,46101,47100,85
stfc,ME,2017,2,2,47101,48100,65
stfc,ME,2017,2,2,48101,49100,45
stfc,ME,2017,2,2,49101,50100,25
stfc,ME,2017,2,2,50101,51100,5
stfc,ME,2017,2,3,-Inf,40100,225
stfc,ME,2017,2,3,40101,41100,205
stfc,ME,2017,2,3,41101,42100,185
stfc,ME,2017,2,3,42101,43100,165
stfc,ME,2017,2,3,43101,44100,145
stfc,ME,2017,2,3,44101,45100,125
stfc,ME,2017,2,3,45101,46100,105
stfc,ME,2017,2,3,46101,47100,85
stfc,ME,2017,2,3,47101,48100,65
stfc,ME,2017,2,3,48101,49100,45
stfc,ME,2017,2,3,49101,50100,25
stfc,ME,2017,2,3,50101,51100,5
stfc,ME,2017,4,0,-Inf,30100,125
stfc,ME,2017,4,0,30101,30850,110
stfc,ME,2017,4,0,30851,31600,95
stfc,ME,2017,4,0,31601,32350,80
