run_type,scenario,year,delta_iit,delta_estate,delta_other,delta_total
static,dr_prim,2027,4.487820558072144,0,0,4.4878205580716894
static,dr_prim,2028,4.887110620401927,-0.24798302560224528,0,4.6391275948008115
static,dr_prim,2029,5.290342715863517,-0.26185686045810286,0,5.0284858554050516
static,dr_prim,2030,5.738424653316088,-0.28994933461886063,0,5.448475318697092
static,dr_prim,2031,6.251564039014738,-0.31454308139056764,0,5.937020957624554
static,dr_prim,2032,6.819705370730844,-0.33717100820291535,0,6.482534362527076
static,dr_prim,2033,7.384553789953316,-0.3593765364397328,0,7.0251772535139025
static,dr_prim,2034,8.023453437267108,-0.37971849583367145,0,7.64373494143274
static,dr_prim,2035,8.7006774052943,-0.4040267657098866,0,8.296650639584186
static,dr_prim,2036,9.450474662770375,-0.4132984738728709,0,9.03717618889732
static,dr_prim_noded,2027,4.487820558072144,0,0,4.4878205580716894
static,dr_prim_noded,2028,4.887110620401927,0,0,4.887110620402382
static,dr_prim_noded,2029,5.290342715863517,0,0,5.290342715863517
static,dr_prim_noded,2030,5.738424653316088,0,0,5.738424653315633
static,dr_prim_noded,2031,6.251564039014738,0,0,6.251564039013829
static,dr_prim_noded,2032,6.819705370730844,0,0,6.819705370729935
static,dr_prim_noded,2033,7.384553789953316,0,0,7.384553789954225
static,dr_prim_noded,2034,8.023453437267108,0,0,8.023453437267563
static,dr_prim_noded,2035,8.7006774052943,0,0,8.7006774052943
static,dr_prim_noded,2036,9.450474662770375,0,0,9.45047466276992
conventional,dr_prim,2027,9.826672393726767,0,0,9.826672393726767
conventional,dr_prim,2028,10.390900909448192,-0.2479035279707773,0,10.142997381477471
conventional,dr_prim,2029,10.976967743918522,-0.2616973225075512,0,10.715270421410423
conventional,dr_prim,2030,11.599300694180783,-0.28967920928153035,0,11.309621484899253
conventional,dr_prim,2031,12.329754759767184,-0.3139790894688659,0,12.015775670297444
conventional,dr_prim,2032,13.119289218077029,-0.3364143940498536,0,12.782874824026294
conventional,dr_prim,2033,13.91344894342501,-0.3584116530189405,0,13.55503729040629
conventional,dr_prim,2034,14.778673759456979,-0.3784796455180839,0,14.400194113938596
conventional,dr_prim,2035,15.693391992219404,-0.40251740059037644,0,15.29087459162838
conventional,dr_prim,2036,16.68485292453306,-0.412039061823144,0,16.27281386270988
conventional,dr_prim_noded,2027,9.826672393726767,0,0,9.826672393726767
conventional,dr_prim_noded,2028,10.390900909448192,0,0,10.390900909448646
conventional,dr_prim_noded,2029,10.976967743918522,0,0,10.976967743918976
conventional,dr_prim_noded,2030,11.599300694180783,0,0,11.599300694180783
conventional,dr_prim_noded,2031,12.329754759767184,0,0,12.329754759766729
conventional,dr_prim_noded,2032,13.119289218077029,0,0,13.119289218077029
conventional,dr_prim_noded,2033,13.91344894342501,0,0,13.913448943425465
conventional,dr_prim_noded,2034,14.778673759456979,0,0,14.778673759456979
conventional,dr_prim_noded,2035,15.693391992219404,0,0,15.693391992219404
conventional,dr_prim_noded,2036,16.68485292453306,0,0,16.684852924532606
