ID,bits,switches_on,ord,cg,corp,wealth,deemed,estate,qbi
baseline,0,baseline,0,0,0,0,0,0,0
c001,1,ord,1,0,0,0,0,0,0
c002,2,cg,0,1,0,0,0,0,0
c003,3,ord+cg,1,1,0,0,0,0,0
c004,4,corp,0,0,1,0,0,0,0
c005,5,ord+corp,1,0,1,0,0,0,0
c006,6,cg+corp,0,1,1,0,0,0,0
c007,7,ord+cg+corp,1,1,1,0,0,0,0
c008,8,wealth,0,0,0,1,0,0,0
c009,9,ord+wealth,1,0,0,1,0,0,0
c010,10,cg+wealth,0,1,0,1,0,0,0
c011,11,ord+cg+wealth,1,1,0,1,0,0,0
c012,12,corp+wealth,0,0,1,1,0,0,0
c013,13,ord+corp+wealth,1,0,1,1,0,0,0
c014,14,cg+corp+wealth,0,1,1,1,0,0,0
c015,15,ord+cg+corp+wealth,1,1,1,1,0,0,0
c016,16,deemed,0,0,0,0,1,0,0
c017,17,ord+deemed,1,0,0,0,1,0,0
c018,18,cg+deemed,0,1,0,0,1,0,0
c019,19,ord+cg+deemed,1,1,0,0,1,0,0
c020,20,corp+deemed,0,0,1,0,1,0,0
c021,21,ord+corp+deemed,1,0,1,0,1,0,0
c022,22,cg+corp+deemed,0,1,1,0,1,0,0
c023,23,ord+cg+corp+deemed,1,1,1,0,1,0,0
c024,24,wealth+deemed,0,0,0,1,1,0,0
c025,25,ord+wealth+deemed,1,0,0,1,1,0,0
c026,26,cg+wealth+deemed,0,1,0,1,1,0,0
c027,27,ord+cg+wealth+deemed,1,1,0,1,1,0,0
c028,28,corp+wealth+deemed,0,0,1,1,1,0,0
c029,29,ord+corp+wealth+deemed,1,0,1,1,1,0,0
c030,30,cg+corp+wealth+deemed,0,1,1,1,1,0,0
c031,31,ord+cg+corp+wealth+deemed,1,1,1,1,1,0,0
c032,32,estate,0,0,0,0,0,1,0
c033,33,ord+estate,1,0,0,0,0,1,0
c034,34,cg+estate,0,1,0,0,0,1,0
c035,35,ord+cg+estate,1,1,0,0,0,1,0
c036,36,corp+estate,0,0,1,0,0,1,0
c037,37,ord+corp+estate,1,0,1,0,0,1,0
c038,38,cg+corp+estate,0,1,1,0,0,1,0
c039,39,ord+cg+corp+estate,1,1,1,0,0,1,0
c040,40,wealth+estate,0,0,0,1,0,1,0
c041,41,ord+wealth+estate,1,0,0,1,0,1,0
c042,42,cg+wealth+estate,0,1,0,1,0,1,0
c043,43,ord+cg+wealth+estate,1,1,0,1,0,1,0
c044,44,corp+wealth+estate,0,0,1,1,0,1,0
c045,45,ord+corp+wealth+estate,1,0,1,1,0,1,0
c046,46,cg+corp+wealth+estate,0,1,1,1,0,1,0
c047,47,ord+cg+corp+wealth+estate,1,1,1,1,0,1,0
c048,48,deemed+estate,0,0,0,0,1,1,0
c049,49,ord+deemed+estate,1,0,0,0,1,1,0
c050,50,cg+deemed+estate,0,1,0,0,1,1,0
c051,51,ord+cg+deemed+estate,1,1,0,0,1,1,0
c052,52,corp+deemed+estate,0,0,1,0,1,1,0
c053,53,ord+corp+deemed+estate,1,0,1,0,1,1,0
c054,54,cg+corp+deemed+estate,0,1,1,0,1,1,0
c055,55,ord+cg+corp+deemed+estate,1,1,1,0,1,1,0
c056,56,wealth+deemed+estate,0,0,0,1,1,1,0
c057,57,ord+wealth+deemed+estate,1,0,0,1,1,1,0
c058,58,cg+wealth+deemed+estate,0,1,0,1,1,1,0
c059,59,ord+cg+wealth+deemed+estate,1,1,0,1,1,1,0
c060,60,corp+wealth+deemed+estate,0,0,1,1,1,1,0
c061,61,ord+corp+wealth+deemed+estate,1,0,1,1,1,1,0
c062,62,cg+corp+wealth+deemed+estate,0,1,1,1,1,1,0
c063,63,ord+cg+corp+wealth+deemed+estate,1,1,1,1,1,1,0
c064,64,qbi,0,0,0,0,0,0,1
c065,65,ord+qbi,1,0,0,0,0,0,1
c066,66,cg+qbi,0,1,0,0,0,0,1
c067,67,ord+cg+qbi,1,1,0,0,0,0,1
c068,68,corp+qbi,0,0,1,0,0,0,1
c069,69,ord+corp+qbi,1,0,1,0,0,0,1
c070,70,cg+corp+qbi,0,1,1,0,0,0,1
c071,71,ord+cg+corp+qbi,1,1,1,0,0,0,1
c072,72,wealth+qbi,0,0,0,1,0,0,1
