ID,kind,levers_json,label
s_ord_r39p6,solo,"{""ord"": {""rate"": 39.6}}",ord 39.6%
s_ord_r44p8,solo,"{""ord"": {""rate"": 44.8}}",ord 44.8%
s_ord_r50,solo,"{""ord"": {""rate"": 50.0}}",ord 50%
s_cg_r25,solo,"{""cg"": {""rate"": 25.0}}",cg 25%
s_cg_r30,solo,"{""cg"": {""rate"": 30.0}}",cg 30%
s_cg_r35,solo,"{""cg"": {""rate"": 35.0}}",cg 35%
s_cg_r40,solo,"{""cg"": {""rate"": 40.0}}",cg 40%
s_cg_r45,solo,"{""cg"": {""rate"": 45.0}}",cg 45%
s_cg_r50,solo,"{""cg"": {""rate"": 50.0}}",cg 50%
s_corp_r28,solo,"{""corp"": {""rate"": 28.0}}",corp 28%
s_wealth_r0p5_t50,solo,"{""wealth"": {""rate"": 0.5, ""thr"": 50000000.0}}",wealth 0.5% > $50M
s_wealth_r0p5_t100,solo,"{""wealth"": {""rate"": 0.5, ""thr"": 100000000.0}}",wealth 0.5% > $100M
s_wealth_r0p5_t150,solo,"{""wealth"": {""rate"": 0.5, ""thr"": 150000000.0}}",wealth 0.5% > $150M
s_wealth_r0p5_t250,solo,"{""wealth"": {""rate"": 0.5, ""thr"": 250000000.0}}",wealth 0.5% > $250M
s_wealth_r0p5_t500,solo,"{""wealth"": {""rate"": 0.5, ""thr"": 500000000.0}}",wealth 0.5% > $500M
s_wealth_r0p5_t1000,solo,"{""wealth"": {""rate"": 0.5, ""thr"": 1000000000.0}}",wealth 0.5% > $1000M
s_wealth_r1_t50,solo,"{""wealth"": {""rate"": 1.0, ""thr"": 50000000.0}}",wealth 1% > $50M
s_wealth_r1_t100,solo,"{""wealth"": {""rate"": 1.0, ""thr"": 100000000.0}}",wealth 1% > $100M
s_wealth_r1_t150,solo,"{""wealth"": {""rate"": 1.0, ""thr"": 150000000.0}}",wealth 1% > $150M
s_wealth_r1_t250,solo,"{""wealth"": {""rate"": 1.0, ""thr"": 250000000.0}}",wealth 1% > $250M
s_wealth_r1_t500,solo,"{""wealth"": {""rate"": 1.0, ""thr"": 500000000.0}}",wealth 1% > $500M
s_wealth_r1_t1000,solo,"{""wealth"": {""rate"": 1.0, ""thr"": 1000000000.0}}",wealth 1% > $1000M
s_wealth_r2_t50,solo,"{""wealth"": {""rate"": 2.0, ""thr"": 50000000.0}}",wealth 2% > $50M
s_wealth_r2_t100,solo,"{""wealth"": {""rate"": 2.0, ""thr"": 100000000.0}}",wealth 2% > $100M
s_wealth_r2_t150,solo,"{""wealth"": {""rate"": 2.0, ""thr"": 150000000.0}}",wealth 2% > $150M
s_wealth_r2_t250,solo,"{""wealth"": {""rate"": 2.0, ""thr"": 250000000.0}}",wealth 2% > $250M
s_wealth_r2_t500,solo,"{""wealth"": {""rate"": 2.0, ""thr"": 500000000.0}}",wealth 2% > $500M
s_wealth_r2_t1000,solo,"{""wealth"": {""rate"": 2.0, ""thr"": 1000000000.0}}",wealth 2% > $1000M
s_wealth_r3_t50,solo,"{""wealth"": {""rate"": 3.0, ""thr"": 50000000.0}}",wealth 3% > $50M
s_wealth_r3_t100,solo,"{""wealth"": {""rate"": 3.0, ""thr"": 100000000.0}}",wealth 3% > $100M
s_wealth_r3_t150,solo,"{""wealth"": {""rate"": 3.0, ""thr"": 150000000.0}}",wealth 3% > $150M
s_wealth_r3_t250,solo,"{""wealth"": {""rate"": 3.0, ""thr"": 250000000.0}}",wealth 3% > $250M
s_wealth_r3_t500,solo,"{""wealth"": {""rate"": 3.0, ""thr"": 500000000.0}}",wealth 3% > $500M
s_wealth_r3_t1000,solo,"{""wealth"": {""rate"": 3.0, ""thr"": 1000000000.0}}",wealth 3% > $1000M
s_wealth_r4_t50,solo,"{""wealth"": {""rate"": 4.0, ""thr"": 50000000.0}}",wealth 4% > $50M
s_wealth_r4_t100,solo,"{""wealth"": {""rate"": 4.0, ""thr"": 100000000.0}}",wealth 4% > $100M
s_wealth_r4_t150,solo,"{""wealth"": {""rate"": 4.0, ""thr"": 150000000.0}}",wealth 4% > $150M
s_wealth_r4_t250,solo,"{""wealth"": {""rate"": 4.0, ""thr"": 250000000.0}}",wealth 4% > $250M
s_wealth_r4_t500,solo,"{""wealth"": {""rate"": 4.0, ""thr"": 500000000.0}}",wealth 4% > $500M
s_wealth_r4_t1000,solo,"{""wealth"": {""rate"": 4.0, ""thr"": 1000000000.0}}",wealth 4% > $1000M
s_wealth_r5_t50,solo,"{""wealth"": {""rate"": 5.0, ""thr"": 50000000.0}}",wealth 5% > $50M
