state,age_band,income_tier,n_units,year
AK,u25,neg_zero,11865,2022
AK,u25,1_10k,15340,2022
AK,u25,10_25k,4472,2022
AK,25_34,neg_zero,3749,2022
AK,25_34,1_10k,7323,2022
AK,25_34,10_25k,4703,2022
AK,35_44,neg_zero,3298,2022
AK,35_44,1_10k,5882,2022
AK,35_44,10_25k,2136,2022
AK,45_54,neg_zero,1345,2022
AK,45_54,1_10k,4866,2022
AK,45_54,10_25k,1171,2022
AK,45_54,25_50k,137,2022
AK,55_64,neg_zero,2479,2022
AK,55_64,1_10k,4760,2022
AK,55_64,10_25k,3372,2022
AK,55_64,25_50k,21,2022
AK,65_74,neg_zero,501,2022
AK,65_74,1_10k,3342,2022
AK,65_74,10_25k,1705,2022
AK,65_74,25_50k,47,2022
AK,75p,neg_zero,318,2022
AK,75p,1_10k,1472,2022
AK,75p,10_25k,2023,2022
AK,75p,25_50k,541,2022
AL,u25,neg_zero,151778,2022
AL,u25,1_10k,135315,2022
AL,u25,10_25k,43990,2022
AL,u25,25_50k,718,2022
AL,25_34,neg_zero,45896,2022
AL,25_34,1_10k,55495,2022
AL,25_34,10_25k,42780,2022
AL,25_34,25_50k,619,2022
AL,35_44,neg_zero,31264,2022
AL,35_44,1_10k,33999,2022
AL,35_44,10_25k,34339,2022
AL,35_44,25_50k,1868,2022
AL,45_54,neg_zero,29501,2022
AL,45_54,1_10k,32338,2022
AL,45_54,10_25k,29461,2022
AL,45_54,25_50k,452,2022
AL,55_64,neg_zero,25118,2022
AL,55_64,1_10k,42771,2022
AL,55_64,10_25k,39835,2022
AL,55_64,25_50k,1131,2022
AL,65_74,neg_zero,8029,2022
AL,65_74,1_10k,32074,2022
AL,65_74,10_25k,36615,2022
AL,65_74,25_50k,1121,2022
AL,75p,neg_zero,7425,2022
AL,75p,1_10k,31154,2022
AL,75p,10_25k,27834,2022
AL,75p,25_50k,1163,2022
AR,u25,neg_zero,96682,2022
AR,u25,1_10k,58441,2022
AR,u25,10_25k,19278,2022
AR,u25,25_50k,4,2022
AR,25_34,neg_zero,31608,2022
AR,25_34,1_10k,22723,2022
AR,25_34,10_25k,23067,2022
AR,25_34,25_50k,573,2022
AR,35_44,neg_zero,22386,2022
AR,35_44,1_10k,24919,2022
AR,35_44,10_25k,21556,2022
AR,35_44,25_50k,1415,2022
AR,45_54,neg_zero,20351,2022
AR,45_54,1_10k,20997,2022
AR,45_54,10_25k,14652,2022
AR,45_54,25_50k,685,2022
AR,55_64,neg_zero,15240,2022
AR,55_64,1_10k,26045,2022
AR,55_64,10_25k,23625,2022
AR,55_64,25_50k,660,2022
AR,65_74,neg_zero,4523,2022
AR,65_74,1_10k,20379,2022
AR,65_74,10_25k,21856,2022
AR,65_74,25_50k,766,2022
AR,75p,neg_zero,3759,2022
AR,75p,1_10k,21379,2022
AR,75p,10_25k,15465,2022
AR,75p,25_50k,804,2022
AZ,u25,neg_zero,181722,2022
AZ,u25,1_10k,141395,2022
AZ,u25,10_25k,50177,2022
AZ,u25,25_50k,76,2022
AZ,25_34,neg_zero,77658,2022
AZ,25_34,1_10k,62287,2022
AZ,25_34,10_25k,44923,2022
AZ,25_34,25_50k,1206,2022
AZ,35_44,neg_zero,52112,2022
AZ,35_44,1_10k,37889,2022
AZ,35_44,10_25k,29572,2022
AZ,35_44,25_50k,1181,2022
AZ,45_54,neg_zero,39990,2022
AZ,45_54,1_10k,34018,2022
AZ,45_54,10_25k,25492,2022
AZ,45_54,25_50k,1412,2022
AZ,55_64,neg_zero,39871,2022
AZ,55_64,1_10k,50334,2022
AZ,55_64,10_25k,31496,2022
AZ,55_64,25_50k,1181,2022
AZ,65_74,neg_zero,17101,2022
AZ,65_74,1_10k,41349,2022
AZ,65_74,10_25k,39343,2022
AZ,65_74,25_50k,1316,2022
AZ,75p,neg_zero,15754,2022
AZ,75p,1_10k,33295,2022
AZ,75p,10_25k,33206,2022
AZ,75p,25_50k,1682,2022
CA,u25,neg_zero,1029583,2022
CA,u25,1_10k,781688,2022
CA,u25,10_25k,268189,2022
CA,u25,25_50k,564,2022
CA,25_34,neg_zero,422996,2022
