state,n_wages,wages_amt,qcew_avg_emplvl,qcew_wages,ssa_covered_persons,ssa_covered_wages,ht2_returns_per_ssa_person,ht2_wages_per_ssa_wages,ht2_wages_per_qcew_wages
AK,290430,16789836000,322136,17303197044,398692,18612540000,0.728457054568439,0.902071184266092,0.970331433971735
AL,1708300,84006884000,1936819,89088710816,2309616,90715027000,0.739646763791037,0.926052571201902,0.942957679267626
AR,1025860,48569860000,1200542,51573741418,1416130,52896567000,0.724410894480027,0.918204389332109,0.941755604006817
AZ,2441270,132701860000,2747638,137782584614,3268597,142057840000,0.746886202245184,0.934139643401589,0.963125059467902
CA,14852370,1039470012000,17019702,1120858375295,18810631,1127825166000,0.789573194009281,0.921658820299812,0.927387469203164
CO,2264040,143020954000,2609770,148532901790,3018752,153422962000,0.749992049694708,0.93220044858735,0.962890728427342
CT,1453010,114531917000,1669616,111257378942,1928165,129690002000,0.753571400787796,0.883120635621549,1.02943209780007
DC,299050,23950089000,763847,70689369355,407975,27751241000,0.733010601139776,0.86302767505064,0.338807506963647
DE,380760,21257304000,441873,24668830510,511729,24697044000,0.744065706653326,0.860722603077518,0.861707002745142
FL,7967720,426689761000,8494623,411607220660,9934643,425473355000,0.802013721076842,1.00285894753621,1.03664304118819
GA,3803600,212663356000,4346453,226835537083,5141264,235667669000,0.73981806808598,0.902386640061348,0.937522218673283
HI,558140,31008568000,654185,32494225407,748006,33668921000,0.746170485263487,0.920984904743458,0.954279340763114
IA,1224030,65158174000,1540435,70973486797,1715455,69199584000,0.713530812524957,0.941597770298735,0.918063588821089
ID,624590,30859324000,706820,29223460392,859513,35172612000,0.726678944937424,0.877367993028212,1.05597775164394
IL,5104420,316820456000,5934549,344033116006,6677573,345122702000,0.764412459436984,0.917993670552568,0.92090104487056
IN,2614450,135210409000,3018177,139414134578,3579246,144741914000,0.730447138866678,0.934148273042734,0.969847206736071
KS,1107940,60027007000,1371633,61883009214,1530902,64147645000,0.72371712885606,0.935763222484629,0.970007886856606
KY,1611200,77758788000,1874455,84660893346,2207188,84376566000,0.729978597201507,0.921568531243616,0.918473511520935
LA,1651160,81713164000,1907721,88709277525,2247180,90108507000,0.734769800372022,0.906830739077721,0.921134364745239
MA,2903130,218868578000,3543383,247784676330,3804709,234021554000,0.763036016683536,0.935249656533774,0.883301506944322
MD,2467280,169181232000,2653569,158159861804,3241970,184769529000,0.761043439637011,0.91563383267595,1.06968500143012
ME,539290,26730035000,609271,26753956609,717706,27718486000,0.751407958133275,0.964339646833525,0.999105866494829
MI,3795690,208649278000,4294711,225417449211,5067096,222419821000,0.749085866934434,0.938087608657863,0.92561280739494
MN,2329250,146890599000,2856105,160342021280,3172189,156518864000,0.734272138261623,0.938484954759191,0.916107941183364
MO,2306760,120734981000,2781242,131730999233,3143828,127970776000,0.733742431201707,0.94345744218977,0.91652672266191
MS,1039120,44585255000,1128498,43772163354,1377363,47388548000,0.754427119067377,0.940844505301154,1.01857554170728
MT,405560,18919424000,459431,19316716816,616707,21231774000,0.657621852840976,0.89109011804666,0.979432694500604
NC,3806090,203715940000,4330606,211852325721,5070055,213494984000,0.750699943097264,0.954195439083477,0.961594069390981
ND,310390,17025713000,414038,20831602133,438275,18988342000,0.708208316696138,0.896640317516927,0.817302139859374
NE,772990,41089110000,972764,43629692705,1098340,45639066000,0.70378025019575,0.900305672337817,0.941769410979398
NH,594590,38427722000,653487,36032079450,783304,40976559000,0.759079488934054,0.93779768086432,1.06648638065212
NJ,3696280,279913981000,4006799,256601910659,4774811,296570165000,0.774120692944705,0.943837290578437,1.09084916897591
NM,734940,33047774000,810516,35285935231,950412,35333088000,0.773285690837237,0.935320852793846,0.93657072665503
NV,1173530,61295253000,1326151,63822733484,1438779,62377026000,0.815642986170913,0.982657509192567,0.960398429430579
NY,7957650,549679189000,9276868,655705360630,10157963,585873442000,0.783390331309535,0.938221720929279,0.838302112509603
OH,4673140,241634521000,5364626,263689018977,6166559,269103459000,0.757819717609124,0.897924247789026,0.916361712510585
OK,1348110,67689882000,1581198,71345267854,1900314,72772976000,0.709414338893467,0.93015135178751,0.948764845042276
OR,1560310,87930454000,1883407,96276547821,2080378,93829029000,0.750012738069716,0.937134860470527,0.913311247547873
PA,5096290,297936375000,5799123,313152367046,6710730,319197144000,0.759424086500276,0.933392984869564,0.951410260156951
RI,451750,25549471000,477362,25223781014,588243,27458862000,0.767964939659291,0.930463578570736,1.01291202083539
SC,1854410,90321290000,2035341,89914574322,2472949,99022788000,0.749877979691453,0.912126307734337,1.00452335654222
SD,350020,17073565000,422489,17927118960,549578,19853262000,0.636888667304732,0.859987895188206,0.952387555306321
TN,2528710,131331777000,2930932,143089210313,3355416,137435552000,0.753620415471584,0.955588092664699,0.917831447337775
TX,10576940,625941141000,12014802,670360614864,13603258,656086844000,0.777529912319534,0.954052267202602,0.933737942117898
UT,1151460,64453150000,1430588,66629721895,1608131,65716763000,0.716023756771059,0.980771831381896,0.967333318628734
VA,3350180,220151790000,3838368,216880125573,4477629,231554212000,0.748204016009366,0.950757008902952,1.01508512787124
VT,266840,13648746000,309442,14291898153,364923,14888935000,0.731222751100917,0.916703981849608,0.954998828978851
WA,2955570,204003481000,3290209,204126405531,3856943,216078350000,0.766298594508656,0.944118098828504,0.999397801912593
WI,2378690,130567061000,2850145,134635668564,3215241,139220592000,0.73981701527195,0.937843023968753,0.969780611576449
WV,624940,28952827000,683807,29690517680,821868,30368668000,0.760389746285292,0.953378231801276,0.975153997382238
WY,224600,12309340000,269586,12473883938,312791,12412888000,0.718051350582338,0.991658025110675,0.986808925045491
