state,pep_adults_18p,filing_adults,residual_nonfiling_adults,amp_pep,amp_filing,tolerance_pct,tolerance_adults
US,260614133,213080180,47533953,5.4826942964327,4.4826942964327,3.54099155969786,1683173.26372075
AK,557088,469750,87338,6.37852939155923,5.37852939155923,4.17175669277498,3643.52886033582
AL,3946485,2902560,1043925,3.78042962856527,2.78042962856527,2.34640347638347,24494.6924908362
AR,2340429,1782010,558419,4.19117007121892,3.19117007121892,2.63388842727462,14708.1334167026
AZ,5780637,4526520,1254117,4.60932831625757,3.60932831625757,2.92716408925058,36710.0624611867
CA,30532802,24629780,5903022,5.17240186467203,4.17240186467203,3.32275030546915,196142.681536911
CO,4621847,4015820,606027,7.62647043778578,6.62647043778578,5.05156316899208,30613.8367261476
CT,2888218,2432480,455738,6.33745265920331,5.33745265920331,4.14281628535709,18880.3880825607
DC,549983,406910,143073,3.84407260629189,2.84407260629189,2.39090167051594,3420.73474705728
DE,809095,673990,135105,5.988638466378,4.988638466378,3.89712408158916,5265.20949043103
FL,18004510,14690290,3314220,5.43250297204169,4.43250297204169,3.50568007447914,116185.950164402
GA,8386668,6503190,1883478,4.45275601838726,3.45275601838726,2.81729303950589,53063.0945946248
HI,1143262,930280,212982,5.36788085378107,4.36788085378107,3.46022138067843,7369.64870099654
IA,2469199,2080280,388919,6.34887727264546,5.34887727264546,4.15086529234981,16143.503786354
ID,1474824,1250310,224514,6.5689622918838,5.5689622918838,4.30594375835934,9667.44656964289
IL,9863135,8159900,1703235,5.79082451922371,4.79082451922371,3.75784673005824,64004.9607527075
IN,5249480,4422930,826550,6.3510737402456,5.3510737402456,4.15241278739191,34321.7678941878
KS,2238021,1891880,346141,6.46563394685981,5.46563394685981,4.23313054298625,14652.600392798
KY,3498104,2715400,782704,4.46925529957685,3.46925529957685,2.82886793905432,22141.6625136958
LA,3514450,2574760,939690,3.74001000329896,2.74001000329896,2.31815280142157,21783.4500596783
MA,5665262,4732130,933132,6.07123322316671,5.07123322316671,3.95529010484165,36908.077661111
MD,4818233,4051760,766473,6.28623969794109,5.28623969794109,4.1067365292912,31477.0266781541
ME,1139657,972110,167547,6.80201376330224,5.80201376330224,4.47020007789645,7489.68612451316
MI,7913876,6590760,1323116,5.98124125171187,4.98124125171187,3.8919150594192,51494.5508575849
MN,4409934,3939780,470154,9.37976492808739,8.37976492808739,6.28888802484553,29567.4586043322
MO,4797555,3940570,856985,5.59817849787336,4.59817849787336,3.62225233771601,31042.1591963756
MS,2255038,1630950,624088,3.61333337606235,2.61333337606235,2.22966866490335,13915.094577422
MT,885762,761040,124722,7.10189060470486,6.10189060470486,4.6816108102068,5838.99863470613
NC,8377021,6720300,1656721,5.05638607828355,4.05638607828355,3.24119222620135,53697.5122618453
ND,596388,508770,87618,6.80668355817298,5.80668355817298,4.47349178511202,3919.58403227945
NE,1488438,1304940,183498,8.11146715495537,7.11146715495537,5.39372006369279,9897.368442475
NH,1141902,1010760,131142,8.70737063640939,7.70737063640939,5.81424684561101,7624.91959827119
NJ,7268014,6203230,1064784,6.8258106808517,5.8258106808517,4.48697452466456,47776.5868227043
NM,1653759,1291910,361849,4.57030142407468,3.57030142407468,2.89977186023525,10492.7954785426
NV,2482917,2025740,457177,5.43097531153142,4.43097531153142,3.50460536458332,16022.2496676411
NY,15668987,12598730,3070257,5.10347733105079,4.10347733105079,3.2742940870895,100529.243409451
OH,9181188,7528650,1652538,5.55581051691398,4.55581051691398,3.59243788971626,59366.4012539593
OK,3059009,2367260,691749,4.42213722029233,3.42213722029233,2.79581476271251,19340.0206629162
OR,3401409,2767240,634169,5.36356870171831,4.36356870171831,3.45718820114945,21924.4158433475
PA,10329335,8543230,1786105,5.78316224410099,4.78316224410099,3.7524527510346,67022.7462088665
RI,892093,735690,156403,5.70381002921939,4.70381002921939,3.69659565142066,5781.58649669146
SC,4152041,3340430,811611,5.11580178188812,4.11580178188812,3.28295797183588,26644.8480247969
SD,688563,615590,72973,9.43585983857043,8.43585983857043,6.3284907780045,4618.08957543322
TN,5493089,4429450,1063639,5.16442984884909,4.16442984884909,3.31714529489095,35282.4510431252
TX,22576319,18416120,4160199,5.42674016315085,4.42674016315085,3.50162595341105,145674.607897547
UT,2446549,2154060,292489,8.36458465104671,7.36458465104671,5.57232858567581,16298.4481569573
VA,6794181,5668380,1125801,6.03497509773042,5.03497509773042,3.92975503896209,44241.2215261856
VT,531700,457810,73890,7.19583164162945,6.19583164162945,4.74785011205315,3508.18644779607
WA,6126868,5187000,939868,6.51886009524742,5.51886009524742,4.27063677021131,40138.3483994496
WI,4640604,4053940,586664,7.91015640980186,6.91015640980186,5.2516863014525,30809.7529235533
WV,1419350,1078350,341000,4.16231671554252,3.16231671554252,2.61367210309003,8912.62187153702
WY,450855,394460,56395,7.99459171912404,6.99459171912404,5.31125715044765,2995.28346999495
