band,pep_adults,filing_adults,residual_nonfiling_adults
18_25,36009492,24533245,11476247
26_34,39853595,34252362,5601233
35_44,40865552,35862198,5003354
45_54,42499778,36132033,6367745
55_64,42559216,35539110,7020106
65p,51041073,39167981,11873092
total_18p,252828706,205486929,47341777
