state,pep_adults_18p,married_filing_adults,single_filing_adults,dependents,filing_adults,residual_nonfiling_adults,residual_share_of_adults
AK,557088,252790,216960,165630,469750,87338,0.156775949221667
AL,3946485,1558010,1344550,1223560,2902560,1043925,0.264520199620675
AR,2340429,1003460,778550,753050,1782010,558419,0.23859685553375
AZ,5780637,2362460,2164060,1756780,4526520,1254117,0.216951349825287
CA,30532802,12623420,12006360,9813390,24629780,5903022,0.19333377919262
CO,4621847,2154820,1861000,1234450,4015820,606027,0.131122254804194
CT,2888218,1264380,1168100,770740,2432480,455738,0.157792105720552
DC,549983,127760,279150,127280,406910,143073,0.260140767987374
DE,809095,355740,318250,227500,673990,135105,0.166982863569791
FL,18004510,7426450,7263840,5041830,14690290,3314220,0.184077211765274
GA,8386668,3279880,3223310,2812790,6503190,1883478,0.224580011990459
HI,1143262,499480,430800,307810,930280,212982,0.186293255614199
IA,2469199,1213890,866390,736770,2080280,388919,0.157508163578553
ID,1474824,773020,477290,485890,1250310,224514,0.152231045873948
IL,9863135,4222450,3937450,2945620,8159900,1703235,0.172686980356651
IN,5249480,2426440,1996490,1632000,4422930,826550,0.157453690651265
KS,2238021,1092730,799150,700510,1891880,346141,0.154663874914489
KY,3498104,1526640,1188760,1041050,2715400,782704,0.223750923357339
LA,3514450,1243760,1331000,1190590,2574760,939690,0.267378963991521
MA,5665262,2412770,2319360,1350080,4732130,933132,0.164711181936511
MD,4818233,2024190,2027570,1496550,4051760,766473,0.159077612062347
ME,1139657,538630,433480,247560,972110,167547,0.14701528617821
MI,7913876,3533770,3056990,2161220,6590760,1323116,0.167189377240685
MN,4409934,2184440,1755340,1291830,3939780,470154,0.106612479914665
MO,4797555,2190460,1750110,1425810,3940570,856985,0.178629531084063
MS,2255038,800380,830570,791110,1630950,624088,0.27675276425497
MT,885762,432710,328330,225530,761040,124722,0.140807575849946
NC,8377021,3680730,3039570,2564210,6720300,1656721,0.197769708348588
ND,596388,288270,220500,177310,508770,87618,0.146914424837522
NE,1488438,745690,559250,487630,1304940,183498,0.12328225965744
NH,1141902,576340,434420,255300,1010760,131142,0.114845231902563
NJ,7268014,3247950,2955280,2227930,6203230,1064784,0.146502744766314
NM,1653759,623580,668330,491450,1291910,361849,0.21880394906392
NV,2482917,976940,1048800,766930,2025740,457177,0.184128990215944
NY,15668987,5932410,6666320,4410800,12598730,3070257,0.195944830383738
OH,9181188,4039830,3488820,2640730,7528650,1652538,0.17999173963108
OK,3059009,1350220,1017040,1011790,2367260,691749,0.226134999929716
OR,3401409,1514070,1253170,855050,2767240,634169,0.186443029932596
PA,10329335,4585620,3957610,2720930,8543230,1786105,0.172915778218056
RI,892093,351820,383870,208570,735690,156403,0.175321407073029
SC,4152041,1800770,1539660,1253380,3340430,811611,0.195472780736028
SD,688563,356680,258910,211650,615590,72973,0.105978683141557
TN,5493089,2446030,1983420,1683420,4429450,1063639,0.193632216772748
TX,22576319,9814010,8602110,8360230,18416120,4160199,0.184272688563623
UT,2446549,1306940,847120,949220,2154060,292489,0.119551662361964
VA,6794181,3139330,2529050,2037110,5668380,1125801,0.165700766582462
VT,531700,249030,208780,112410,457810,73890,0.13896934361482
WA,6126868,2925780,2261220,1750930,5187000,939868,0.153401052544302
WI,4640604,2260250,1793690,1242470,4053940,586664,0.126419750532474
WV,1419350,623260,455090,373740,1078350,341000,0.240250819036883
WY,450855,233420,161040,133200,394460,56395,0.125084561555267
