year,tax_status,size_bin,gross_estate_for_tax_purposes_n,gross_estate_for_tax_purposes_amt,net_worth_n,net_worth_amt,personal_residence_n,personal_residence_amt,other_real_estate_n,other_real_estate_amt,real_estate_partnerships_n,real_estate_partnerships_amt,closely_held_stock_n,closely_held_stock_amt,publicly_traded_stock_n,publicly_traded_stock_amt,state_and_local_bonds_n,state_and_local_bonds_amt,federal_bonds_n,federal_bonds_amt,corporate_and_foreign_bonds_n,corporate_and_foreign_bonds_amt,bond_funds_n,bond_funds_amt,unclassifiable_mutual_funds_n,unclassifiable_mutual_funds_amt,unallocated_investments_n,unallocated_investments_amt,cash_assets_n,cash_assets_amt,net_life_insurance_n,net_life_insurance_amt,farm_assets_n,farm_assets_amt,private_equity_and_hedge_funds_n,private_equity_and_hedge_funds_amt,other_limited_partnerships_n,other_limited_partnerships_amt,other_noncorporate_business_assets_n,other_noncorporate_business_assets_amt,mortgages_and_notes_n,mortgages_and_notes_amt,retirement_assets_n,retirement_assets_amt,depletables_intangibles_n,depletables_intangibles_amt,art_n,art_amt,other_assets_n,other_assets_amt,community_property_n,community_property_amt,total_joint_property_n,total_joint_property_amt,total_lifetime_transfers_n,total_lifetime_transfers_amt,total_allowable_deductions_n,total_allowable_deductions_amt,funeral_expenses_n,funeral_expenses_amt,executors_commissions_n,executors_commissions_amt,attorneys_fees_n,attorneys_fees_amt,other_expenses_losses_n,other_expenses_losses_amt,debts_and_mortgages_n,debts_and_mortgages_amt,bequests_to_surviving_spouse_n,bequests_to_surviving_spouse_amt,charitable_deduction_n,charitable_deduction_amt,state_death_tax_deduction_n,state_death_tax_deduction_amt,taxable_estate_n,taxable_estate_amt,adjusted_taxable_gifts_n,adjusted_taxable_gifts_amt,adjusted_taxable_estate_n,adjusted_taxable_estate_amt,tentative_estate_tax_n,tentative_estate_tax_amt,gift_tax_paid_n,gift_tax_paid_amt,total_tax_before_credits_n,total_tax_before_credits_amt,deceased_spousal_unused_exclusion_n,deceased_spousal_unused_exclusion_amt,allowable_unified_credit_n,allowable_unified_credit_amt,net_estate_tax_n,net_estate_tax_amt
2019,nontaxable,all,3838,82460493000,,,2716,3542290000,2951,7364779000,1075,5145202000,1115,6389644000,3104,19244194000,1940,4282265000,954,1146249000,1358,1039937000,810,288918000,852,283151000,503,1482013000,3775,7146663000,1676,1115665000,481,2039510000,640,3300582000,1187,2785010000,1107,5400460000,1190,2561868000,2666,5368859000,326,296120000,612,1307717000,3358,929399000,903,28921644000,2228,5964576000,2112,33632051000,3797,62858374000,2887,62306000,339,65056000,1305,89785000,1373,130831000,2386,3314893000,2815,49002982000,856,10106500000,442,217375000,3325,19384373000,1877,6287641000,3493,25672014000,3493,10084191000,342,767179000,3491,9317012000,316,1435740000,3838,13648541000,0,0
2019,nontaxable,under_10m,1326,9262869000,,,890,755382000,973,1213962000,259,386011000,318,468235000,1029,1892854000,637,465713000,303,65709000,430,119462000,258,39163000,276,47846000,166,223274000,1287,857409000,567,220620000,153,344276000,134,60745000,335,281924000,300,263070000,334,262090000,878,1071336000,91,36226000,128,29089000,1103,158474000,306,3359127000,687,724808000,648,2983742000,1299,4483472000,945,15229000,145,12793000,452,22985000,457,24305000,798,403796000,876,3445754000,211,526863000,152,54606000,1109,4724792000,588,1823019000,1165,6547811000,1165,2557351000,111,116660000,1165,2440691000,146,608865000,1326,3543861000,0,0
2019,nontaxable,10m_20m,1678,23246459000,,,1218,1445326000,1283,2600880000,482,1599827000,462,1349228000,1366,5496565000,865,1413298000,428,301613000,596,247716000,365,92345000,388,109842000,243,566326000,1661,1985680000,740,494541000,224,908031000,271,171160000,499,532340000,449,765266000,517,541527000,1211,2141021000,166,53262000,254,153622000,1488,277043000,390,8048823000,973,1470360000,959,9034541000,1664,12822245000,1282,23754000,125,16254000,547,29687000,583,32194000,1032,1004233000,1217,9665221000,389,2030868000,202,127289000,1490,10296924000,755,1411195000,1544,11708120000,1544,4601969000,101,45549000,1541,4556420000,148,745417000,1678,6824764000,0,0
2019,nontaxable,20m_50m,629,18198885000,,,444,810563000,516,1867378000,235,1456755000,213,1410867000,536,4733033000,337,1403605000,165,122615000,241,222319000,140,57082000,140,80530000,64,405211000,622,1429724000,277,280155000,65,332870000,156,246315000,243,672870000,239,738626000,219,557463000,443,946124000,45,33908000,147,197340000,575,193533000,147,6070901000,421,1268521000,364,7056600000,629,14776476000,496,13704000,52,17113000,219,18481000,236,42693000,403,724883000,537,11504717000,192,2424673000,61,25533000,553,3396504000,374,1068266000,585,4464770000,585,1755065000,72,42558000,585,1712507000,14,50782000,629,2490740000,0,0
2019,nontaxable,50m_plus,205,31752280000,,,164,531019000,180,1682559000,99,1702608000,122,3161314000,172,7121742000,101,999649000,59,656313000,91,450440000,47,100327000,48,44934000,31,287202000,204,2873850000,91,120348000,39,454333000,80,2822363000,110,1297876000,119,3633498000,121,1200788000,133,1210378000,24,172724000,82,927666000,192,300349000,59,11442794000,147,2500887000,141,14557168000,205,30776181000,165,9620000,17,18897000,88,18632000,97,31639000,153,1181981000,186,24387290000,63,5124097000,26,9947000,174,966153000,160,1985160000,200,2951313000,200,1169805000,58,562412000,200,607394000,8,30675000,205,789176000,0,0
2020,all,all,3441,122254529000,,,2421,4067681000,2715,9284545000,1029,6577539000,1155,14653031000,2930,31886752000,1929,7752485000,1112,1526760000,1372,1246584000,799,421477000,766,462878000,354,1511827000,3400,7411063000,1356,966705000,397,1944459000,695,2166804000,1170,5136216000,1081,11303504000,1241,3708093000,2333,4390098000,283,438787000,808,4246660000,3118,1150582000,525,24195466000,1701,4053355000,2042,52748596000,3424,72108447000,2818,64335000,696,262959000,1861,241486000,1919,371533000,2436,3843464000,1802,39743625000,875,27440435000,686,1810160000,3233,48334142000,2108,9535215000,3317,57869357000,3316,22969910000,559,989774000,3314,21980136000,301,1299435000,3441,15567134000,1275,9333523000
2020,all,under_10m,326,2396583000,,,193,191282000,212,257120000,45,78113000,68,123335000,251,561498000,135,130579000,76,27702000,94,25988000,58,10526000,58,15439000,25,33344000,319,249269000,112,32350000,31,55751000,44,25271000,86,91703000,75,106834000,104,106154000,196,225939000,26,4595000,40,8731000,278,35061000,37,480918000,128,99259000,186,953335000,324,624913000,264,4129000,57,6418000,185,11139000,172,10258000,209,105155000,111,388399000,53,94261000,72,34010000,308,1737464000,251,1542673000,319,3280137000,319,1294549000,90,108377000,317,1186173000,33,116159000,326,1260498000,123,101117000
2020,all,10m_20m,1859,26528593000,,,1298,1666435000,1449,3051158000,505,1488063000,552,1550391000,1549,6852161000,1022,1797856000,571,310237000,711,328100000,417,112947000,407,114933000,206,616374000,1833,2206833000,778,453973000,212,756764000,279,213854000,544,754897000,504,885188000,582,697794000,1301,2136537000,134,74873000,351,117745000,1664,341482000,300,6189630000,966,1447916000,1042,9925472000,1844,9611180000,1508,27063000,331,56649000,934,70411000,958,83353000,1279,1020213000,1007,7047283000,389,1258740000,319,323147000,1745,16593736000,977,2695269000,1777,19289006000,1776,7620518000,171,123904000,1776,7496614000,195,918257000,1859,8603184000,539,863859000
2020,all,20m_50m,908,27278295000,,,662,1221265000,753,2444813000,308,1763453000,340,2002471000,808,7857830000,554,2493249000,328,367457000,394,365779000,233,145373000,213,137362000,89,423552000,898,2002529000,341,299650000,101,537816000,225,458085000,361,967154000,328,878190000,359,966364000,626,1267558000,84,86177000,242,343865000,841,248302000,131,6212811000,452,1224188000,575,11817364000,908,13112147000,747,16530000,220,71005000,532,76426000,557,135926000,664,971491000,485,9478005000,273,2324702000,207,406995000,854,13758627000,584,2705733000,877,16464360000,877,6538978000,164,294781000,877,6244197000,59,228047000,908,4131342000,427,2738058000
2020,all,50m_plus,349,66051058000,,,269,988700000,300,3531453000,171,3247911000,195,10976834000,321,16615263000,217,3330801000,138,821365000,173,526718000,91,152632000,88,195144000,34,438557000,349,2952432000,125,180731000,52,594128000,147,1469594000,179,3322461000,174,9433291000,196,1937782000,210,760063000,39,273142000,176,3776319000,335,525737000,57,11312108000,155,1281992000,240,30052424000,349,48760206000,298,16612000,88,128886000,210,83510000,232,141995000,284,1746605000,199,22829937000,160,23762732000,87,1046008000,327,16244314000,296,2591540000,343,18835854000,343,7515865000,133,462712000,343,7053153000,14,36972000,349,1572110000,186,5630489000
2020,taxable,all,1275,63541687000,,,859,1697093000,982,3383714000,387,2717768000,403,10060969000,1104,13677464000,790,4267979000,451,902957000,548,640840000,306,216104000,298,254119000,118,715190000,1267,3542675000,420,284531000,141,755952000,252,829193000,453,3104305000,371,8993332000,539,2213112000,784,1373215000,124,288170000,404,3051842000,1189,571166000,43,4408414000,385,360079000,832,24266461000,1273,28052911000,1188,24952000,507,211459000,1086,174282000,1074,298671000,1110,1614254000,174,4631092000,414,20990216000,394,1619400000,1275,33867791000,929,6022698000,1275,39890489000,1275,15887173000,340,840763000,1275,15046410000,103,243507000,1275,5682234000,1275,9333523000
2020,taxable,under_10m,123,908880000,,,65,52377000,76,87345000,19,35486000,22,36928000,96,240591000,54,36336000,30,13110000,39,13646000,22,3006000,21,6196000,9,13968000,121,120955000,26,2425000,11,26329000,16,14092000,36,52170000,25,26050000,42,41902000,63,63453000,11,3734000,14,1596000,104,17186000,,,36,19304000,79,401876000,123,54368000,115,1835000,42,5204000,110,7622000,97,6676000,99,21017000,4,2665000,16,5633000,35,19059000,123,835453000,100,735491000,123,1570944000,123,621794000,34,54773000,123,567021000,6,15508000,123,465398000,123,101117000
2020,taxable,10m_20m,539,7925103000,,,346,451370000,408,823321000,146,380480000,138,302590000,455,2337943000,327,610463000,180,114497000,227,93803000,122,40908000,128,41064000,54,193907000,536,801249000,188,69510000,61,215137000,64,31135000,153,219425000,128,206979000,208,276260000,330,536437000,52,47971000,132,33605000,496,97049000,13,206882000,166,142977000,326,3012223000,538,651510000,509,7906000,222,37523000,462,39404000,451,56599000,462,194835000,45,145446000,143,146535000,146,184853000,539,7088210000,354,1427576000,539,8515786000,539,3377100000,101,86759000,539,3290341000,43,87753000,539,2422729000,539,863859000
2020,taxable,20m_50m,427,13075339000,,,306,625563000,340,1030663000,137,772837000,145,767101000,381,4096619000,291,1501238000,162,159825000,191,189525000,112,72647000,103,69166000,38,166735000,424,969296000,139,82320000,41,253604000,99,199546000,164,505255000,131,310390000,179,447593000,280,473278000,40,26129000,155,233595000,407,122411000,,,130,104468000,290,6031903000,427,2043294000,394,7656000,177,62053000,364,57866000,368,120854000,374,376104000,66,659924000,150,724544000,148,381616000,427,10649904000,305,1839131000,427,12489035000,427,4972472000,113,262297000,427,4710176000,44,126030000,427,1956374000,427,2738058000
2020,taxable,50m_plus,186,41632365000,,,143,567783000,159,1442385000,85,1528964000,99,8954349000,172,7002311000,118,2119942000,79,615526000,91,343867000,49,99543000,46,137694000,17,340579000,186,1651176000,67,130275000,27,260881000,73,584419000,100,2327455000,86,8449913000,110,1447355000,111,300046000,21,210336000,104,2783046000,183,334519000,14,3741681000,53,93330000,137,14820459000,186,25303739000,170,7555000,67,106680000,150,69390000,158,114541000,173,1022299000,59,3823058000,105,20113505000,65,1033872000,186,15294224000,170,2020500000,186,17314724000,186,6915807000,93,436935000,186,6478872000,9,14216000,186,837733000,186,5630489000
2020,nontaxable,all,2166,58712842000,,,1561,2370589000,1732,5900830000,643,3859771000,752,4592062000,1825,18209287000,1139,3484506000,661,623803000,824,605744000,493,205373000,468,208758000,236,796638000,2132,3868387000,936,682174000,256,1188507000,443,1337612000,717,2031911000,710,2310172000,702,1494982000,1549,3016883000,159,150618000,404,1194818000,1929,579416000,481,19787052000,1317,3693276000,1211,28482134000,2150,44055536000,1629,39383000,188,51499000,775,67204000,845,72862000,1327,2229210000,1628,35112533000,461,6450218000,291,190760000,1959,14466351000,1179,3512517000,2043,17978868000,2042,7082737000,220,149011000,2039,6933726000,198,1055927000,2166,9884901000,0,0
