year,tax_status,size_bin,gross_estate_for_tax_purposes_n,gross_estate_for_tax_purposes_amt,net_worth_n,net_worth_amt,personal_residence_n,personal_residence_amt,other_real_estate_n,other_real_estate_amt,real_estate_partnerships_n,real_estate_partnerships_amt,closely_held_stock_n,closely_held_stock_amt,publicly_traded_stock_n,publicly_traded_stock_amt,state_and_local_bonds_n,state_and_local_bonds_amt,federal_bonds_n,federal_bonds_amt,corporate_and_foreign_bonds_n,corporate_and_foreign_bonds_amt,bond_funds_n,bond_funds_amt,unclassifiable_mutual_funds_n,unclassifiable_mutual_funds_amt,unallocated_investments_n,unallocated_investments_amt,cash_assets_n,cash_assets_amt,net_life_insurance_n,net_life_insurance_amt,farm_assets_n,farm_assets_amt,private_equity_and_hedge_funds_n,private_equity_and_hedge_funds_amt,other_limited_partnerships_n,other_limited_partnerships_amt,other_noncorporate_business_assets_n,other_noncorporate_business_assets_amt,mortgages_and_notes_n,mortgages_and_notes_amt,retirement_assets_n,retirement_assets_amt,depletables_intangibles_n,depletables_intangibles_amt,art_n,art_amt,other_assets_n,other_assets_amt,community_property_n,community_property_amt,total_joint_property_n,total_joint_property_amt,total_lifetime_transfers_n,total_lifetime_transfers_amt,total_allowable_deductions_n,total_allowable_deductions_amt,funeral_expenses_n,funeral_expenses_amt,executors_commissions_n,executors_commissions_amt,attorneys_fees_n,attorneys_fees_amt,other_expenses_losses_n,other_expenses_losses_amt,debts_and_mortgages_n,debts_and_mortgages_amt,bequests_to_surviving_spouse_n,bequests_to_surviving_spouse_amt,charitable_deduction_n,charitable_deduction_amt,state_death_tax_deduction_n,state_death_tax_deduction_amt,taxable_estate_n,taxable_estate_amt,adjusted_taxable_gifts_n,adjusted_taxable_gifts_amt,adjusted_taxable_estate_n,adjusted_taxable_estate_amt,tentative_estate_tax_n,tentative_estate_tax_amt,gift_tax_paid_n,gift_tax_paid_amt,total_tax_before_credits_n,total_tax_before_credits_amt,deceased_spousal_unused_exclusion_n,deceased_spousal_unused_exclusion_amt,allowable_unified_credit_n,allowable_unified_credit_amt,net_estate_tax_n,net_estate_tax_amt
2016,all,all,12411,192218976000,,,8576,9415008000,9083,15333507000,2498,10358561000,3442,24845317000,10251,46655920000,7178,14331814000,2949,1895144000,4795,2693531000,2922,843971000,3587,1137639000,1367,808096000,12243,14830128000,5234,2445266000,1731,6095882000,1275,4230312000,3608,6943430000,3034,5731340000,3853,6820485000,8288,11023396000,1215,523272000,2049,2226200000,11122,3030763000,1750,38645937000,5983,7325818000,6731,82501655000,12345,101869175000,10413,175777000,2725,542715000,6984,593822000,7005,823433000,8878,7205285000,6257,73796687000,2714,18494489000,2783,2693647000,11551,87778175000,6482,19452339000,11778,107230514000,11776,42256750000,1560,1900024000,11771,40356725000,719,2284036000,12406,26940147000,5219,18296215000
2016,all,under_5m,1218,4072525000,,,592,354258000,667,340226000,167,134907000,207,116805000,938,983800000,639,423197000,218,37127000,362,65145000,229,38390000,302,54481000,119,28994000,1196,480989000,385,52945000,130,151475000,51,14954000,230,90563000,149,47152000,319,159778000,643,391603000,108,19921000,121,15245000,1010,70571000,100,608887000,530,219898000,658,1478149000,1212,1106802000,1047,13795000,243,13290000,766,25535000,737,19260000,820,123513000,432,778642000,232,110212000,327,54257000,1157,2911347000,1145,4352103000,1213,7263450000,1213,2843248000,294,183514000,1212,2659735000,63,165237000,1215,2511884000,611,347096000
2016,all,5m_10m,7052,49292743000,,,4898,3906695000,5125,5475575000,1185,1837610000,1673,2270705000,5720,11261165000,3963,3891522000,1659,381651000,2598,728501000,1587,235329000,2035,444080000,795,265575000,6946,4729763000,3139,1287216000,1011,2852189000,484,158814000,1722,920900000,1427,796369000,1854,1060954000,4969,5713466000,646,233254000,847,138227000,6268,703188000,1067,11690504000,3467,2798366000,3579,16223104000,6994,17485034000,5788,76880000,1372,126613000,3700,188079000,3692,165537000,4842,1767393000,3615,13110194000,1276,1926398000,1418,580098000,6492,31303511000,2790,4764998000,6583,36068509000,6581,14068149000,429,255855000,6577,13812294000,486,1634983000,7050,15501630000,2402,1975360000
2016,all,10m_20m,2635,35824103000,,,1952,2302475000,2043,3599233000,629,1502258000,860,2625627000,2260,9245049000,1597,3350935000,633,270321000,1113,545051000,665,188021000,781,235786000,300,149117000,2604,3376721000,1105,575422000,378,1414999000,348,248793000,941,921855000,806,794597000,879,955295000,1735,2714893000,290,144584000,540,185106000,2420,477967000,380,7638727000,1283,1747055000,1496,13517382000,2633,16063271000,2259,37813000,652,120385000,1508,123371000,1558,139909000,2000,1286423000,1418,12234884000,624,2090661000,612,583037000,2476,19204211000,1431,3617492000,2517,22821703000,2517,8992842000,322,219398000,2517,8773444000,111,331560000,2635,5692156000,1293,3837937000
2016,all,20m_50m,1073,31586989000,,,809,1637408000,874,2759541000,341,1531796000,459,2806720000,939,8640389000,683,2888390000,291,252517000,506,493226000,307,203107000,329,161873000,112,167386000,1066,2769223000,430,269079000,140,612719000,237,507159000,458,1442136000,405,900699000,521,1315184000,692,1369719000,116,68377000,326,329817000,1006,460524000,158,6190305000,488,1091626000,683,12795380000,1073,16513328000,944,23091000,318,103035000,703,118702000,715,194680000,848,1554559000,553,11472012000,369,3078764000,270,517062000,1014,14576658000,739,3234091000,1039,17810749000,1039,7066528000,289,401289000,1039,6665240000,44,118299000,1073,2308279000,611,4576971000
2016,all,50m_plus,434,71442616000,,,325,1214172000,374,3158934000,176,5351990000,243,17025460000,393,16525517000,296,3777770000,148,953527000,217,861607000,135,179124000,140,241419000,40,197024000,433,3473432000,175,260604000,72,1064501000,156,3300592000,257,3567975000,247,3192524000,280,3329275000,249,833716000,55,57137000,215,1557805000,419,1318512000,44,12517513000,215,1468874000,315,38487639000,434,50700739000,375,24198000,140,179393000,307,138135000,303,304046000,369,2473396000,239,36200954000,214,11288455000,157,959192000,413,19782448000,378,3483655000,427,23266104000,427,9285981000,226,839968000,427,8446013000,15,33957000,434,926198000,300,7558851000
2016,taxable,all,5219,107791347000,,,3440,4471595000,3693,7028720000,960,6001471000,1263,16148388000,4478,28322465000,3341,8097514000,1357,1192687000,2181,1516050000,1294,496689000,1593,587211000,491,431186000,5192,8339141000,1894,733168000,682,2772689000,561,3094374000,1556,3301573000,1097,3056292000,1793,4331071000,3082,4197782000,559,218727000,1082,1516356000,4731,1936199000,123,5110078000,1621,1396268000,3099,48962728000,5207,40334421000,4913,83059000,2118,461486000,4491,449754000,4419,691644000,4526,3698943000,718,23203090000,1396,11475640000,1762,2424315000,5219,65029659000,3440,13537230000,5219,78566889000,5219,31143077000,1112,1597085000,5219,29545992000,247,545691000,5219,11187527000,5219,18296215000
2016,taxable,under_5m,611,1963909000,,,275,167921000,295,146007000,77,63961000,81,47521000,478,519975000,341,218564000,120,22164000,190,34441000,116,22382000,155,21095000,53,8797000,601,238444000,167,19816000,51,60041000,29,10062000,123,52058000,59,11543000,150,72195000,293,170225000,60,7748000,60,10804000,496,38146000,,,176,37518000,338,710594000,607,181104000,565,7078000,183,9585000,508,16800000,493,15469000,493,48303000,35,34705000,131,39003000,186,33615000,611,1748506000,585,2566366000,611,4314872000,611,1694941000,170,92272000,611,1602669000,18,15423000,611,1254198000,611,347096000
2016,taxable,5m_10m,2402,17254148000,,,1543,1223897000,1683,1680311000,322,547937000,434,540873000,2040,4699160000,1538,1733127000,633,173274000,945,285875000,560,89775000,751,181918000,218,107157000,2388,1940618000,915,211480000,325,933354000,140,54034000,557,351745000,365,156383000,658,393776000,1475,1609404000,225,67042000,346,33712000,2154,239294000,36,306366000,742,360959000,1346,6166905000,2396,1289736000,2272,27818000,994,94222000,2105,112578000,2046,109457000,2037,392448000,190,267701000,492,226238000,773,384439000,2402,15578975000,1292,3037381000,2402,18616356000,2402,7314645000,304,202291000,2402,7112354000,88,148851000,2402,5127897000,2402,1975360000
2016,taxable,10m_20m,1293,17973504000,,,952,1209061000,963,1566907000,281,699199000,353,1014056000,1137,5365305000,852,1947271000,337,140342000,593,314499000,334,113628000,390,116297000,136,59940000,1291,1905266000,464,164122000,181,649711000,148,89656000,452,400646000,308,210870000,461,546872000,768,1115336000,163,52927000,306,74185000,1197,217409000,40,405241000,394,323071000,781,7101092000,1291,2549428000,1223,19180000,550,105315000,1102,98031000,1109,113231000,1163,548539000,227,1051935000,362,554675000,458,548188000,1293,14874954000,812,2503626000,1293,17378580000,1293,6879785000,235,192730000,1293,6687055000,90,253029000,1293,2831796000,1293,3837937000
2016,taxable,20m_50m,611,18285224000,,,448,949556000,494,1370099000,167,675463000,239,1500867000,549,5445577000,406,1737133000,157,162934000,301,297410000,187,139473000,198,107620000,63,137698000,610,1754040000,229,142386000,73,358680000,136,266650000,249,721298000,210,393969000,324,870004000,381,697415000,67,39059000,204,198767000,590,319127000,,,191,230311000,413,7290193000,611,4457089000,579,13676000,267,89188000,522,93491000,521,164314000,559,780169000,151,1943783000,239,1316113000,212,504191000,611,13323944000,477,2473168000,611,15797112000,611,6283447000,224,353634000,611,5929813000,,,611,1331099000,611,4576971000
2016,taxable,50m_plus,300,52314561000,,,222,921159000,258,2265395000,114,4014911000,156,13045071000,275,12292448000,204,2461419000,111,693974000,152,583826000,96,131430000,99,160281000,20,117594000,300,2500773000,120,195364000,51,770902000,110,2673971000,175,1775827000,156,2283526000,200,2448225000,165,605403000,43,51951000,166,1198888000,294,1122224000,16,3524988000,119,444409000,221,27693945000,300,31857065000,274,15307000,124,163175000,255,128855000,250,289173000,273,1929486000,116,19904966000,173,9339611000,134,953883000,300,19503280000,273,2956689000,300,22459969000,300,8970260000,178,756159000,300,8214101000,,,300,642537000,300,7558851000
2016,nontaxable,all,7192,84427629000,,,5137,4943414000,5390,8304788000,1537,4357090000,2180,8696928000,5772,18333455000,3837,6234300000,1592,702456000,2614,1177481000,1628,347282000,1994,550428000,875,376910000,7052,6490986000,3340,1712099000,1050,3323193000,714,1135938000,2052,3641857000,1937,2675049000,2060,2489414000,5206,6825614000,656,304545000,967,709844000,6391,1094564000,1627,33535859000,4362,5929550000,3632,33538927000,7138,61534754000,5500,92718000,607,81229000,2492,144069000,2586,131789000,4352,3506341000,5539,50593597000,1318,7018848000,1021,269332000,6333,22748516000,3043,5915109000,6559,28663626000,6557,11113673000,448,302939000,6552,10810734000,472,1738345000,7187,15752620000,0,0
2016,nontaxable,under_5m,606,2108615000,,,317,186336000,372,194218000,90,70947000,126,69283000,460,463825000,298,204633000,98,14963000,172,30705000,113,16008000,147,33385000,66,20198000,594,242545000,218,33129000,79,91434000,22,4892000,107,38505000,90,35609000,169,87583000,350,221378000,48,12174000,61,4441000,514,32425000,,,354,182380000,319,767555000,604,925699000,481,6717000,60,3704000,258,8736000,244,3791000,326,75210000,397,743938000,101,71208000,141,20643000,545,1162842000,560,1785736000,601,2948578000,601,1148307000,124,91241000,600,1057066000,45,149814000,603,1257687000,0,0
