scenario,liab_iit_net_total
baseline,2440.390737460422
sd_bump_2k,2397.652480958692
sd_bump_4k,2354.1656264821754
sd_bump_6k,2310.24301968495
sd_bump_8k,2266.2314524162803
sd_bump_10k,2222.5263458389736
sd_bump_12k,2179.5903880118794
sd_bump_14k,2138.0310057942966
sd_bump_16k,2098.898249734933
sd_bump_18k,2062.4006421646122
sd_bump_20k,2028.3673610755034
sd_bump_22k,1996.9837540016988
sd_bump_24k,1968.237136008173
sd_bump_26k,1942.5799186573797
sd_bump_28k,1919.3303191676762
sd_bump_30k,1897.8159847773584
