scenario,sd_single,total_w,nonpay_w,share,iit_total
baseline,16100,186347142.511463,69594045.523658,0.373465,2441767726632.270508
sd_bump_2k,18100,186347142.511463,74169666.468207,0.398019,2398165087792.613281
sd_bump_4k,20100,186347142.511463,77907062.054198,0.418075,2353910804987.695801
sd_bump_6k,22100,186347142.511463,81687957.363149,0.438364,2309331252893.642090
sd_bump_8k,24100,186347142.511463,84767826.342615,0.454892,2264746435429.798828
sd_bump_10k,26100,186347142.511463,87422896.924578,0.469140,2220612210641.415527
sd_bump_12k,28100,186347142.511463,90281260.719235,0.484479,2177360475369.374023
sd_bump_14k,30100,186347142.511463,92875188.522302,0.498399,2135617412212.407471
sd_bump_16k,32100,186347142.511463,95528631.018459,0.512638,2096413951868.122559
sd_bump_18k,34100,186347142.511463,98099981.884264,0.526437,2059916800890.302979
sd_bump_20k,36100,186347142.511463,100719927.982423,0.540496,2025898731890.361816
sd_bump_22k,38100,186347142.511463,103751500.872431,0.556765,1994529827590.902588
sd_bump_24k,40100,186347142.511463,106888105.994308,0.573597,1965792501259.330566
sd_bump_26k,42100,186347142.511463,109850499.700644,0.589494,1940149336580.814697
sd_bump_28k,44100,186347142.511463,112606930.628543,0.604286,1916912402771.641357
sd_bump_30k,46100,186347142.511463,115192525.174834,0.618161,1895409646096.441406
