year,cap,excess_T,wage_cut_B,erosion_bar,gross_wage_B,offset_iit_B,offset_pr_B,net_wage_B,se_gross_B,net_incl_se_B
2027,189000,1.91815501652205,96.9671783988483,0.498163492161277,237.851222048735,32.6227253565894,15.6827828596064,189.545713832539,34.1283996386103,223.674113471149
2028,196200,2.00111560647128,101.160369711757,0.499310249295492,248.138335202439,34.1425886783752,16.3678207412263,197.627925782837,34.3482268765244,231.976152659361
2029,204000,2.07804125317302,105.047039831461,0.501893971634586,257.677115393455,35.720262519409,17.0022135100593,204.954639363987,37.07553000356,242.030169367547
2030,211200,2.16752441191241,109.570429006723,0.499334819185369,268.773027077139,36.9732355438119,17.7390948123233,214.060696721004,38.884984271893,252.945680992897
2031,219000,2.25323728621642,113.902143504246,0.499292086366549,279.401423490836,38.4255829679216,18.4448559039356,222.530984618979,40.6220556289583,263.153040247937
2032,226500,2.34380093370231,118.480543926822,0.500863272256051,290.631315779087,40.1529741534511,19.1895787764136,231.288762849222,42.4048754139672,273.693638263189
2033,234300,2.43111881944841,122.89432783432,0.504633514577254,301.458733611603,42.1096420236618,19.9069545529804,239.44213703496,44.1118341539142,283.553971188875
2034,242400,2.51893781089067,127.333138769818,0.502308898187654,312.348288550443,43.3331278998351,20.6274407384077,248.3877199122,45.8797208786059,294.267440790806
2035,250500,2.61887499421047,132.384683833073,0.503266082632837,324.740499282099,45.1784024522995,21.4463187809578,258.115778048841,47.8222397370931,305.938017785934
2036,258900,2.72764709743332,137.884317984358,0.504471138407088,338.228240081732,47.221399348588,22.337259513466,268.669581219678,49.7728701190436,318.442451338721
