group_id,panel,group_label,married,age_65_plus,n_dependents,dependent_filer,n_obs,filing_rate_weighted,term,coefficient,std_error,sig,pdf_page,note
unmarried_u65_dep2p,A,"Unmarried, under 65, nondependent, 2+ dependents",0,0,2+,0,5931,0.79,means_tested_transfers,-0.047,0.055,,51,
unmarried_u65_dep2p,A,"Unmarried, under 65, nondependent, 2+ dependents",0,0,2+,0,5931,0.79,n_medicaid,-0.015,0.016,,51,
unmarried_u65_dep2p,A,"Unmarried, under 65, nondependent, 2+ dependents",0,0,2+,0,5931,0.79,educ_less_than_hs,-0.21,0.053,***,51,
unmarried_u65_dep2p,A,"Unmarried, under 65, nondependent, 2+ dependents",0,0,2+,0,5931,0.79,educ_college,0.09,0.073,,51,
unmarried_u65_dep2p,A,"Unmarried, under 65, nondependent, 2+ dependents",0,0,2+,0,5931,0.79,race_black,-0.033,0.053,,51,
unmarried_u65_dep2p,A,"Unmarried, under 65, nondependent, 2+ dependents",0,0,2+,0,5931,0.79,race_hispanic,-0.16,0.055,***,51,
unmarried_u65_dep2p,A,"Unmarried, under 65, nondependent, 2+ dependents",0,0,2+,0,5931,0.79,race_other,-0.06,0.080,,51,
unmarried_u65_dep2p,A,"Unmarried, under 65, nondependent, 2+ dependents",0,0,2+,0,5931,0.79,intercept,-1.165,0.194,***,51,
unmarried_65p_dep0,B,"Unmarried, 65 or older, nondependent, no dependents",0,1,0,0,6616,0.62,log_gross_income,0.135,0.013,***,51,
unmarried_65p_dep0,B,"Unmarried, 65 or older, nondependent, no dependents",0,1,0,0,6616,0.62,negative_gross_income,0.63,0.108,***,51,
unmarried_65p_dep0,B,"Unmarried, 65 or older, nondependent, no dependents",0,1,0,0,6616,0.62,src_wages,0.552,0.067,***,51,
unmarried_65p_dep0,B,"Unmarried, 65 or older, nondependent, no dependents",0,1,0,0,6616,0.62,src_interest,0.179,0.049,***,51,
unmarried_65p_dep0,B,"Unmarried, 65 or older, nondependent, no dependents",0,1,0,0,6616,0.62,src_dividends,0.329,0.058,***,51,
unmarried_65p_dep0,B,"Unmarried, 65 or older, nondependent, no dependents",0,1,0,0,6616,0.62,src_self_employment,0.028,0.131,,51,
unmarried_65p_dep0,B,"Unmarried, 65 or older, nondependent, no dependents",0,1,0,0,6616,0.62,src_rental,0.467,0.088,***,51,
unmarried_65p_dep0,B,"Unmarried, 65 or older, nondependent, no dependents",0,1,0,0,6616,0.62,src_retirement,0.074,0.050,,51,
unmarried_65p_dep0,B,"Unmarried, 65 or older, nondependent, no dependents",0,1,0,0,6616,0.62,src_social_security,0.118,0.065,*,51,
unmarried_65p_dep0,B,"Unmarried, 65 or older, nondependent, no dependents",0,1,0,0,6616,0.62,means_tested_transfers,-0.44,0.052,***,51,
unmarried_65p_dep0,B,"Unmarried, 65 or older, nondependent, no dependents",0,1,0,0,6616,0.62,n_medicaid,-0.368,0.057,***,51,
unmarried_65p_dep0,B,"Unmarried, 65 or older, nondependent, no dependents",0,1,0,0,6616,0.62,educ_less_than_hs,-0.358,0.041,***,51,
unmarried_65p_dep0,B,"Unmarried, 65 or older, nondependent, no dependents",0,1,0,0,6616,0.62,educ_college,0.197,0.056,***,51,
unmarried_65p_dep0,B,"Unmarried, 65 or older, nondependent, no dependents",0,1,0,0,6616,0.62,race_black,-0.26,0.052,***,51,
unmarried_65p_dep0,B,"Unmarried, 65 or older, nondependent, no dependents",0,1,0,0,6616,0.62,race_hispanic,-0.148,0.071,**,51,
unmarried_65p_dep0,B,"Unmarried, 65 or older, nondependent, no dependents",0,1,0,0,6616,0.62,race_other,-0.125,0.076,*,51,
unmarried_65p_dep0,B,"Unmarried, 65 or older, nondependent, no dependents",0,1,0,0,6616,0.62,intercept,-0.825,0.127,***,51,
unmarried_65p_dep1,B,"Unmarried, 65 or older, nondependent, 1 dependent",0,1,1,0,496,0.60,log_gross_income,0.171,0.052,***,51,
unmarried_65p_dep1,B,"Unmarried, 65 or older, nondependent, 1 dependent",0,1,1,0,496,0.60,negative_gross_income,1.113,0.428,***,51,
unmarried_65p_dep1,B,"Unmarried, 65 or older, nondependent, 1 dependent",0,1,1,0,496,0.60,src_wages,0.871,0.304,***,51,
unmarried_65p_dep1,B,"Unmarried, 65 or older, nondependent, 1 dependent",0,1,1,0,496,0.60,src_interest,0.385,0.197,*,51,
unmarried_65p_dep1,B,"Unmarried, 65 or older, nondependent, 1 dependent",0,1,1,0,496,0.60,src_dividends,0.268,0.288,,51,
unmarried_65p_dep1,B,"Unmarried, 65 or older, nondependent, 1 dependent",0,1,1,0,496,0.60,src_self_employment,-1.218,0.688,*,51,
