year,pre_fix,post_fix,scenario,run_type,delta,pct_chg
2025,0,0,sd_bump_10k,conventional,0,NA
2026,-169.1509200725077,-169.21915789835293,sd_bump_10k,conventional,-0.06823782584524452,-0.04034138615148762
2027,-225.77185443874805,-225.8580017253471,sd_bump_10k,conventional,-0.08614728659904358,-0.038156787440666286
