fix,year,txbl_ss,n_txbl_ss,std_ded,txbl_inc,liab_1250,liab_collect,liab_pref,liab_ord,cdctc_nonref,n_cdctc_nonref,cdctc_ref,eitc,refund,liab_iit,liab_iit_net,liab_pr,liab_pr_ee,liab_pr_er,liab_add_med,revenues_income_tax,revenues_payroll_tax,outlays_tax_credits
"#6 magi_ss exempt_int (+#4 pr_ee, revenue-neutral)",2025,2.109490099889854,0.04875009206968883,0.04108194244645347,1.4176084921346046,1.172685858019662e-4,0,0.001378693363108141,0.12464178364734835,0,0,0,0,0,0.12307588791009039,0.12307588790963564,0,15.942359646934733,0,0,NA,NA,NA
"#6 magi_ss exempt_int (+#4 pr_ee, revenue-neutral)",2026,2.1353946917711255,0.03475965856260288,0.011067586329772894,1.404587592516691,8.630854712654568e-5,0,0.0014256891874993016,0.11995481950862086,0,0,0,-1.8043235456843831e-6,-1.8043235172626737e-6,0.11878017307708433,0.11878197740043106,0,17.39778373530487,0,0,0.11970952781939559,0,-1.8043235172626737e-6
"#6 magi_ss exempt_int (+#4 pr_ee, revenue-neutral)",2027,2.3295754963403397,0.03735644146019723,0.12922935874894392,1.5316680637406535,8.20034666864089e-5,0,0.001557087049150141,0.13215350955533722,0,0,0,-2.9465883528700942e-6,-0.0018761483419922342,0.13100954226138128,0.1328856906029614,0,19.047647372628603,0,0,0.1283207071619472,0,-0.0018761483419922342
#5 1250/collectibles stacking,2025,0,0,0,0,6.02583878057642,1.922398560828211,0,0,2.231017834919413e-6,0,0,0,-3.2280980225607436e-4,8.075229804114315,8.076175133983725,0,0,0,0,NA,NA,NA
#5 1250/collectibles stacking,2026,0,0,0,0,6.219200487655742,1.988361137382199,0,0,2.34557610223618e-6,0,0,0,-3.9105371040193404e-4,8.3644192760421,8.36550189433774,0,0,0,0,8.354521429533179,0,-3.9105371040193404e-4
#5 1250/collectibles stacking,2027,0,0,0,0,5.809212580795823,1.873914109091103,0,0,2.4364287103395554e-6,0,0,0,-6.64432706429352e-4,7.827270661120565,7.828529782351779,0,0,0,0,7.838373979316202,0,-6.64432706429352e-4
#3 CDCTC shared earned-income cap,2025,0,0,0,0,0,0,0,0,-0.004098472073163606,0,0,0,-4.3373143645908385e-4,0.0020643832654059224,0.0027036138376388408,0,0,0,0,NA,NA,NA
#3 CDCTC shared earned-income cap,2026,0,0,0,0,0,0,0,0,-0.005540755624879878,0,0,0,-6.706322553924338e-4,0.0029935944548924454,0.0038635156579402974,0,0,0,0,0.0029632200971718703,0,-6.706322553924338e-4
#3 CDCTC shared earned-income cap,2027,0,0,0,0,0,0,0,0,-0.005572177264636657,0,0,0,-5.491241694528526e-4,0.0029640563980137813,0.003749033560779935,0,0,0,0,0.0031967778518264822,0,-5.491241694528526e-4
#8 dependent std ded bonus,2025,0,0,0.22083897961874754,-0.01025868734177493,0,0,-1.0477754130988615e-7,-0.0012230030151840765,0,0,0,0,0,-0.0012231077926116996,-0.001223107793066447,0,0,0,0,NA,NA,NA
#8 dependent std ded bonus,2026,0,0,0.23254776511430464,-0.011407435666114907,0,0,-1.1127542620670283e-7,-0.001348070676158386,0,0,0,0,0,-0.0013481819519256533,-0.0013481819519256533,0,0,0,0,-0.0013214655850788404,0,0
#8 dependent std ded bonus,2027,0,0,0.24062167619331376,-0.012194409871881362,0,0,-1.1687325240927748e-7,-0.0014389617672350141,0,0,0,0,0,-0.0014390786409421708,-0.0014390786409421708,0,0,0,0,-0.0014181754154378723,0,0
