variant,year,txbl_ss,n_txbl_ss,std_ded,txbl_inc,liab_1250,liab_collect,liab_pref,liab_ord,cdctc_nonref,n_cdctc_nonref,cdctc_ref,eitc,refund,liab_iit,liab_iit_net,liab_pr,liab_pr_ee,liab_pr_er,liab_add_med,revenues_income_tax,revenues_payroll_tax,outlays_tax_credits
c0,2025,651.1840836348116,28.6555345495338,2887.0432075395247,13430.009354578922,2.204437459175312,0.4423965475084006,289.5669867568537,2240.9815191293524,3.760243444590075,5.709362310533867,0,72.01456589734758,103.5212757625752,2435.3341202321003,2317.2520735416774,1624.8140136795075,804.4358270162863,804.4358270162863,15.942359646934683,NA,NA,NA
c0,2026,706.1421481983975,29.730876948052124,3155.2481718467134,14085.779670075612,2.336430162166783,0.4647311974856614,302.08461456684597,2366.0497151668424,5.455157942445603,5.64243829511342,0,71.72293243246978,103.52005046496396,2575.896811782616,2457.2404612484743,1692.6384244868884,837.6203203757918,837.6203203757918,17.397783735304763,2531.426936195509,1675.682321785043,103.52005046496396
c0,2027,757.0186383237258,30.749698347992258,3236.368673020433,14618.92561617905,2.366032885862164,0.4676383591958885,291.2868725633253,2486.7627869049984,5.469967123880362,5.6445006660156984,0,72.0376763042525,105.15783205648876,2680.0182390979985,2559.109390381946,1765.7253090343102,873.3388308308407,873.3388308308407,19.04764737262868,2635.7510282385956,1747.4535878974548,105.15783205648876
c2,2025,653.2935737347015,28.70428464160349,2887.084289481971,13431.426963071057,2.204554727761114,0.4423965475084006,289.5683654502168,2241.1061609129997,3.760243444590075,5.709362310533867,0,72.01456589734758,103.5212757625752,2435.4571961200104,2317.375149429587,1624.8140136795075,820.3781866632211,804.4358270162863,15.942359646934683,NA,NA,NA
c2,2026,708.2775428901687,29.765636606614727,3155.259239433043,14087.184257668128,2.3365164707139097,0.4647311974856614,302.08604025603347,2366.169669986351,5.455157942445603,5.64243829511342,0,71.72293062814623,103.52004866064044,2576.0155919556933,2457.3592432258747,1692.6384244868884,855.0181041110967,837.6203203757918,17.397783735304763,2531.5466457233283,1675.682321785043,103.52004866064044
c2,2027,759.3482138200661,30.787054789452455,3236.497902379182,14620.457284242792,2.3661148893288506,0.4676383591958885,291.28842965037444,2486.8949404145537,5.469967123880362,5.6445006660156984,0,72.03767335766415,105.15595590814677,2680.14924864026,2559.242276072549,1765.7253090343102,892.3864782034693,873.3388308308407,19.04764737262868,2635.8793489457576,1747.4535878974548,105.15595590814677
c3,2025,653.2935737347015,28.70428464160349,2887.084289481971,13431.426963071057,8.230393508337533,2.3647951083366117,289.5683654502168,2241.1061609129997,3.76024567560791,5.709362310533867,0,72.01456589734758,103.52095295277294,2443.5324259241247,2325.451324563571,1624.8140136795075,820.3781866632211,804.4358270162863,15.942359646934683,NA,NA,NA
c3,2026,708.2775428901687,29.765636606614727,3155.259239433043,14087.184257668128,8.555716958369652,2.4530923348678604,302.08604025603347,2366.169669986351,5.455160288021705,5.64243829511342,0,71.72293062814623,103.51965760693004,2584.3800112317354,2465.7247451202124,1692.6384244868884,855.0181041110967,837.6203203757918,17.397783735304763,2539.9011671528615,1675.682321785043,103.51965760693004
c3,2027,759.3482138200661,30.787054789452455,3236.497902379182,14620.457284242792,8.175327470124673,2.3415524682869915,291.28842965037444,2486.8949404145537,5.469969560309073,5.6445006660156984,0,72.03767335766415,105.15529147544034,2687.9765193013804,2567.0708058549008,1765.7253090343102,892.3864782034693,873.3388308308407,19.04764737262868,2643.7177229250738,1747.4535878974548,105.15529147544034
c4,2025,653.2935737347015,28.70428464160349,2887.084289481971,13431.426963071057,8.230393508337533,2.3647951083366117,289.5683654502168,2241.1061609129997,3.7561472035347463,5.709362310533867,0,72.01456589734758,103.52051922133649,2443.53449030739,2325.4540281774084,1624.8140136795075,820.3781866632211,804.4358270162863,15.942359646934683,NA,NA,NA
c4,2026,708.2775428901687,29.765636606614727,3155.259239433043,14087.184257668128,8.555716958369652,2.4530923348678604,302.08604025603347,2366.169669986351,5.4496195323968255,5.64243829511342,0,71.72293062814623,103.51898697467465,2584.3830048261902,2465.7286086358704,1692.6384244868884,855.0181041110967,837.6203203757918,17.397783735304763,2539.9041303729587,1675.682321785043,103.51898697467465
