agi_grp,tax_units,returns,claimants,benefiting,total_benefit,avg_benefit
<0,2940295.75030796,1835036.56026763,41907.9070667985,186.803705540051,483464.839678002,2588.09020024684
0-20k,58534023.6238553,34361671.3593369,907156.356359275,169715.077366273,16603172.1106561,97.8296823612419
20-40k,28018128.3335373,24139358.0497063,1308950.56486664,923671.320635816,242335486.840408,262.361168335934
40-60k,25950702.6716943,25524375.0925894,2442016.47867227,2310444.86769856,1110426038.61003,480.61135504009
60-80k,18290264.8429168,18164766.5384034,2328706.00570391,2306997.03510789,2127640858.00996,922.255566709237
80-100k,11542324.3271478,11534089.9705929,1481145.54640839,1473430.92090315,1753677205.14675,1190.199812063
100-120k,9966821.59755883,9966821.59755883,1272405.04894637,1271055.67593428,1587349905.17194,1248.84372512257
120-140k,8206557.75888352,8203977.2619463,908501.902293075,907547.294970684,1171055917.22053,1290.35249590861
140-160k,5132703.33599079,5132703.33599079,405000.363804448,404985.469386085,855365515.06878,2112.08939512181
160-180k,5967608.94304123,5967608.94304123,682628.504577337,682628.504577337,1464775901.25077,2145.78777684901
180-200k,4051172.88984312,4051172.88984312,575038.107164711,572677.014865601,1421772852.10574,2482.67839497523
200k+,18197507.9320594,18193927.8542744,1386176.73072001,1384549.17935358,4046867635.75824,2922.87749406464
TOTAL,196798112.006836,167075509.453551,13739633.5165832,12407889.1645048,15798353952.1335,1273.2507312628
