agi_grp,tax_units,returns,claimants,benefiting,total_benefit,avg_benefit
<0,2839957.94277226,1781776.93670066,37506.8756574547,186.987153978637,474915.3458785,2539.82873033491
0-20k,60735333.6573753,36301245.5003511,997783.587013574,250609.362975925,30037984.4966669,119.859785524265
20-40k,28221678.8252776,24912722.8009171,1422695.7381551,1034282.41985441,276292267.956258,267.134259127357
40-60k,25597459.8773274,25185347.4982637,2510544.42713474,2425775.42822838,1210799003.76208,499.138951475968
60-80k,17797171.6131405,17713120.4922555,2346295.3977815,2336261.42911613,2245066766.28256,960.965557322893
80-100k,11439588.003474,11438719.9325914,1499775.27844376,1492547.08968206,1778966705.67794,1191.89988575629
100-120k,10142278.2627031,10142278.2627031,1246324.54958064,1244415.06805121,1471310457.48934,1182.33095633714
120-140k,7035605.13161265,7033067.97095632,717760.104223775,717551.133722277,956533121.19478,1333.05220525928
140-160k,6095662.67053739,6095662.67053739,581008.263814359,580898.412538359,1265769562.35555,2178.98609298052
160-180k,5291164.42477803,5291164.42477803,674762.938318517,674502.607470764,1514780423.95737,2245.77400766094
180-200k,3730199.17504853,3730199.17504853,500635.863560001,500604.095890746,1210093505.00163,2417.26648849817
200k+,16560438.9007021,16556884.0674312,1229868.34098903,1228255.2849635,3694835381.96742,3008.19823631146
TOTAL,195486538.484749,166182189.732534,13764961.3646724,12485889.3196477,15654960095.4875,1253.81217906945
