marital,age_bin,n_records,wtd_pop_mil,wtd_mean,p5,p10,p25,p50,p75,p90,p95,p99
MFJ,<25,1064,0.826,60193,0,10350,27023,50852,85852,117161,156632,240583
MFJ,25-29,3853,3.006,120037,14737,27259,64025,96837,128985,208671,276295,521608
MFJ,30-34,4384,3.428,124480,17424,30673,68354,97372,132058,210144,284386,556285
MFJ,35-39,11257,5.419,196783,21690,35857,81159,123996,208109,338338,460340,1158147
MFJ,40-44,10636,5.151,203179,20969,35851,83768,125319,208699,345391,467349,1223675
MFJ,45-49,15849,5.706,225653,7206,25878,77524,122085,229617,402197,563932,1579990
MFJ,50-54,16631,5.914,229612,10244,29748,78271,124428,226212,402622,555772,1557876
MFJ,55-59,16466,6.239,212347,1868,16663,75249,124165,202625,369373,532753,1521369
MFJ,60-64,14849,5.961,211820,2201,17190,71823,120810,207466,372484,525651,1510728
MFJ,65-69,9796,6.223,166376,0,0,12839,112885,182350,299009,425468,984612
MFJ,70-74,7443,5.092,166636,0,0,14844,112461,183813,299199,417516,1009825
MFJ,75-79,5067,3.885,166154,0,0,15492,114122,179927,299589,403324,985078
MFJ,80+,6685,5.269,163941,0,0,15953,103769,186969,298486,417104,937053
MFJ,All,123980,62.119,186358,0,7532,55265,115168,193005,331414,459078,1167831
Non-MFJ,<25,16602,24.802,22847,677,2093,5240,16687,32844,52587,71068,104410
Non-MFJ,25-29,10469,14.849,43999,1011,3835,15808,34430,54880,84979,121094,220698
Non-MFJ,30-34,9307,14.988,51967,1707,7090,20201,41424,63728,98981,139945,237363
Non-MFJ,35-39,7293,11.597,62058,0,6832,20489,42156,70732,124946,181672,279082
Non-MFJ,40-44,6785,10.661,61888,0,6018,20489,43444,71129,128458,177728,270252
Non-MFJ,45-49,8219,8.434,70663,0,0,19468,45229,74360,159507,202434,336260
Non-MFJ,50-54,8596,7.808,72239,0,0,19760,45520,73391,142935,193647,375365
Non-MFJ,55-59,7392,7.229,73324,0,0,17759,47362,80948,155347,197891,343332
Non-MFJ,60-64,6782,7.572,76978,0,0,18882,49902,83057,157154,194674,363621
Non-MFJ,65-69,5649,9.128,50082,0,0,0,10449,61466,132015,162697,420143
Non-MFJ,70-74,4158,7.102,53084,0,0,0,11644,62866,134248,164796,433910
Non-MFJ,75-79,2832,5.061,51726,0,0,0,10386,61217,129233,157209,425043
Non-MFJ,80+,3767,5.448,53920,0,0,0,10596,62944,134743,158334,401574
Non-MFJ,All,97851,134.679,52280,0,0,8537,31063,62209,111038,162768,279034
