age_bin,n_records,wtd_pop_mil,wtd_mean,p5,p10,p25,p50,p75,p90,p95,p99
<25,17666,25.628,38111,-8298,-723,0,0,16657,85625,196379,366029
25-29,14322,17.855,121420,-32424,-9832,0,6635,91517,253377,408929,1199268
30-34,13691,18.415,200315,-42400,-15182,0,12743,148713,353473,708378,2472563
35-39,18550,17.017,542983,-2703,0,0,58928,369719,1068777,1867362,8059439
40-44,17421,15.811,656115,-4355,0,0,101288,458239,1251555,2233940,8059439
45-49,24068,14.14,1040937,0,0,0,160590,607267,2105944,4167093,14742746
50-54,25227,13.722,1337318,0,0,7896,213116,853111,2478206,4842985,15733853
55-59,23858,13.468,1550918,0,0,28002,304495,1044830,3241927,6529559,19452603
60-64,21631,13.533,1681294,0,0,33865,311217,1100085,3196096,7028995,19689614
65-69,15445,15.351,1820242,-480,0,15864,358124,1184014,2850058,6580465,24299073
70-74,11601,12.194,1921496,0,0,71476,399299,1263557,2911508,6449238,24864138
75-79,7899,8.946,1815200,0,301,83041,407899,1167600,2851781,6281220,21564312
80+,10452,10.717,2154271,0,0,82560,384785,1264348,2946603,8249296,22371393
All,221831,196.798,985057,-4672,0,0,86169,505770,1672861,3351050,13610452
