marital,age_bin,n_records,wtd_pop_mil,wtd_mean,p5,p10,p25,p50,p75,p90,p95,p99
MFJ,<25,1064,0.826,148955,-11684,-2666,3586,28742,127132,235491,327519,1468362
MFJ,25-29,3853,3.006,371997,-29824,-4414,23485,122294,326032,783762,1024532,4628388
MFJ,30-34,4384,3.428,540191,-27362,1055,63185,192788,393306,851918,1421088,8219550
MFJ,35-39,11257,5.419,1238388,2416,21428,133466,406981,978409,2203182,4515922,13619806
MFJ,40-44,10636,5.151,1447904,3966,32949,169623,463551,1106346,2550518,4842826,15881864
MFJ,45-49,15849,5.706,1944007,2152,33578,184159,478180,1531813,4271224,7330566,21248284
MFJ,50-54,16631,5.914,2303980,915,28640,195930,607316,1779048,4761580,8592882,22816976
MFJ,55-59,16466,6.239,2595060,1499,38917,245139,700591,1923133,6061821,10710393,25318153
MFJ,60-64,14849,5.961,2867047,824,43880,264151,757951,2153366,6465832,10206523,31570256
MFJ,65-69,9796,6.223,3164148,0,16668,224331,760625,1983682,6580465,11469848,34359353
MFJ,70-74,7443,5.092,3170039,287,48214,261015,818795,1942450,6278483,11859552,34239323
MFJ,75-79,5067,3.885,2985013,11772,77213,301613,733946,1790154,5363652,10832296,32783369
MFJ,80+,6685,5.269,3338698,38611,86639,254496,734269,2048143,7458607,12750765,35229999
MFJ,All,123980,62.119,2258280,0,22439,165869,528257,1555898,4404223,8427566,25157448
Non-MFJ,<25,16602,24.802,34418,-8298,-636,0,0,14929,77397,189376,366029
Non-MFJ,25-29,10469,14.849,70699,-33084,-10081,0,2120,49565,159258,284014,1023537
Non-MFJ,30-34,9307,14.988,122584,-42400,-17015,0,2537,77139,239900,432333,1618939
Non-MFJ,35-39,7293,11.597,218023,-9603,0,0,8508,136144,488448,953686,2540358
Non-MFJ,40-44,6785,10.661,273550,-13330,0,0,17337,183821,595188,1182137,2918445
Non-MFJ,45-49,8219,8.434,429991,-4176,0,0,17249,260398,815390,1655913,6472706
Non-MFJ,50-54,8596,7.808,605136,0,0,0,53924,320917,924177,1732125,7629061
Non-MFJ,55-59,7392,7.229,649691,0,0,0,102041,486181,1428388,2492069,9297854
Non-MFJ,60-64,6782,7.572,747885,0,0,0,111673,473744,1494294,2748164,9701658
Non-MFJ,65-69,5649,9.128,904003,-2806,0,0,131433,661540,1604831,2304791,11230796
Non-MFJ,70-74,4158,7.102,1026248,0,0,10778,237519,687871,1792064,2825854,11345854
Non-MFJ,75-79,2832,5.061,917327,0,0,19513,238269,612970,1594059,2358714,11345854
Non-MFJ,80+,3767,5.448,1008745,0,0,0,170780,563801,1719419,2340296,11345854
Non-MFJ,All,97851,134.679,397797,-10005,0,0,12152,194034,708542,1427719,4851223
