age,share
18,0
19,0
20,0
21,0.011565536968074993
22,0.013040304919191363
23,0
24,2.7321093423883817e-4
25,0.0034762442574473376
26,0.0015720586119334977
27,0.014163174426333996
28,0
29,0
30,6.99751524935817e-4
31,0.00822904045155986
32,0.0016359674997618752
33,1.8430634623298151e-4
34,0
35,0.009685405777147724
36,0.005343831584403464
37,0.012804235898242115
38,0.03140873687584957
39,0.008481472577214901
40,0.00324527870176386
41,7.118197456844835e-4
42,0.004267193424895732
43,0.015789851564853255
44,4.8271067033100855e-4
45,0.00331440817142645
46,0.0034139848905185826
47,0.011196051191856266
48,0.02698915354245546
49,0.0026640056999065057
50,0.010251597746006945
51,0.02308249825403467
52,0.04788392238306562
53,7.210343341590562e-4
54,0.040447133753290676
55,0.0218929706499408
56,0.011057882722185466
57,0.033984515627206495
58,0.03623994910878651
59,0.029107122212390365
60,0.024866138170938624
61,0.047753475476789736
62,0.04530879890460993
63,0.013573716575085012
64,0.036806202674615894
65,0.021436284458344796
66,0.030005015533488718
67,0.06571854886104767
68,0.007579304552612686
69,0.03180903738119521
70,0.00934213172657447
71,0.015355802773946839
72,0.02830519967276529
73,0.03128571607539579
74,0.014549159068422322
75,0.04744367326252888
76,0.003403556434830198
77,0.00854623191911907
78,0.025882282994178777
79,0.024550904280976033
80,0.017172456155207516
