dimension,bin,group,adults,share_of_all,tax_year
age,18_25,above threshold,963757.773207783,0.029129015538134,2021
age,26_34,above threshold,2331068.63979321,0.0704551875135476,2021
age,35_44,above threshold,2444199.38921812,0.0738744983086973,2021
age,45_54,above threshold,2170922.45161238,0.0656148625547505,2021
age,55_64,above threshold,2364455.36211847,0.0714642816868093,2021
age,65_74,above threshold,1749645.31085496,0.0528820071421924,2021
age,75p,above threshold,967996.175116987,0.0292571187591946,2021
age,18_25,below threshold,452791.662035658,0.0136853634031656,2021
age,26_34,below threshold,1809895.12250511,0.0547030224932651,2021
age,35_44,below threshold,1982416.84783845,0.0599173908310416,2021
age,45_54,below threshold,3302092.47741944,0.099803815602916,2021
age,55_64,below threshold,4435510.3646172,0.134060708948112,2021
age,65_74,below threshold,4194326.83255844,0.126771077623533,2021
age,75p,below threshold,3916755.6092871,0.118381649594643,2021
family,"married, dependents",above threshold,1905150.99304412,0.0575820755189997,2021
family,"married, none",above threshold,2647021.76452176,0.0800046860861061,2021
family,"unmarried, dependents",above threshold,1413043.57350238,0.0427084163187725,2021
family,"unmarried, none",above threshold,7026828.77085369,0.212381793579449,2021
family,"married, dependents",below threshold,621750.886226446,0.0187920572256013,2021
family,"married, none",below threshold,3075491.64391908,0.0929549378210886,2021
family,"unmarried, dependents",below threshold,1978580.54823826,0.0598014409173085,2021
family,"unmarried, none",below threshold,14417965.837877,0.43577459253266,2021
income,$1-5k,above threshold,158148.201992025,0.00477993699373303,2021
income,$10-15k,above threshold,567048.981914466,0.0171387241319904,2021
income,$15-25k,above threshold,2269206.27478623,0.0685854336795358,2021
income,$25-50k,above threshold,4706653.55796384,0.142255853528648,2021
income,$5-10k,above threshold,301912.237610066,0.00912512096397938,2021
income,$50k+,above threshold,4909482.65743815,0.148386244540186,2021
income,none,above threshold,79593.190217136,0.00240565766525315,2021
income,$1-5k,below threshold,3907764.45476289,0.118109897202993,2021
income,$10-15k,below threshold,713476.048735022,0.0215643966642313,2021
income,$15-25k,below threshold,402446.019388707,0.0121636957728655,2021
income,$25-50k,below threshold,75905.2838442666,0.00229419285010469,2021
income,$5-10k,below threshold,1011762.81507057,0.030579939877427,2021
income,none,below threshold,13982434.2944596,0.422610906129046,2021
