band,hh_above,gq_nonfiling,fixed_nonfiling,target,delta,achieved,below_mass,shortfall,anchor,dep_nonfiling,scenario,netting_scale,tax_year
18_25,1522258.40599465,417449.67853452,1939708.08452917,4325781.45642452,0.504466461959941,4325781.45642452,6983532.17,0,11610959.5584352,7285178.10201068,central,1,2017
26_34,2470490.46551058,631208.804464392,3101699.26997497,4484131.79893053,0.955310579426617,4484131.79893053,4937561.75,0,5789313.43197992,1305181.63304938,central,1,2017
35_44,2194782.98603602,565016.764301563,2759799.75033759,4557839.14854709,0.480249703909805,4557839.14854709,4314032.65,0,5200274.07493058,642434.926383487,central,1,2017
45_54,2203367.6216746,465228.221925135,2668595.84359974,5919046.34246224,-0.273986258811745,5919046.34246224,4934269.51,0,6566146.74452648,647100.402064246,central,1,2017
55_64,2164336.45813518,401019.12513822,2565355.5832734,6710236.60391637,0.294947724691121,6710236.60391637,8347280.12,0,7215251.99200434,505015.388087973,central,1,2017
65_74,1430095.0463142,348667.63963524,1778762.68594944,5633931.5536491,0.7009725728293,5633931.5536491,12760627.06,0,5995943.99537839,362012.441729287,central,1,2017
75p,1012840.79020384,920193.163498176,1933033.95370202,5528287.04683186,0.814392223305717,5528287.04683186,12514281.66,0,6092220.20274508,563933.15591322,central,1,2017
