metric,aged,built,diff,pct
adults_M,36.0606050320392,33.7896755153943,-2.2709295166449,-6.29753581401982
units_M,31.5157428080895,29.3891607776053,-2.12658203048419,-6.7476817647412
wages_B,302.599167943722,297.286663164963,-5.31250477875858,-1.75562438418424
ss_B,198.455886222161,199.452087408651,0.996201186489941,0.501976134572679
pens_B,75.6649401747015,79.0098901869173,3.34495001221576,4.42073965100964
int_B,7.0981953856442,9.8588401937755,2.76064480813129,38.8922065137088
pct_wages,31.5843103034957,31.5385989739515,-0.0457113295441474,-0.144727964944946
pct_int,13.9990017450995,15.4771301798886,1.4781284347891,10.558813133276
pct_ss,37.3868519175932,41.0335397806312,3.64668786303795,9.75393133146338
mean_age,52.7488154091518,55.1257189594627,2.3769035503109,4.50607948609689
pct_65p,30.4886429786335,35.1756857812501,4.68704280261664,15.3730777912987
