band,pep_adults,filing_rate_obs,filing_rate_cf,excess_adults,theta,induced_above_adults,hh_above_trend_adults,units_trend,m_raw,m_ceiling,floor_binding,m_central,m_theta_low_edge,m_theta1,units_deflated,tax_year
18_25,34484205,0.737781810860807,0.685918088746278,1788479.22546048,0.783289374052937,1400896.77301762,1729869.19411589,1977021.78405282,0.190171847800553,0.67873601930867,FALSE,0.190171847800553,0.67873601930867,0.05,375973.885815271,2020
26_34,41299207,0.882691766268595,0.859269077509691,967338.471550548,0.637101702275403,616292.98690134,2649894.96786889,2448851.3420361,0.767427390755424,0.996539929631333,FALSE,0.767427390755424,0.996539929631333,0.634952145922786,1879315.59576668,2020
35_44,42909680,0.899126602597675,0.878257682587922,895478.679564086,0.585058383080109,523907.308348475,2349785.97535233,1957443.11694322,0.777040413959437,1,FALSE,0.777040413959437,1,0.61891053527553,1521012.40989161,2020
45_54,41101632,0.878156874875599,0.860692168475425,717827.935447967,0.437142078218632,313792.795505114,2295282.72647915,1864408.19829386,0.863287954949909,1,FALSE,0.863287954949909,1,0.687259470405601,1609521.14069695,2020
55_64,43056654,0.84371560879227,0.824609386114262,822650.019093915,0.346684823300282,285200.276507547,2486789.40603409,1921633.92016424,0.885313860588468,1,FALSE,0.885313860588468,1,0.669191923892796,1701249.14449836,2020
65p,54459571,0.801437460242829,0.763048430814027,2090650.07379893,0.270465518293341,565448.755780039,2971071.59893723,2223460.41935825,0.809681881788947,1,FALSE,0.809681881788947,1,0.296331305328769,1800295.61642923,2020
