tax_year,mok_group,units_M,p_file,mok_published_ty2006,implied_nonfiler_adults_M,anchor_raw_M,own_adult_deps_M
2015,unmarried_u65_dep0,68.26278036,0.745006115958695,0.82,42.4153518364889,46.402371,16.363376
2015,unmarried_u65_dep1,8.79359614,0.749222362919257,0.77,42.4153518364889,46.402371,16.363376
2015,unmarried_u65_dep2p,7.42328753,0.707410912274643,0.79,42.4153518364889,46.402371,16.363376
2015,unmarried_65p_dep0,18.62342965,0.549895857719416,0.62,42.4153518364889,46.402371,16.363376
2015,unmarried_65p_dep1,0.88243795,0.52107941315626,0.6,42.4153518364889,46.402371,16.363376
2015,unmarried_65p_dep2p,0.23801928,0.446295313751653,0.63,42.4153518364889,46.402371,16.363376
2015,married_u65_dep0,20.39399566,0.918642741979228,0.92,42.4153518364889,46.402371,16.363376
2015,married_u65_dep1,10.43379103,0.949266396603305,0.92,42.4153518364889,46.402371,16.363376
2015,married_u65_dep2p,17.85853015,0.94654776850427,0.92,42.4153518364889,46.402371,16.363376
2015,married_65p_dep0,12.97931114,0.802461387180484,0.83,42.4153518364889,46.402371,16.363376
2015,married_65p_dep1,0.67586104,0.849589858859492,0.77,42.4153518364889,46.402371,16.363376
2015,married_65p_dep2p,0.28658543,0.865186896565754,0.8,42.4153518364889,46.402371,16.363376
2015,dependent_u65,27.5535827,0.209397313003662,0.1,42.4153518364889,46.402371,16.363376
2015,dependent_65p,0.90618292,0.161372451512664,0.23,42.4153518364889,46.402371,16.363376
