band,year,factor_phase10,factor_phase5,source
18_25,2018,1.00167035766698,1.00167035766698,observed
26_34,2018,1.00001430678551,1.00001430678551,observed
35_44,2018,1.05907490230545,1.05907490230545,observed
45_54,2018,0.975021008768083,0.975021008768083,observed
55_64,2018,1.05882886058069,1.05882886058069,observed
65p,2018,1.04011855694507,1.04011855694507,observed
18_25,2019,0.952678865612021,0.952678865612021,observed
26_34,2019,0.948124792039879,0.948124792039879,observed
35_44,2019,0.934234387511067,0.934234387511067,observed
45_54,2019,0.836568789858438,0.836568789858438,observed
55_64,2019,1.03952834265485,1.03952834265485,observed
65p,2019,1.08927866656775,1.08927866656775,observed
18_25,2020,0.778780232890875,0.778780232890875,observed
26_34,2020,0.836841377582971,0.836841377582971,observed
35_44,2020,0.832349437871586,0.832349437871586,observed
45_54,2020,0.762692563148663,0.762692563148663,observed
55_64,2020,0.93261925782894,0.93261925782894,observed
65p,2020,0.894563521359567,0.894563521359567,observed
18_25,2021,0.835528986179719,0.835528986179719,observed
26_34,2021,0.973205930932874,0.973205930932874,observed
35_44,2021,1.04458552374905,1.04458552374905,observed
45_54,2021,0.952751669018437,0.952751669018437,observed
55_64,2021,1.05229261781185,1.05229261781185,observed
65p,2021,0.979601838173816,0.979601838173816,observed
18_25,2022,0.902658596518528,0.902658596518528,observed
26_34,2022,1.04686824065906,1.04686824065906,observed
35_44,2022,1.12630518070449,1.12630518070449,observed
45_54,2022,0.913351059982239,0.913351059982239,observed
55_64,2022,1.03914347444666,1.03914347444666,observed
65p,2022,0.985215557434954,0.985215557434954,observed
18_25,2023,0.995900881249361,0.995900881249361,observed
26_34,2023,1.12429046628391,1.12429046628391,observed
35_44,2023,1.18896539724059,1.18896539724059,observed
45_54,2023,0.973917782799944,0.973917782799944,observed
55_64,2023,1.05774931866656,1.05774931866656,observed
65p,2023,1.08778060562626,1.08778060562626,observed
18_25,2024,1.00950400497567,1.00869457616647,projected
26_34,2024,1.12498620007338,1.11321696822623,projected
35_44,2024,1.2083879874343,1.19657944513549,projected
45_54,2024,0.972928864003757,0.965395622503132,projected
55_64,2024,1.04872076457645,1.04575079007875,projected
65p,2024,1.13345528876326,1.14607928830096,projected
18_25,2025,1.01761746700784,1.01598428900925,projected
26_34,2025,1.11643181058982,1.09282537052397,projected
35_44,2025,1.22036656384315,1.19627998898551,projected
45_54,2025,0.970958601232674,0.955805299395174,projected
55_64,2025,1.04042140434251,1.03451172668878,projected
65p,2025,1.18018694444588,1.20618633138737,projected
18_25,2026,1.01859231833565,1.01613823524061,projected
26_34,2026,1.09242200958173,1.05740364017287,projected
35_44,2026,1.22141518493965,1.18489386379336,projected
45_54,2026,0.964355358935303,0.941602439657863,projected
55_64,2026,1.03212812504505,1.02330922226913,projected
65p,2026,1.22721211112085,1.26732330771288,projected
18_25,2027,1.01674035911428,1.01347157237665,projected
26_34,2027,1.07427203409843,1.02786070604662,projected
