status,ours_before,ours_after,soi,ratio_after,tax_year,split_share
joint,59411058.297285,57804654.797285,54774398,1.05532250299282,2017,0.0270387962449982
mfs,0,3212807,3212807,1,2017,0.0270387962449982
hoh,10996508.4817748,10996508.4817748,21894096,0.502259078510244,2017,0.0270387962449982
single,69562868.4903708,69562868.4903708,73021931,0.95262981323201,2017,0.0270387962449982
dependent filers,6120743.01368766,6120743.01368766,,,2017,0.0270387962449982
TOTAL,146091178.283118,147697581.783118,152903231,0.965954615982695,2017,0.0270387962449982
