dimension,bin,group,adults,share_of_all,tax_year
age,18_25,above threshold,328972.421098273,0.0118556417932348,2020
age,26_34,above threshold,2033601.98096755,0.0732877745674667,2020
age,35_44,above threshold,1825878.66700385,0.0658017573681052,2020
age,45_54,above threshold,1981489.93097405,0.071409739333475,2020
age,55_64,above threshold,2201589.12952655,0.0793417636907296,2020
age,65_74,above threshold,1629888.63123032,0.0587385888161125,2020
age,75p,above threshold,775734.211926872,0.0279562247578649,2020
age,18_25,below threshold,502190.698324763,0.0180981524571455,2020
age,26_34,below threshold,1224569.54718002,0.0441315349590753,2020
age,35_44,below threshold,1563879.96924549,0.0563597418321305,2020
age,45_54,below threshold,2321840.09980955,0.0836754170231418,2020
age,55_64,below threshold,3827003.41579824,0.137919104245022,2020
age,65_74,below threshold,3388688.89188837,0.122122947318252,2020
age,75p,below threshold,4142847.2264006,0.149301611838245,2020
family,"married, dependents",above threshold,1625417.52188168,0.0585774571605198,2020
family,"married, none",above threshold,2399791.82692119,0.0864846730413643,2020
family,"unmarried, dependents",above threshold,1194779.43848773,0.0430579469164721,2020
family,"unmarried, none",above threshold,5557166.18543683,0.200271413208632,2020
family,"married, dependents",below threshold,364604.584873517,0.0131397681909032,2020
family,"married, none",below threshold,2484844.25874543,0.0895498271414719,2020
family,"unmarried, dependents",below threshold,1324411.13393102,0.0477296666341752,2020
family,"unmarried, none",below threshold,12797159.8710985,0.461189247706512,2020
income,$1-5k,above threshold,174855.922284798,0.00630152878199781,2020
income,$10-15k,above threshold,474109.812709286,0.0170861620903468,2020
income,$15-25k,above threshold,2047138.1340877,0.0737755959541808,2020
income,$25-50k,above threshold,3819240.49509174,0.13763934095405,2020
income,$5-10k,above threshold,274011.608675756,0.00987494170119918,2020
income,$50k+,above threshold,3894237.48500936,0.140342112952583,2020
income,none,above threshold,93561.5148688057,0.00337180789263065,2020
income,$1-5k,below threshold,3033811.84629929,0.109333744140978,2020
income,$10-15k,below threshold,519196.66138548,0.0187110202644947,2020
income,$15-25k,below threshold,247623.703026193,0.00892396363437381,2020
income,$25-50k,below threshold,17005.2443169786,0.000612841904970247,2020
income,$5-10k,below threshold,830495.876239119,0.0299297478693765,2020
income,none,below threshold,12322886.5173806,0.444097191858841,2020
