status,ours_before,ours_after,soi,ratio_after,tax_year,split_share
joint,60331550.3121528,58335185.8121528,54886429,1.06283441781488,2022,0.0330898922648415
mfs,0,3992729,3992729,1,2022,0.0330898922648415
hoh,10194287.1129662,10194287.1129662,21268139,0.47932200899036,2022,0.0330898922648415
single,78154205.8097799,78154205.8097799,81189361,0.962616343412038,2022,0.0330898922648415
dependent filers,5987586.41246496,5987586.41246496,,,2022,0.0330898922648415
TOTAL,154667629.647364,156663994.147364,161336659,0.971037798342929,2022,0.0330898922648415
