tax_year,component,value,method,rate,own_base,alt_hold
2017,units,12639384.823888,trend,0.100186852714613,126158118.37,12238248.4244034
2017,mean_income,39045.1645749836,hold_last,0.496195929005719,78689.0062827049,39557.0785558565
2017,share_married,0.189081104982897,hold_last,0.443617070257859,0.426225944986722,
2017,share_wages,0.659776682693546,trend,0.749525986248337,0.880258583155975,
2017,share_se,0.446610117902371,hold_last,4.60371407536111,0.0970108287768369,
2017,share_interest,0.132365912669577,trend,0.202772033773009,0.652781896036771,
2017,share_dividends,0.081649951344846,trend,0.47905962365769,0.170437973297429,
2017,share_pensions,0.182942875618811,hold_last,1.57336869796417,0.116274637887182,
2017,share_ui,0.0428166213742899,trend,1.66341552326006,0.0257401838419636,
2022,units,12752354.5417288,hold_last_observed,0.0970072206412491,131457786.93,12752354.5417288
2022,mean_income,47961.2514903308,hold_last,0.496195929005719,96657.8899315758,47961.2514903308
2022,share_married,0.181602602209858,hold_last,0.443617070257859,0.40936793100477,
2022,share_wages,0.632559326836003,trend,0.722529040891804,0.8754794493177,
2022,share_se,0.430511475107267,hold_last,4.60371407536111,0.0935139472304214,
2022,share_interest,0.14594023619476,trend,0.216047593079864,0.675500403009865,
2022,share_dividends,0.112433665279609,trend,0.569310314519035,0.197491003433858,
2022,share_pensions,0.209581539354361,hold_last,1.57336869796417,0.133205611390099,
2022,share_ui,0.0364751333333558,trend,1.81512139029219,0.0200951481969391,
