tax_year,dimension,kind,pool,replaced,benchmark,pool_better
2017,level,construction,35.70M (+12.77M netting = anchor),30.68M = 0.86 of target,48.47M anchor,TRUE
2017,age composition,construction,MARD 0.00%,MARD 24.54%,netted band target,TRUE
2017,wage mass,INDEPENDENT,$231.2B = 0.44 implied (0.49 with dependents),$116.2B = 0.22 implied,$521.2B implied,TRUE
2017,investment receipt,INDEPENDENT,int 20.1% div 6.5% kg 0.0%,int 0.0% div 0.0% kg 0.0%,int 13.5% div 8.8% kg 4.1%,TRUE
2017,SS receipt,INDEPENDENT,51.4%,64.9%,47.6%,TRUE
