metric,aged,built,diff,pct
adults_M,36.4111944523085,33.0858340181832,-3.32536043412522,-9.13279688882711
units_M,31.7636659580342,28.9611263743275,-2.80253958370663,-8.82309865432193
wages_B,334.336639409812,277.841895488198,-56.4947439216135,-16.8975628938967
ss_B,213.071558861844,188.982502707598,-24.0890561542458,-11.3056178323007
pens_B,90.0729500241432,71.5595232799727,-18.5134267441705,-20.5538141464315
int_B,7.40104544018227,11.0190312518881,3.61798581170584,48.8847939246909
pct_wages,31.2820648392824,28.222976027044,-3.05908881223835,-9.77905016166613
pct_int,14.1816672457066,15.7866257321119,1.60495848640528,11.317135415733
pct_ss,38.179186436729,38.6252905324844,0.446104095755416,1.1684484070783
mean_age,53.0516533880305,54.2781694766248,1.22651608859432,2.3119281120672
pct_65p,31.6331807400704,31.6654132945917,0.0322325545212543,0.101894762926658
