metric,aged,built,diff,pct
adults_M,37.2057880455937,35.0500465394451,-2.15574150614864,-5.79410252917341
units_M,32.5183910073119,30.7647153015979,-1.75367570571399,-5.39287354444957
wages_B,357.841548462684,345.127780956933,-12.7137675057511,-3.55290422824585
ss_B,230.09319474347,205.237264243156,-24.8559305003144,-10.8025491705768
pens_B,91.9494847774435,86.700762948056,-5.24872182938756,-5.7082667098045
int_B,7.1553688924586,7.03189602110267,-0.123472871355926,-1.72559756473296
pct_wages,31.0345622339487,31.2093806331269,0.174818399178246,0.563302288140588
pct_int,14.2078150091283,15.5313398990148,1.32352488988651,9.31547102095689
pct_ss,38.4585490178488,36.8183250010244,-1.64022401682446,-4.26491393646501
mean_age,53.1936836429708,52.8045011077576,-0.389182535213173,-0.731632984519959
pct_65p,32.1025687089539,29.9582998490348,-2.14426885991913,-6.67943079371419
