gq_class,band,persons,nonfiling_adults,filers,dorm_dependents
dorm_student,18_25,2711124,0,288735,2422389
institutional,18_25,376871,327247,49624,0
institutional,26_34,673915,570224,103691,0
institutional,35_44,601086,505590,95496,0
institutional,45_54,436341,372798,63543,0
institutional,55_64,376428,334621,41807,0
institutional,65_74,342255,312650,29605,0
institutional,75p,944099,856826,87273,0
other_noninstitutional,18_25,383075,82909.9465561566,300165.053443843,0
other_noninstitutional,26_34,238638,82001.6623987372,156636.337601263,0
other_noninstitutional,35_44,171996,71107.7795938274,100888.220406173,0
other_noninstitutional,45_54,198796,87116.6716936295,111679.328306371,0
other_noninstitutional,55_64,195800,89502.5296730576,106297.470326942,0
other_noninstitutional,65_74,99648,50407.3666084413,49240.6333915587,0
other_noninstitutional,75p,129966,70964.0350199435,59001.9649800565,0
