dimension,bin,group,adults,share_of_all,tax_year
age,18_25,above threshold,2026471.51805922,0.0568050072652902,2017
age,26_34,above threshold,2840784.51566466,0.0796314103669228,2017
age,35_44,above threshold,2249907.78994209,0.0630682579127954,2017
age,45_54,above threshold,2298448.15445473,0.0644289164437584,2017
age,55_64,above threshold,2444286.77572669,0.0685169896622004,2017
age,65_74,above threshold,1914017.870475,0.0536527644574822,2017
age,75p,above threshold,957927.982525586,0.0268521444896026,2017
age,18_25,below threshold,1091137.97635057,0.0305862185190688,2017
age,26_34,below threshold,1459281.72955882,0.0409058348518428,2017
age,35_44,below threshold,2238915.68714008,0.0627601329409098,2017
age,45_54,below threshold,3551731.96312143,0.0995603235335381,2017
age,55_64,below threshold,4210419.11246198,0.118024302903787,2017
age,65_74,below threshold,3758492.58153383,0.105356130840191,2017
age,75p,below threshold,4632346.90677419,0.129851565812613,2017
family,"married, dependents",above threshold,2067684.44879951,0.05796026694166,2017
family,"married, none",above threshold,2947756.03506746,0.0826299809773177,2017
family,"unmarried, dependents",above threshold,1624825.96247627,0.0455462856402204,2017
family,"unmarried, none",above threshold,8091578.16050475,0.226818957038854,2017
family,"married, dependents",below threshold,631421.506491251,0.0176996828941604,2017
family,"married, none",below threshold,3312295.62333583,0.0928485672123234,2017
family,"unmarried, dependents",below threshold,2034088.35610981,0.0570185185517536,2017
family,"unmarried, none",below threshold,14964520.4710033,0.419477740743694,2017
income,$1-5k,above threshold,207408.066335403,0.00581395623381174,2017
income,$10-15k,above threshold,1277314.22241519,0.0358050152877762,2017
income,$15-25k,above threshold,3246769.63188697,0.0910117763237532,2017
income,$25-50k,above threshold,5097040.77757905,0.142877625380667,2017
income,$5-10k,above threshold,395088.917985115,0.0110749293323767,2017
income,$50k+,above threshold,4397678.2197602,0.123273453881618,2017
income,none,above threshold,110544.770886043,0.00309873415804799,2017
income,$1-5k,below threshold,4007900.35463201,0.112347401251152,2017
income,$10-15k,below threshold,484624.141618113,0.0135847346682261,2017
income,$15-25k,below threshold,320386.75322567,0.00898091667338945,2017
income,$5-10k,below threshold,1277164.53629981,0.0358008193635818,2017
income,none,below threshold,14852250.171165,0.416330637445594,2017
