metric,aged,built,diff,pct
adults_M,35.8752380245962,36.3115344759476,0.436296451351403,1.21614928673721
units_M,31.3489706089052,31.5921283106935,0.243157701788348,0.77564812198101
wages_B,294.42212342517,306.171909163321,11.7497857381515,3.99079580075707
ss_B,189.373351906217,189.973866061708,0.600514155490828,0.317105944128948
pens_B,72.2229702164104,75.7461579925914,3.52318777618105,4.87820947494142
int_B,6.19579686550484,8.08777766895865,1.89198080345382,30.5365208789759
pct_wages,31.5857992578727,33.3645191567218,1.77871989884908,5.63139113348774
pct_int,14.0008041109731,13.3251578593026,-0.675646251670456,-4.82576747960442
pct_ss,37.3889636589,38.2580007889532,0.869037130053151,2.32431457042079
mean_age,52.7499446332062,53.1858326177898,0.43588798458353,0.826328800180654
pct_65p,30.4904048454974,30.9486831385453,0.458278293047883,1.5030246248618
