band,pep_adults,residual_pep,ss_adults,residual_ssarea,adults_wedge_pct,residual_wedge_pct
18_25,35245443,11563364.8563963,35551718,11869639.8563963,0.868977586691133,2.64866674885389
26_34,41666390,6508869.89790441,42338740,7181219.89790442,1.61365071464075,10.3297501800808
35_44,44712957,6182945.93125979,45234743,6704731.9312598,1.16696822355096,8.43911633388148
45_54,40645548,6394887.0789683,41289905,7039244.07896831,1.58530769470742,10.0761278822137
55_64,41940771,7631927.8785501,42835273,8526429.8785501,2.13277433550281,11.720524803622
65p,59326707,13149270.5723444,60065867,13888430.5723444,1.24591442434181,5.6213004054732
