gq_class,band,persons,nonfiling_adults,filers,dorm_dependents
dorm_student,18_25,2865091,0,344176,2520915
institutional,18_25,232544,201372,31172,0
institutional,26_34,525420,441946,83474,0
institutional,35_44,584951,495728,89223,0
institutional,45_54,397070,342612,54458,0
institutional,55_64,378592,339415,39177,0
institutional,65_74,426819,396325,30494,0
institutional,75p,989423,870169,119254,0
other_noninstitutional,18_25,344935,59354.4983161827,285580.501683817,0
other_noninstitutional,26_34,295340,97334.6096875525,198005.390312448,0
other_noninstitutional,35_44,240792,98894.8378060271,141897.162193973,0
other_noninstitutional,45_54,205756,93652.4467186761,112103.553281324,0
other_noninstitutional,55_64,244990,114529.726281893,130460.273718107,0
other_noninstitutional,65_74,161882,82862.9279384359,79019.0720615641,0
other_noninstitutional,75p,180515,92597.8951192567,87917.1048807433,0
