gq_class,band,persons,nonfiling_adults,filers,dorm_dependents
dorm_student,18_25,2700117,0,265293,2434824
institutional,18_25,341210,296706,44504,0
institutional,26_34,663456,563431,100025,0
institutional,35_44,624605,529076,95529,0
institutional,45_54,430971,366603,64368,0
institutional,55_64,386095,343312,42783,0
institutional,65_74,363378,327373,36005,0
institutional,75p,928906,843908,84998,0
other_noninstitutional,18_25,373994,73570.8100476436,300423.189952357,0
other_noninstitutional,26_34,255370,88378.1527349541,166991.847265046,0
other_noninstitutional,35_44,190320,79397.259652672,110922.740347328,0
other_noninstitutional,45_54,183011,79333.4858047605,103677.51419524,0
other_noninstitutional,55_64,231887,105868.721023283,126018.278976717,0
other_noninstitutional,65_74,107144,53633.220565889,53510.779434111,0
other_noninstitutional,75p,115318,61825.169349186,53492.830650814,0
