variable,dina_already_in_mask,filer_records,nonfiler_records,nonfiler_share,year,divergence,factor_bias
interest,FALSE,44193008,4364966.60826725,0.0898918590299705,2020,0.00714988270330697,0.000642716248046494
interest,FALSE,44193008,4364966.60826725,0.0898918590299705,2025,0.0466171822093424,0.00419050517153666
interest,FALSE,44193008,4364966.60826725,0.0898918590299705,2035,0.115847273650338,0.0104137267919826
interest,FALSE,44193008,4364966.60826725,0.0898918590299705,2055,0.18563079170044,0.0166866969591577
dividends,FALSE,28171329,1172682.84562699,0.0399632760440612,2020,0.00714988270330697,0.000285732736154915
dividends,FALSE,28171329,1172682.84562699,0.0399632760440612,2025,0.0466171822093424,0.00186297532102825
dividends,FALSE,28171329,1172682.84562699,0.0399632760440612,2035,0.115847273650338,0.00462963657584035
dividends,FALSE,28171329,1172682.84562699,0.0399632760440612,2055,0.18563079170044,0.0074184145710023
wages,TRUE,126264480,9850973.485541,0.0723721901759482,2020,0.00714988270330697,0.000517452670739454
wages,TRUE,126264480,9850973.485541,0.0723721901759482,2025,0.0466171822093424,0.00337378757632136
wages,TRUE,126264480,9850973.485541,0.0723721901759482,2035,0.115847273650338,0.00838412091998735
wages,TRUE,126264480,9850973.485541,0.0723721901759482,2055,0.18563079170044,0.013434506959456
pensions,TRUE,30610779,2826873.30776895,0.0845416203790166,2020,0.00714988270330697,0.000604462669257474
pensions,TRUE,30610779,2826873.30776895,0.0845416203790166,2025,0.0466171822093424,0.00394109212148167
pensions,TRUE,30610779,2826873.30776895,0.0845416203790166,2035,0.115847273650338,0.00979391623089091
pensions,TRUE,30610779,2826873.30776895,0.0845416203790166,2055,0.18563079170044,0.0156935279225949
