band,ss_adults,filing_adults,emitted,netting,nonfiler_target,scale_to_ssarea,ss_married,filing_married
18_25,35551718,23682078.1436037,2654451.80686499,8908913.04953442,2960726.80686191,1.11538163895266,3137473,1828390.16188127
26_34,42338740,35157520.1020956,5027679.03517919,1481190.86275665,5700029.03514777,1.13372969818958,17652143,12943346.6267077
35_44,45234743,38530011.0687402,5114009.9603924,1068935.97086739,5635795.9603924,1.10203069685847,27899948,22249573.081677
45_54,41289905,34250660.9210317,5661050.06222232,733837.016745977,6305407.06222233,1.11382287613034,27489488,21844283.874014
55_64,42835273,34308843.1214499,6857090.41391887,774837.464658023,7751592.41389208,1.13044920600106,27599688,22873641.001851
65p,60065867,46177436.4276556,12137275.7212398,1011994.85110456,12876435.7212398,1.06089999246754,34431100,30869227.1052386
