filing_status,age_group,2017,2018,2019,2020,2021,2022,2023
2,1,1092139,1079011,982187,973303,850246,874250,839086
2,2,6636058,6669835,6464473,6408409,6184645,6247966,6077346
2,3,10526909,10460553,10542690,10732204,10560103,10713497,10698527
2,4,11439942,11215070,11072187,10968275,10553686,10570927,10586358
2,5,11883470,11901339,11876784,11773965,11447468,11356061,11133057
2,6,13195880,13544631,13857795,14466767,14652177,15123728,15234564
3,1,133303,152091,156842,146171,176190,181725,161085
3,2,616169,639091,760222,778458,776553,769909,865582
3,3,672725,711904,791959,874994,942254,895204,984757
3,4,729426,722118,831361,878755,815314,856071,801397
3,5,629275,649002,710028,744595,726446,751831,743474
3,6,431909,418629,468938,496442,476182,537989,583567
4,1,2016091,1838854,1736330,1661728,1601934,1571517,1528680
4,2,5607739,5536948,5490869,5444122,5352813,5265418,5324000
4,3,6774706,6881520,6814831,6988811,6969786,6977917,7201104
4,4,4800683,4852238,4895151,4708040,4648737,4700904,4774842
4,5,2040492,2012034,2063303,2004485,1978458,2045237,2061580
4,6,654385,665208,662855,656352,688589,707146,714285
1,1,22390274,22255815,23009753,23715832,23367809,23094874,22258754
1,2,14756338,15104249,16015222,17626524,17263915,17013520,17022201
1,3,7360949,7526477,8455401,9476810,9157706,9065667,9176095
1,4,7722040,7678596,8044299,8779695,8047841,8096615,7705271
1,5,9102403,9098423,9478888,10241277,9778397,9544694,9441586
1,6,11689927,12160662,12614439,13812778,13807090,14373991,14684907
