dimension,bin,group,adults,share_of_all,tax_year
age,18_25,above threshold,2146285.7187028,0.0573083174809865,2023
age,26_34,above threshold,2510675.0809686,0.0670379359923762,2023
age,35_44,above threshold,2569878.75255484,0.0686187426751674,2023
age,45_54,above threshold,2174991.73411168,0.0580748013793466,2023
age,55_64,above threshold,2195248.23787368,0.0586156735188438,2023
age,65_74,above threshold,2265967.64126626,0.0605039635942852,2023
age,75p,above threshold,1199338.92176863,0.0320237399415589,2023
age,18_25,below threshold,508166.088162182,0.0135686238135482,2023
age,26_34,below threshold,2517003.95421067,0.0672069242467791,2023
age,35_44,below threshold,2544131.20783764,0.0679312533748607,2023
age,45_54,below threshold,3486058.32811077,0.0930817997267177,2023
age,55_64,below threshold,4661842.17604572,0.124476591882907,2023
age,65_74,below threshold,4278309.60224724,0.114235827425495,2023
age,75p,below threshold,4393659.55595769,0.117315804947151,2023
family,"married, dependents",above threshold,2067416.93090422,0.0552024293920355,2023
family,"married, none",above threshold,2928135.06015417,0.0781846015151903,2023
family,"unmarried, dependents",above threshold,1409099.58882,0.037624592986264,2023
family,"unmarried, none",above threshold,8657734.50736808,0.231171550689074,2023
family,"married, dependents",below threshold,902551.538896458,0.0240991726699335,2023
family,"married, none",below threshold,3305845.74179668,0.088269914701084,2023
family,"unmarried, dependents",below threshold,2449174.17444466,0.0653957904729192,2023
family,"unmarried, none",below threshold,15731599.4574298,0.420051947573406,2023
income,$1-5k,above threshold,169624.644653902,0.0045291747057333,2023
income,$10-15k,above threshold,412872.012440335,0.0110241614905983,2023
income,$15-25k,above threshold,2668144.96833832,0.0712425645841991,2023
income,$25-50k,above threshold,5435864.09339042,0.145143874616933,2023
income,$5-10k,above threshold,180101.050600172,0.00480890689273744,2023
income,$50k+,above threshold,6127771.13915321,0.163618595060896,2023
income,none,above threshold,68008.1786701792,0.00181589723146919,2023
income,$1-5k,below threshold,4235197.60739102,0.113084687170994,2023
income,$10-15k,below threshold,1092968.60471731,0.0291835291313157,2023
income,$15-25k,below threshold,657974.66826198,0.0175686866173597,2023
income,$25-50k,below threshold,268060.806480012,0.00715753437116962,2023
income,$5-10k,below threshold,1093067.33065546,0.0291861652283452,2023
income,none,below threshold,15041901.8950639,0.401636222898215,2023
