gq_class,band,persons,nonfiling_adults,filers,dorm_dependents
dorm_student,18_25,2668614,0,275506,2393108
institutional,18_25,319928,287798,32130,0
institutional,26_34,639998,557905,82093,0
institutional,35_44,645950,560742,85208,0
institutional,45_54,418132,366147,51985,0
institutional,55_64,385856,353178,32678,0
institutional,65_74,367948,340104,27844,0
institutional,75p,905152,838106,67046,0
other_noninstitutional,18_25,401105,72021.9613624817,329083.038637518,0
other_noninstitutional,26_34,248150,90239.0592353886,157910.940764611,0
other_noninstitutional,35_44,178714,76859.7473592388,101854.252640761,0
other_noninstitutional,45_54,199415,90681.73246385,108733.26753615,0
other_noninstitutional,55_64,211135,101365.480573833,109769.519426167,0
other_noninstitutional,65_74,132905,67127.0164108182,65777.9835891818,0
other_noninstitutional,75p,118571,63736.4477407386,54834.5522592614,0
