metric,aged,built,diff,pct
adults_M,36.1984617097056,27.7481748213745,-8.45028688833115,-23.3443259442857
units_M,31.6065206734949,24.3108457251636,-7.29567494833128,-23.0828158015172
wages_B,307.275918754163,204.256227894549,-103.019690859614,-33.5267701020317
ss_B,206.314283570186,162.887709879045,-43.426573691141,-21.0487480263904
pens_B,75.7064758189717,66.0284215377483,-9.67805428122345,-12.7836544714688
int_B,7.29119971389001,10.3962407590114,3.10504104512142,42.5861472317951
pct_wages,31.4291488669968,26.3499149539973,-5.07923391299943,-16.1609018891792
pct_int,14.0990580529034,15.0598863565126,0.96082830360916,6.81484039574754
pct_ss,37.8009916401526,41.4251781276059,3.62418648745332,9.5875434220188
mean_age,52.9114189757189,56.0557344658912,3.14431549017228,5.94260284649557
pct_65p,31.0629516020063,34.7795833470228,3.7166317450165,11.9648377032415
